,Rank,Player,Team,Pos,Value,asof,url
0,1,Jaylen Watson,Kansas City Chiefs,CB,99,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
1,2,Jonathan Jones,New England Patriots,DB,87,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
2,3,Duron Harmon,Las Vegas Raiders,S,86,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
3,4,Minkah Fitzpatrick,Pittsburgh Steelers,S,78,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
4,5,Andrew Adams,Tennessee Titans,DB,76,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
5,6,Andre Cisco,Jacksonville Jaguars,S,68,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
6,6,Mike Edwards,Tampa Bay Buccaneers,S,68,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
7,6,Rudy Ford,Green Bay Packers,S,68,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
8,9,Jevon Holland,Miami Dolphins,S,64,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
9,10,De'Vondre Campbell,Green Bay Packers,LB,63,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
10,11,Talanoa Hufanga,San Francisco 49ers,S,61,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
11,12,Vonn Bell,Cincinnati Bengals,S,56,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
12,12,Isaiah Simmons,Arizona Cardinals,LB,56,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
13,14,James Bradberry,Philadelphia Eagles,CB,54,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
14,14,C.J. Gardner-Johnson,Philadelphia Eagles,S,54,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
15,14,CJ Henderson,Carolina Panthers,CB,54,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
16,17,Budda Baker,Arizona Cardinals,S,53,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
17,18,Patrick Peterson,Minnesota Vikings,CB,52,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
18,19,Cobie Durant,Los Angeles Rams,DB,51,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
19,20,Harrison Smith,Minnesota Vikings,S,50,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
20,21,Tariq Woolen,Seattle Seahawks,CB,47,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
21,21,Kerby Joseph,Detroit Lions,S,47,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
22,23,Eddie Jackson,Chicago Bears,DB,44,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
23,23,Julian Love,New York Giants,S,44,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
24,25,Matt Milano,Buffalo Bills,LB,43,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
25,26,Kyler Gordon,Chicago Bears,DB,42,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
26,27,Logan Wilson,Cincinnati Bengals,LB,41,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
27,27,Emmanuel Moseley,San Francisco 49ers,CB,41,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
28,29,Jack Jones,New England Patriots,DB,40,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
29,30,Quandre Diggs,Seattle Seahawks,S,39,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
30,31,Marco Wilson,Arizona Cardinals,CB,38,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
31,32,Kendall Fuller,Washington Commanders,CB,37,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
32,33,Devin McCourty,New England Patriots,DB,36,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
33,34,Rodney Thomas II,Indianapolis Colts,S,35,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
34,34,Christian Benford,Buffalo Bills,CB,35,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
35,36,Mykal Walker,Atlanta Falcons,LB,33,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
36,36,Sean Murphy-Bunting,Tampa Bay Buccaneers,CB,33,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
37,36,Marcus Williams,Baltimore Ravens,S,33,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
38,36,Steven Nelson,Houston Texans,DB,33,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
39,36,Frankie Luvu,Carolina Panthers,LB,33,2022-11-30 02:28:15.338273,/nfl/player-stat/defense-interception-yards
