,Rank,Player,Team,Pos,Value,asof,url
0,1,Jordan Poyer,Buffalo Bills,S,4,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
1,1,Tariq Woolen,Seattle Seahawks,CB,4,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
2,3,Darius Slay,Philadelphia Eagles,CB,3,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
3,3,Marcus Williams,Baltimore Ravens,S,3,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
4,3,Vonn Bell,Cincinnati Bengals,S,3,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
5,3,Eddie Jackson,Chicago Bears,DB,3,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
6,3,C.J. Gardner-Johnson,Philadelphia Eagles,S,3,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
7,3,Minkah Fitzpatrick,Pittsburgh Steelers,S,3,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
8,9,Trevon Diggs,Dallas Cowboys,CB,2,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
9,9,Jalen Pitre,Houston Texans,DB,2,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
10,9,Talanoa Hufanga,San Francisco 49ers,S,2,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
11,9,Devin Lloyd,Jacksonville Jaguars,LB,2,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
12,9,Caden Sterns,Denver Broncos,S,2,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
13,9,Jalen Mills,New England Patriots,CB,2,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
14,9,Kaiir Elam,Buffalo Bills,CB,2,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
15,9,Bryce Callahan,Los Angeles Chargers,CB,2,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
16,9,Cameron Sutton,Pittsburgh Steelers,CB,2,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
17,9,Jack Jones,New England Patriots,DB,2,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
18,9,Marlon Humphrey,Baltimore Ravens,CB,2,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
19,9,James Bradberry,Philadelphia Eagles,CB,2,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
20,9,Lamarcus Joyner,New York Jets,S,2,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
21,9,Andre Cisco,Jacksonville Jaguars,S,2,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
22,9,Harrison Smith,Minnesota Vikings,S,2,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
23,9,Jamel Dean,Tampa Bay Buccaneers,CB,2,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
24,25,T.J. Watt,Pittsburgh Steelers,LB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
25,25,Cobie Durant,Los Angeles Rams,DB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
26,25,Levi Wallace,Pittsburgh Steelers,CB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
27,25,Jerry Hughes,Houston Texans,DE,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
28,25,Logan Ryan,Tampa Bay Buccaneers,S,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
29,25,Dane Jackson,Buffalo Bills,CB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
30,25,Desmond King II,Houston Texans,DB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
31,25,Kyle Dugger,New England Patriots,DB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
32,25,Casey Hayward,Atlanta Falcons,CB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
33,25,Teair Tart,Tennessee Titans,DT,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
34,25,Derek Stingley Jr.,Houston Texans,DB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
35,25,Avonte Maddox,Philadelphia Eagles,CB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
36,25,Alohi Gilman,Los Angeles Chargers,S,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
37,25,Duron Harmon,Las Vegas Raiders,S,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
38,25,Sauce Gardner,New York Jets,CB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
39,25,Will Harris,Detroit Lions,CB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
40,25,Jonathan Jones,New England Patriots,DB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
41,25,Jaylinn Hawkins,Atlanta Falcons,S,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
42,25,Mykal Walker,Atlanta Falcons,LB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
43,25,Jalen Thompson,Arizona Cardinals,S,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
44,25,Tyrann Mathieu,New Orleans Saints,S,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
45,25,Sean Murphy-Bunting,Tampa Bay Buccaneers,CB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
46,25,Grant Delpit,Cleveland Browns,S,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
47,25,Jalen Ramsey,Los Angeles Rams,DB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
48,25,Asante Samuel Jr.,Los Angeles Chargers,CB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
49,25,Amik Robertson,Las Vegas Raiders,CB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
50,25,Tyson Campbell,Jacksonville Jaguars,CB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
51,25,Kevin Byard,Tennessee Titans,S,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
52,25,Charvarius Ward,San Francisco 49ers,CB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
53,25,Richie Grant,Atlanta Falcons,S,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
54,25,D.J. Reed,New York Jets,CB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
55,25,Marcus Peters,Baltimore Ravens,CB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
56,25,Frankie Luvu,Carolina Panthers,LB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
57,25,Nasir Adderley,Los Angeles Chargers,S,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
58,25,Jevon Holland,Miami Dolphins,S,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
59,25,Darrick Forrest,Washington Commanders,S,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
60,25,Denzel Ward,Cleveland Browns,CB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
61,25,Troy Hill,Los Angeles Rams,CB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
62,25,Josh Metellus,Minnesota Vikings,S,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
63,25,Rayshawn Jenkins,Jacksonville Jaguars,S,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
64,25,Jonathan Allen,Washington Commanders,DT,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
65,25,DaRon Bland,Dallas Cowboys,CB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
66,25,Jordan Hicks,Minnesota Vikings,LB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
67,25,Travon Walker,Jacksonville Jaguars,LB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
68,25,Donovan Wilson,Dallas Cowboys,S,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
69,25,Stephon Gilmore,Indianapolis Colts,CB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
70,25,Nick Scott,Los Angeles Rams,S,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
71,25,Donte Jackson,Carolina Panthers,CB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
72,25,Jessie Bates III,Cincinnati Bengals,S,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
73,25,Tashaun Gipson Sr.,San Francisco 49ers,S,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
74,25,David Long Jr.,Tennessee Titans,LB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
75,25,Patrick Queen,Baltimore Ravens,LB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
76,25,Amani Hooker,Tennessee Titans,DB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
77,25,Julian Love,New York Giants,S,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
78,25,Rodney Thomas II,Indianapolis Colts,S,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
79,25,Emmanuel Moseley,San Francisco 49ers,CB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
80,25,Malik Hooker,Dallas Cowboys,S,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
81,25,Roquan Smith,Chicago Bears,LB,1,2022-10-18 18:06:32.018550,/nfl/player-stat/defense-interceptions
