,Rank,Player,Team,Pos,Value,asof,url
0,1,Nick Bosa,San Francisco 49ers,DL,6.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
1,2,Alex Highsmith,Pittsburgh Steelers,LB,5.5,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
2,3,Khalil Mack,Los Angeles Chargers,LB,5.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
3,3,Rashan Gary,Green Bay Packers,LB,5.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
4,5,Deatrich Wise Jr.,New England Patriots,DL,4.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
5,5,Jerry Hughes,Houston Texans,DE,4.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
6,5,Matthew Judon,New England Patriots,LB,4.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
7,5,Greg Rousseau,Buffalo Bills,DE,4.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
8,5,Rashad Weaver,Tennessee Titans,LB,4.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
9,5,Maxx Crosby,Las Vegas Raiders,DE,4.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
10,5,Micah Parsons,Dallas Cowboys,LB,4.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
11,12,Haason Reddick,Philadelphia Eagles,LB,3.5,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
12,12,Grady Jarrett,Atlanta Falcons,DL,3.5,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
13,14,Fletcher Cox,Philadelphia Eagles,DT,3.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
14,14,Denico Autry,Tennessee Titans,DL,3.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
15,14,Jamin Davis,Washington Commanders,LB,3.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
16,14,Za'Darius Smith,Minnesota Vikings,LB,3.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
17,14,Josh Allen,Jacksonville Jaguars,LB,3.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
18,14,Dorance Armstrong,Dallas Cowboys,DE,3.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
19,14,Bradley Chubb,Denver Broncos,LB,3.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
20,14,Aidan Hutchinson,Detroit Lions,DE,3.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
21,14,L'Jarius Sneed,Kansas City Chiefs,CB,3.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
22,14,Brian Burns,Carolina Panthers,DE,3.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
23,14,Samson Ebukam,San Francisco 49ers,DL,3.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
24,14,Myles Garrett,Cleveland Browns,DE,3.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
25,14,Kwity Paye,Indianapolis Colts,DE,3.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
26,14,Demarcus Lawrence,Dallas Cowboys,DE,3.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
27,14,Devin White,Tampa Bay Buccaneers,LB,3.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
28,14,Brandon Graham,Philadelphia Eagles,DE,3.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
29,14,Von Miller,Buffalo Bills,LB,3.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
30,31,Josh Sweat,Philadelphia Eagles,DE,2.5,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
31,31,Trey Hendrickson,Cincinnati Bengals,DE,2.5,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
32,31,Preston Smith,Green Bay Packers,LB,2.5,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
33,31,Rasheem Green,Houston Texans,DL,2.5,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
34,35,Nick Bolton,Kansas City Chiefs,LB,2.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
35,35,Melvin Ingram III,Miami Dolphins,LB,2.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
36,35,Anthony Nelson,Tampa Bay Buccaneers,LB,2.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
37,35,Dante Fowler Jr.,Dallas Cowboys,DE,2.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
38,35,Quincy Williams,New York Jets,LB,2.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
39,35,Randy Gregory,Denver Broncos,LB,2.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
40,35,Trevis Gipson,Chicago Bears,DL,2.0,2022-10-05 16:58:58.407560,/nfl/player-stat/defense-sacks
