,Rank,Player,Team,Pos,Value,asof,url
0,1,Justin Hardee,New York Jets,CB,10,2022-11-23 18:37:06.168763,/nfl/player-stat/defense-special-teams-solo-tackles
1,2,Sam Franklin Jr.,Carolina Panthers,S,9,2022-11-23 18:37:06.168763,/nfl/player-stat/defense-special-teams-solo-tackles
2,3,Hassan Haskins,Tennessee Titans,RB,8,2022-11-23 18:37:06.168763,/nfl/player-stat/defense-special-teams-solo-tackles
3,3,Brenden Schooler,New England Patriots,DB,8,2022-11-23 18:37:06.168763,/nfl/player-stat/defense-special-teams-solo-tackles
4,3,Jeremy Reaves,Washington Commanders,S,8,2022-11-23 18:37:06.168763,/nfl/player-stat/defense-special-teams-solo-tackles
5,6,M.J. Stewart,Houston Texans,DB,7,2022-11-23 18:37:06.168763,/nfl/player-stat/defense-special-teams-solo-tackles
6,6,Dare Ogunbowale,Houston Texans,RB,7,2022-11-23 18:37:06.168763,/nfl/player-stat/defense-special-teams-solo-tackles
7,6,Dylan Cole,Tennessee Titans,LB,7,2022-11-23 18:37:06.168763,/nfl/player-stat/defense-special-teams-solo-tackles
8,6,Isaiah McDuffie,Green Bay Packers,LB,7,2022-11-23 18:37:06.168763,/nfl/player-stat/defense-special-teams-solo-tackles
9,6,Miles Boykin,Pittsburgh Steelers,WR,7,2022-11-23 18:37:06.168763,/nfl/player-stat/defense-special-teams-solo-tackles
10,11,Zech McPhearson,Philadelphia Eagles,CB,6,2022-11-23 18:37:06.168763,/nfl/player-stat/defense-special-teams-solo-tackles
11,11,Nick Bellore,Seattle Seahawks,LB,6,2022-11-23 18:37:06.168763,/nfl/player-stat/defense-special-teams-solo-tackles
12,11,Dennis Gardeck,Arizona Cardinals,LB,6,2022-11-23 18:37:06.168763,/nfl/player-stat/defense-special-teams-solo-tackles
13,11,Joey Blount,Seattle Seahawks,S,6,2022-11-23 18:37:06.168763,/nfl/player-stat/defense-special-teams-solo-tackles
14,11,Josh Metellus,Minnesota Vikings,S,6,2022-11-23 18:37:06.168763,/nfl/player-stat/defense-special-teams-solo-tackles
15,11,Markus Bailey,Cincinnati Bengals,LB,6,2022-11-23 18:37:06.168763,/nfl/player-stat/defense-special-teams-solo-tackles
16,11,Stephen Anderson,Arizona Cardinals,TE,6,2022-11-23 18:37:06.168763,/nfl/player-stat/defense-special-teams-solo-tackles
