,Rank,Player,Team,Pos,Value,asof,url
0,1,Tyler Bass,Buffalo Bills,K,24,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
1,2,Justin Tucker,Baltimore Ravens,K,23,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
2,3,Jason Myers,Seattle Seahawks,K,22,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
3,4,Jake Elliott,Philadelphia Eagles,K,21,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
4,5,Younghoe Koo,Atlanta Falcons,K,20,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
5,5,Cade York,Cleveland Browns,K,20,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
6,5,Jason Sanders,Miami Dolphins,K,20,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
7,8,Brett Maher,Dallas Cowboys,K,19,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
8,8,Wil Lutz,New Orleans Saints,K,19,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
9,8,Evan McPherson,Cincinnati Bengals,K,19,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
10,8,Greg Joseph,Minnesota Vikings,K,19,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
11,8,Robbie Gould,San Francisco 49ers,K,19,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
12,8,Greg Zuerlein,New York Jets,K,19,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
13,14,Nick Folk,New England Patriots,K,18,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
14,15,Mason Crosby,Green Bay Packers,K,17,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
15,16,Riley Patterson,Jacksonville Jaguars,K,16,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
16,17,Randy Bullock,Tennessee Titans,K,15,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
17,18,Graham Gano,New York Giants,K,14,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
18,18,Daniel Carlson,Las Vegas Raiders,K,14,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
19,20,Matt Gay,Los Angeles Rams,K,13,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
20,20,Cairo Santos,Chicago Bears,K,13,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
21,20,Eddy Pineiro,Carolina Panthers,K,13,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
22,23,Harrison Butker,Kansas City Chiefs,K,12,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
23,23,Dustin Hopkins,Los Angeles Chargers,K,12,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
24,23,Austin Seibert,Detroit Lions,K,12,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
25,26,Joey Slye,Washington Commanders,K,11,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
26,26,Ka'imi Fairbairn,Houston Texans,K,11,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
27,28,Brandon McManus,Denver Broncos,K,10,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
28,29,Ryan Succop,Tampa Bay Buccaneers,K,9,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
29,29,Chris Boswell,Pittsburgh Steelers,K,9,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
30,31,Chase McLaughlin,Indianapolis Colts,K,8,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
31,31,Matthew Wright,Jacksonville Jaguars,K,8,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
32,33,Matt Ammendola,Arizona Cardinals,K,7,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
33,34,Matt Prater,Arizona Cardinals,K,6,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
34,34,Taylor Bertolet,Carolina Panthers,KR,6,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
35,36,Rodrigo Blankenship,Arizona Cardinals,K,5,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
36,37,Dominik Eberle,Green Bay Packers,K,4,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
37,38,Michael Badgley,Detroit Lions,K,3,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
38,39,Mitch Wishnowsky,San Francisco 49ers,P,2,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
39,39,Cameron Dicker,Los Angeles Rams,P,2,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
40,39,Justin Reid,Kansas City Chiefs,S,2,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
41,42,Nick Sciba,Pittsburgh Steelers,K,1,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
42,43,Richie Grant,Atlanta Falcons,S,0,2022-11-01 08:06:41.444329,/nfl/player-stat/extra-point-kicks-attempted
