,Rank,Player,Team,Pos,Value,asof,url
0,1,Evan McPherson,Cincinnati Bengals,K,100.0%,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
1,1,Matt Ammendola,Kansas City Chiefs,K,100.0%,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
2,3,Tom Brady,Tampa Bay Buccaneers,QB,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
3,3,Corliss Waitman,Denver Broncos,P,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
4,3,Josh Sweat,Philadelphia Eagles,DE,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
5,3,Erik Harris,Atlanta Falcons,S,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
6,3,Kyle Pitts,Atlanta Falcons,TE,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
7,3,Sam Martin,Buffalo Bills,P,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
8,3,Jameis Winston,New Orleans Saints,QB,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
9,3,Nick Martin,Washington Commanders,C,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
10,3,Davon Hamilton,Jacksonville Jaguars,DT,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
11,3,Teven Jenkins,Chicago Bears,OL,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
12,3,Elijah Mitchell,San Francisco 49ers,RB,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
13,3,DaQuan Jones,Buffalo Bills,DT,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
14,3,Ben Niemann,Arizona Cardinals,LB,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
15,3,Landon Young,New Orleans Saints,T,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
16,3,Isaiah Thomas,Cleveland Browns,DE,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
17,3,Robert Jones,Miami Dolphins,G,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
18,3,Nick Mullens,Minnesota Vikings,QB,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
19,3,Fletcher Cox,Philadelphia Eagles,DT,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
20,3,Chris Lammons,Kansas City Chiefs,CB,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
21,3,Bravvion Roy,Carolina Panthers,DT,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
22,3,Arron Mosby,Carolina Panthers,LB,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
23,3,Zach Wilson,New York Jets,QB,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
24,3,Mitch Trubisky,Pittsburgh Steelers,QB,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
25,3,Mason Crosby,Green Bay Packers,K,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
26,3,Christian McCaffrey,Carolina Panthers,RB,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
27,3,JaMycal Hasty,Jacksonville Jaguars,RB,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
28,3,Rock Ya-Sin,Las Vegas Raiders,CB,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
29,3,Travis Jones,Baltimore Ravens,DT,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
30,3,Kamu Grugier-Hill,Houston Texans,LB,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
31,3,Taybor Pepper,San Francisco 49ers,LS,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
32,3,Brandin Cooks,Houston Texans,WR,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
33,3,Chuma Edoga,Atlanta Falcons,T,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
34,3,Henry Anderson,Carolina Panthers,DE,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
35,3,Dre Greenlaw,San Francisco 49ers,LB,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
36,3,Ross Blacklock,Minnesota Vikings,DL,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
37,3,Tariq Castro-Fields,Washington Commanders,CB,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
38,3,Tyler Smith,Dallas Cowboys,OL,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
39,3,Darious Williams,Jacksonville Jaguars,CB,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
40,3,Corey Linsley,Los Angeles Chargers,C,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
41,3,Kendall Blanton,Los Angeles Rams,TE,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
42,3,Camryn Bynum,Minnesota Vikings,S,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
43,3,D'Andre Swift,Detroit Lions,RB,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
44,3,Chris Claybrooks,Jacksonville Jaguars,CB,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
45,3,Tre Flowers,Cincinnati Bengals,CB,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
46,3,Jon Weeks,Houston Texans,LS,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
47,3,Isaiah McKenzie,Buffalo Bills,WR,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
48,3,Dawson Knox,Buffalo Bills,TE,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
49,3,Ben Ellefson,Minnesota Vikings,TE,0,2022-10-05 16:58:21.415797,/nfl/player-stat/field-goal-percentage-0-to-19
