,Rank,Player,Team,Pos,Value,asof,url
0,1,Eddy Pineiro,Carolina Panthers,K,100.0%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
1,1,Justin Tucker,Baltimore Ravens,K,100.0%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
2,1,Cade York,Cleveland Browns,K,100.0%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
3,1,Michael Badgley,Jacksonville Jaguars,K,100.0%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
4,1,Cairo Santos,Chicago Bears,K,100.0%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
5,1,Matt Gay,Los Angeles Rams,K,100.0%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
6,1,Mason Crosby,Green Bay Packers,K,100.0%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
7,1,Daniel Carlson,Las Vegas Raiders,K,100.0%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
8,1,Matt Prater,Arizona Cardinals,K,100.0%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
9,10,Brett Maher,Dallas Cowboys,K,90.9%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
10,11,Ryan Succop,Tampa Bay Buccaneers,K,90.0%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
11,12,Ka'imi Fairbairn,Houston Texans,K,88.9%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
12,13,Tyler Bass,Buffalo Bills,K,87.5%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
13,13,Greg Zuerlein,New York Jets,K,87.5%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
14,13,Riley Patterson,Jacksonville Jaguars,K,87.5%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
15,16,Jason Myers,Seattle Seahawks,K,85.7%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
16,17,Younghoe Koo,Atlanta Falcons,K,83.3%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
17,17,Jason Sanders,Miami Dolphins,K,83.3%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
18,17,Dustin Hopkins,Los Angeles Chargers,K,83.3%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
19,20,Evan McPherson,Cincinnati Bengals,K,81.8%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
20,20,Graham Gano,New York Giants,K,81.8%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
21,22,Randy Bullock,Tennessee Titans,K,80.0%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
22,22,Greg Joseph,Minnesota Vikings,K,80.0%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
23,22,Brandon McManus,Denver Broncos,K,80.0%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
24,22,Jake Elliott,Philadelphia Eagles,K,80.0%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
25,22,Nick Folk,New England Patriots,K,80.0%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
26,22,Chris Boswell,Pittsburgh Steelers,K,80.0%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
27,28,Matt Ammendola,Kansas City Chiefs,K,75.0%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
28,28,Chase McLaughlin,Indianapolis Colts,KR,75.0%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
29,30,Robbie Gould,San Francisco 49ers,K,71.4%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
30,31,Rodrigo Blankenship,Indianapolis Colts,K,66.7%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
31,32,Austin Seibert,Detroit Lions,K,60.0%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
32,33,Wil Lutz,New Orleans Saints,K,50.0%,2022-10-05 16:58:10.955704,/nfl/player-stat/field-goal-percentage
