,Rank,Player,Team,Pos,Value,asof,url
0,1,Graham Gano,New York Giants,K,8,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
1,1,Jason Myers,Seattle Seahawks,K,8,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
2,1,Eddy Pineiro,Carolina Panthers,K,8,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
3,4,Tyler Bass,Buffalo Bills,K,7,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
4,5,Wil Lutz,New Orleans Saints,K,6,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
5,5,Nick Folk,New England Patriots,K,6,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
6,5,Dustin Hopkins,Los Angeles Chargers,K,6,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
7,8,Justin Tucker,Baltimore Ravens,K,5,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
8,8,Daniel Carlson,Las Vegas Raiders,K,5,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
9,8,Cade York,Cleveland Browns,K,5,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
10,11,Matt Prater,Arizona Cardinals,K,4,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
11,11,Ryan Succop,Tampa Bay Buccaneers,K,4,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
12,11,Greg Zuerlein,New York Jets,K,4,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
13,14,Mason Crosby,Green Bay Packers,K,3,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
14,14,Brett Maher,Dallas Cowboys,K,3,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
15,14,Jake Elliott,Philadelphia Eagles,K,3,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
16,14,Younghoe Koo,Atlanta Falcons,K,3,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
17,14,Cairo Santos,Chicago Bears,K,3,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
18,19,Chase McLaughlin,Indianapolis Colts,K,2,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
19,19,Riley Patterson,Jacksonville Jaguars,K,2,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
20,19,Greg Joseph,Minnesota Vikings,K,2,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
21,19,Joey Slye,Washington Commanders,K,2,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
22,19,Brandon McManus,Denver Broncos,K,2,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
23,19,Ka'imi Fairbairn,Houston Texans,K,2,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
24,19,Robbie Gould,San Francisco 49ers,K,2,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
25,19,Chris Boswell,Pittsburgh Steelers,K,2,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
26,27,Nick Sciba,Pittsburgh Steelers,K,1,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
27,27,Randy Bullock,Tennessee Titans,K,1,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
28,27,Michael Badgley,Detroit Lions,K,1,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
29,27,Matt Ammendola,Arizona Cardinals,K,1,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
30,27,Matthew Wright,Jacksonville Jaguars,K,1,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
31,27,Matt Gay,Los Angeles Rams,K,1,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
32,27,Austin Seibert,Detroit Lions,K,1,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
33,34,Javonte Williams,Denver Broncos,RB,0,2022-11-01 08:06:48.174432,/nfl/player-stat/field-goals-succeeded-30-to-39
