,Rank,Player,Team,Pos,Value,asof,url
0,1,Marquise Goodwin,Seattle Seahawks,WR,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
1,1,Chase Daniel,Los Angeles Chargers,QB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
2,1,Geron Christian,Kansas City Chiefs,T,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
3,1,Velus Jones Jr.,Chicago Bears,WR,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
4,1,Ed Ingram,Minnesota Vikings,G,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
5,1,Luke Goedeke,Tampa Bay Buccaneers,G,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
6,1,Jordan Akins,Houston Texans,TE,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
7,1,Alex Anzalone,Detroit Lions,LB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
8,1,Coby Bryant,Seattle Seahawks,CB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
9,1,Alontae Taylor,New Orleans Saints,CB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
10,1,Frankie Luvu,Carolina Panthers,LB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
11,1,Laremy Tunsil,Houston Texans,OL,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
12,1,Devine Ozigbo,Denver Broncos,RB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
13,1,Michael Jordan,Carolina Panthers,G,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
14,1,Isaiah Coulter,Chicago Bears,WR,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
15,1,Zyon McCollum,Tampa Bay Buccaneers,CB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
16,1,J.T. Gray,New Orleans Saints,DB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
17,1,Kalif Raymond,Detroit Lions,WR,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
18,1,Chase McLaughlin,Indianapolis Colts,K,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
19,1,Isaiahh Loudermilk,Pittsburgh Steelers,DT,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
20,1,Thomas Graham Jr.,Cleveland Browns,DB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
21,1,Kenneth Walker III,Seattle Seahawks,RB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
22,1,Trai Turner,Washington Commanders,G,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
23,1,DeForest Buckner,Indianapolis Colts,DT,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
24,1,DaQuan Jones,Buffalo Bills,DT,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
25,1,Brett Maher,Dallas Cowboys,K,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
26,1,Matthew Stafford,Los Angeles Rams,QB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
27,1,Blake Ferguson,Miami Dolphins,LS,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
28,1,Aaron Brewer,Tennessee Titans,G,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
29,1,Kenneth Gainwell,Philadelphia Eagles,RB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
30,1,Alvin Kamara,New Orleans Saints,RB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
31,1,Camryn Bynum,Minnesota Vikings,S,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
32,1,Travis Etienne Jr.,Jacksonville Jaguars,RB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
33,1,Chigoziem Okonkwo,Tennessee Titans,TE,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
34,1,Samaje Perine,Cincinnati Bengals,HB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
35,1,Cethan Carter,Miami Dolphins,TE,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
36,1,Nick Moore,Baltimore Ravens,LS,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
37,1,Jack Stoll,Philadelphia Eagles,TE,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
38,1,Nicholas Morrow,Chicago Bears,LB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
39,1,Robert Tonyan,Green Bay Packers,TE,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
40,1,Trenton Irwin,Cincinnati Bengals,WR,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
41,1,Patrick Taylor,Green Bay Packers,RB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
42,1,Keisean Nixon,Green Bay Packers,CB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
43,1,Damarion Williams,Baltimore Ravens,CB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
44,1,Nick Martin,Washington Commanders,C,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
45,1,Mike Davis,Baltimore Ravens,RB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
46,1,Henry Anderson,Carolina Panthers,DE,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
47,1,Micah Hyde,Buffalo Bills,S,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
48,1,Andy Dalton,New Orleans Saints,QB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
49,1,Quincy Roche,New York Giants,LB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
50,1,Javonte Williams,Denver Broncos,RB,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
51,1,Jordan Mailata,Philadelphia Eagles,T,0,2022-11-01 08:06:29.626041,/nfl/player-stat/kickoff-return-faircatches
