,Rank,Player,Team,Pos,Value,asof,url
0,1,Marcus Jones,New England Patriots,DB,1,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
1,2,Josh Ross,Baltimore Ravens,LB,0,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
2,2,Trey McBride,Arizona Cardinals,TE,0,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
3,2,Morgan Cox,Tennessee Titans,LS,0,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
4,2,Ronnie Stanley,Baltimore Ravens,T,0,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
5,2,Nick Boyle,Baltimore Ravens,TE,0,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
6,2,DeMarquis Gates,Chicago Bears,LB,0,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
7,2,Xavier Crawford,Jacksonville Jaguars,CB,0,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
8,2,Darrell Taylor,Seattle Seahawks,LB,0,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
9,2,Tommy Kraemer,Detroit Lions,G,0,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
10,2,Larry Rountree III,Los Angeles Chargers,RB,0,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
11,2,Arden Key,Jacksonville Jaguars,DE,0,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
12,2,Velus Jones Jr.,Chicago Bears,WR,0,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
13,2,Tariq Carpenter,Green Bay Packers,S,0,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
14,2,Sam Howell,Washington Commanders,QB,0,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
15,2,Juston Burris,Carolina Panthers,S,0,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
16,2,Davis Webb,New York Giants,QB,0,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
17,2,Justin Jackson,Detroit Lions,RB,0,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
18,2,J.J. Taylor,New England Patriots,RB,0,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
19,2,Jedrick Wills Jr.,Cleveland Browns,T,0,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
20,2,Deven Thompkins,Tampa Bay Buccaneers,WR,0,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
21,2,Anthony Barr,Dallas Cowboys,LB,0,2022-11-30 02:27:41.365118,/nfl/player-stat/punt-return-touchdowns
