,Rank,Player,Team,Pos,Value,asof,url
0,1,Richie James,New York Giants,WR,62,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
1,1,Montrell Washington,Denver Broncos,WR,62,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
2,1,Kyle Philips,Tennessee Titans,WR,62,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
3,4,Jamison Crowder,Buffalo Bills,WR,61,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
4,5,Dax Milne,Washington Commanders,WR,55,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
5,6,Trent Taylor,Cincinnati Bengals,WR,51,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
6,7,Skyy Moore,Kansas City Chiefs,WR,47,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
7,8,Braxton Berrios,New York Jets,WR,46,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
8,8,Ray-Ray McCloud,San Francisco 49ers,WR,46,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
9,10,Jaelon Darden,Tampa Bay Buccaneers,WR,45,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
10,11,Avery Williams,Atlanta Falcons,RB,42,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
11,11,Demetric Felton Jr.,Cleveland Browns,RB,42,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
12,13,KaVontae Turpin,Dallas Cowboys,WR,37,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
13,14,Nyheim Hines,Indianapolis Colts,RB,34,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
14,14,Myles Bryant,New England Patriots,DB,34,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
15,16,Amari Rodgers,Green Bay Packers,WR,32,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
16,17,Britain Covey,Philadelphia Eagles,WR,27,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
17,18,Kalif Raymond,Detroit Lions,WR,23,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
18,19,Devin Duvernay,Baltimore Ravens,WR,22,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
19,20,Greg Dortch,Arizona Cardinals,WR,20,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
20,20,Gunner Olszewski,Pittsburgh Steelers,WR,20,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
21,22,DeAndre Carter,Los Angeles Chargers,WR,17,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
22,22,Shi Smith,Carolina Panthers,WR,17,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
23,24,Jalen Reagor,Minnesota Vikings,WR,12,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
24,25,Andre Roberts,Carolina Panthers,WR,10,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
25,26,Jamal Agnew,Jacksonville Jaguars,WR,9,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
26,27,Jevon Holland,Miami Dolphins,S,8,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
27,28,Desmond King II,Houston Texans,DB,7,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
28,29,Deonte Harty,New Orleans Saints,WR,6,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
29,30,Hunter Renfrow,Las Vegas Raiders,WR,4,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
30,31,Mecole Hardman,Kansas City Chiefs,WR,3,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
31,31,Keke Coutee,Indianapolis Colts,WR,3,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
32,33,Troy Dye,Minnesota Vikings,LB,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
33,33,Austin Jackson,Miami Dolphins,G,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
34,33,John Ridgeway,Washington Commanders,DT,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
35,33,Neville Gallimore,Dallas Cowboys,DT,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
36,33,Drue Tranquill,Los Angeles Chargers,LB,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
37,33,Milton Williams,Philadelphia Eagles,DT,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
38,33,Tyrion Davis-Price,San Francisco 49ers,RB,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
39,33,Matt Feiler,Los Angeles Chargers,G,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
40,33,Ogbonnia Okoronkwo,Houston Texans,DL,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
41,33,Frankie Luvu,Carolina Panthers,LB,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
42,33,Shaquill Griffin,Jacksonville Jaguars,CB,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
43,33,DJ Reader,Cincinnati Bengals,DT,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
44,33,Desmond Ridder,Atlanta Falcons,QB,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
45,33,Jaycee Horn,Carolina Panthers,CB,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
46,33,Geno Smith,Seattle Seahawks,QB,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
47,33,Samuel Womack III,San Francisco 49ers,CB,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
48,33,Van Jefferson,Los Angeles Rams,WR,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
49,33,Tyson Alualu,Pittsburgh Steelers,DE,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
50,33,Blake Gillikin,New Orleans Saints,P,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
51,33,Ifeatu Melifonwu,Detroit Lions,S,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
52,33,Christian Benford,Buffalo Bills,CB,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
53,33,Denzel Ward,Cleveland Browns,CB,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
54,33,Justin Hollins,Los Angeles Rams,LB,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
55,33,Kene Nwangwu,Minnesota Vikings,RB,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
56,33,Dylan Parham,Las Vegas Raiders,G,0,2022-09-22 15:16:03.373267,/nfl/player-stat/punt-return-yards
