,Rank,Player,Team,Pos,Value,asof,url
0,1,Ray-Ray McCloud,San Francisco 49ers,WR,12,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
1,2,Britain Covey,Philadelphia Eagles,WR,11,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
2,3,Greg Dortch,Arizona Cardinals,WR,9,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
3,3,Richie James,New York Giants,WR,9,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
4,3,Skyy Moore,Kansas City Chiefs,WR,9,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
5,3,Trent Taylor,Cincinnati Bengals,WR,9,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
6,3,Montrell Washington,Denver Broncos,WR,9,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
7,3,Jamison Crowder,Buffalo Bills,WR,9,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
8,9,Nyheim Hines,Indianapolis Colts,RB,8,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
9,9,Jamal Agnew,Jacksonville Jaguars,WR,8,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
10,9,Amari Rodgers,Green Bay Packers,WR,8,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
11,9,Jaelon Darden,Tampa Bay Buccaneers,WR,8,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
12,13,Dax Milne,Washington Commanders,WR,7,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
13,13,Demetric Felton Jr.,Cleveland Browns,RB,7,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
14,13,Shi Smith,Carolina Panthers,WR,7,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
15,13,Myles Bryant,New England Patriots,DB,7,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
16,13,Jalen Reagor,Minnesota Vikings,WR,7,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
17,18,Kalif Raymond,Detroit Lions,WR,6,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
18,19,Devin Duvernay,Baltimore Ravens,WR,5,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
19,19,DeAndre Carter,Los Angeles Chargers,WR,5,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
20,19,KaVontae Turpin,Dallas Cowboys,WR,5,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
21,19,Avery Williams,Atlanta Falcons,RB,5,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
22,19,Gunner Olszewski,Pittsburgh Steelers,WR,5,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
23,19,Kyle Philips,Tennessee Titans,WR,5,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
24,25,Brandon Powell,Los Angeles Rams,WR,4,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
25,25,Braxton Berrios,New York Jets,WR,4,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
26,25,Desmond King II,Houston Texans,DB,4,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
27,28,Keke Coutee,Indianapolis Colts,WR,3,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
28,28,Deonte Harty,New Orleans Saints,WR,3,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
29,28,Keelan Cole,Las Vegas Raiders,WR,3,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
30,28,Dante Pettis,Chicago Bears,WR,3,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
31,32,Marcus Jones,New England Patriots,DB,2,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
32,32,Hunter Renfrow,Las Vegas Raiders,WR,2,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
33,32,Velus Jones Jr.,Chicago Bears,WR,2,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
34,32,Chester Rogers,Houston Texans,WR,2,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
35,32,Jevon Holland,Miami Dolphins,S,2,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
36,32,Donovan Peoples-Jones,Cleveland Browns,WR,2,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
37,32,Jarvis Landry,New Orleans Saints,WR,2,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
38,39,Robert Woods,Tennessee Titans,WR,1,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
39,39,Andre Roberts,Carolina Panthers,WR,1,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
40,39,DeVonta Smith,Philadelphia Eagles,WR,1,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
41,39,Mecole Hardman,Kansas City Chiefs,WR,1,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
42,39,Amani Hooker,Tennessee Titans,DB,1,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
43,39,Tyler Lockett,Seattle Seahawks,WR,1,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
44,39,Tyron Johnson,Las Vegas Raiders,WR,1,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
45,39,Jake Gervase,Los Angeles Rams,LB,1,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
46,39,Xavier Crawford,Seattle Seahawks,DB,1,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
47,48,Kyle Pitts,Atlanta Falcons,TE,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
48,48,Lawrence Guy,New England Patriots,DL,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
49,48,Patrick Mahomes,Kansas City Chiefs,QB,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
50,48,Malcolm Koonce,Las Vegas Raiders,DE,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
51,48,Younghoe Koo,Atlanta Falcons,K,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
52,48,Dan Feeney,New York Jets,OL,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
53,48,Kyle Fuller,Seattle Seahawks,C,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
54,48,Kendall Hinton,Denver Broncos,WR,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
55,48,Kristian Welch,Baltimore Ravens,LB,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
56,48,Quinton Bohanna,Dallas Cowboys,DT,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
57,48,Robert Jones,Miami Dolphins,G,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
58,48,Eric Rowe,Miami Dolphins,S,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
59,48,Mike Edwards,Tampa Bay Buccaneers,S,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
60,48,Ben Skowronek,Los Angeles Rams,WR,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
61,48,Paulson Adebo,New Orleans Saints,CB,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
62,48,Germaine Pratt,Cincinnati Bengals,LB,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
63,48,Zach Wilson,New York Jets,QB,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
64,48,C.J. Mosley,New York Jets,LB,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
65,48,Josh Woods,Detroit Lions,LB,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
66,48,Riley Patterson,Jacksonville Jaguars,K,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
67,48,Oren Burks,San Francisco 49ers,LB,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
68,48,Travis Jones,Baltimore Ravens,DT,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
69,48,A.J. Green,Arizona Cardinals,WR,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
70,48,Khari Blasingame,Chicago Bears,FB,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
71,48,Mike Danna,Kansas City Chiefs,DE,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
72,48,C.J. Brewer,Buffalo Bills,DT,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
73,48,Zay Jones,Jacksonville Jaguars,WR,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
74,48,Andrus Peat,New Orleans Saints,G,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
75,48,Jamaal Williams,Detroit Lions,RB,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
76,48,Matt Nelson,Detroit Lions,T,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
77,48,Antonio Williams,New York Giants,RB,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
78,48,Akeem Davis-Gaither,Cincinnati Bengals,LB,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
79,48,Tyler Smith,Dallas Cowboys,OL,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
80,48,Nick Kwiatkoski,Atlanta Falcons,LB,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
81,48,Charlie Heck,Houston Texans,OL,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
82,48,Tommy Kraemer,Detroit Lions,G,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
83,48,Joshua Palmer,Los Angeles Chargers,WR,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
84,48,Dalton Risner,Denver Broncos,G,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
85,48,Chris Claybrooks,Jacksonville Jaguars,CB,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
86,48,Jake Kumerow,Buffalo Bills,WR,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
87,48,Blake Hance,San Francisco 49ers,G,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
88,48,Travis Homer,Seattle Seahawks,RB,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
89,48,Greg Little,Miami Dolphins,T,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
90,48,Dion Dawkins,Buffalo Bills,T,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
91,48,Nicholas Petit-Frere,Tennessee Titans,T,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
92,48,Blaine Gabbert,Tampa Bay Buccaneers,QB,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
93,48,Mark Andrews,Baltimore Ravens,TE,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
94,48,Rashad Fenton,Kansas City Chiefs,CB,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
95,48,Nate Landman,Atlanta Falcons,LB,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
96,48,Duke Riley,Miami Dolphins,LB,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
97,48,Dare Ogunbowale,Houston Texans,RB,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
98,48,Marcus Maye,New Orleans Saints,S,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
99,48,David Sills V,New York Giants,WR,0,2022-10-05 16:57:54.737097,/nfl/player-stat/punt-returns
