,Rank,Player,Team,Pos,Value,asof,url
0,1,Ryan Stonehouse,Tennessee Titans,P,1483,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
1,2,Tress Way,Washington Commanders,P,1368,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
2,3,Cameron Johnston,Houston Texans,P,1277,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
3,4,Corliss Waitman,Denver Broncos,P,1196,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
4,5,Bryan Anger,Dallas Cowboys,P,1193,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
5,6,Blake Gillikin,New Orleans Saints,P,1158,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
6,7,Pressley Harvin III,Pittsburgh Steelers,P,1127,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
7,8,Johnny Hekker,Carolina Panthers,P,1106,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
8,9,Jamie Gillan,New York Giants,P,1070,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
9,10,Trenton Gill,Chicago Bears,P,1033,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
10,11,Braden Mann,New York Jets,P,1008,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
11,12,Jake Camarda,Tampa Bay Buccaneers,P,1000,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
12,13,Pat O'Donnell,Green Bay Packers,P,974,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
13,14,Matt Haack,Indianapolis Colts,P,937,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
14,15,Andy Lee,Arizona Cardinals,P,917,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
15,16,Arryn Siposs,Philadelphia Eagles,P,915,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
16,17,Mitch Wishnowsky,San Francisco 49ers,P,888,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
17,18,Kevin Huber,Cincinnati Bengals,P,849,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
18,19,JK Scott,Los Angeles Chargers,P,836,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
19,20,Corey Bojorquez,Cleveland Browns,P,809,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
20,21,Jake Bailey,New England Patriots,P,799,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
21,21,Tommy Townsend,Kansas City Chiefs,P,799,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
22,23,Jack Fox,Detroit Lions,P,781,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
23,24,Ryan Wright,Minnesota Vikings,P,775,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
24,25,Riley Dixon,Los Angeles Rams,P,767,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
25,26,Thomas Morstead,Miami Dolphins,P,764,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
26,27,Logan Cooke,Jacksonville Jaguars,P,753,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
27,28,Bradley Pinion,Atlanta Falcons,P,740,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
28,29,Jordan Stout,Baltimore Ravens,P,736,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
29,30,AJ Cole,Las Vegas Raiders,P,730,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
30,31,Michael Dickson,Seattle Seahawks,P,685,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
31,32,Sam Martin,Buffalo Bills,P,422,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
32,33,Wes Schweitzer,Washington Commanders,G,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
33,33,Frankie Luvu,Carolina Panthers,LB,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
34,33,Cam Lewis,Buffalo Bills,CB,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
35,33,Alec Lindstrom,Dallas Cowboys,C,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
36,33,Pat Surtain II,Denver Broncos,CB,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
37,33,Marlon Humphrey,Baltimore Ravens,CB,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
38,33,Mike Purcell,Denver Broncos,DL,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
39,33,Dalton Risner,Denver Broncos,G,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
40,33,Jessie Bates III,Cincinnati Bengals,S,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
41,33,Lance McCutcheon,Los Angeles Rams,WR,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
42,33,Vonn Bell,Cincinnati Bengals,S,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
43,33,Carson Wentz,Washington Commanders,QB,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
44,33,C.J. Beathard,Jacksonville Jaguars,QB,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
45,33,Mike Hughes,Detroit Lions,CB,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
46,33,Jaylon Moore,San Francisco 49ers,OL,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
47,33,Isaiah Pola-Mao,Las Vegas Raiders,S,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
48,33,Christian Rozeboom,Los Angeles Rams,LB,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
49,33,Tom Kennedy,Detroit Lions,WR,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
50,33,Isaiah Simmons,Arizona Cardinals,LB,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
51,33,Larnel Coleman,Miami Dolphins,T,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
52,33,Jonathan Harris,Denver Broncos,DL,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
53,33,Darren Waller,Las Vegas Raiders,TE,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
54,33,Samaje Perine,Cincinnati Bengals,HB,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
55,33,Chris Manhertz,Jacksonville Jaguars,TE,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
56,33,Gabe Davis,Buffalo Bills,WR,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
57,33,Daniel Faalele,Baltimore Ravens,T,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
58,33,C.J. Mosley,New York Jets,LB,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
59,33,Brian Allen,Los Angeles Rams,C,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
60,33,Anthony Nelson,Tampa Bay Buccaneers,LB,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
61,33,T.J. Hockenson,Detroit Lions,TE,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
62,33,Josh Ross,Baltimore Ravens,LB,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
63,33,Tarell Basham,Dallas Cowboys,DE,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
64,33,Randall Cobb,Green Bay Packers,WR,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
65,33,Taylor Decker,Detroit Lions,T,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
66,33,Jakobi Meyers,New England Patriots,WR,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
67,33,Tony Jones Jr.,Seattle Seahawks,RB,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
68,33,Paulson Adebo,New Orleans Saints,CB,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
69,33,Jabril Cox,Dallas Cowboys,LB,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
70,33,Joe Schobert,Tennessee Titans,LB,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
71,33,Marcus Epps,Philadelphia Eagles,S,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
72,33,Shaquille Quarterman,Jacksonville Jaguars,LB,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
73,33,Ashton Dulin,Indianapolis Colts,WR,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
74,33,Roy Robertson-Harris,Jacksonville Jaguars,DL,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
75,33,Vita Vea,Tampa Bay Buccaneers,DL,0,2022-10-11 16:27:35.997159,/nfl/player-stat/punting-gross-yards
