,Rank,Player,Team,Pos,Value,asof,url
0,1,Corliss Waitman,Denver Broncos,P,58,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
1,2,Tress Way,Washington Commanders,P,57,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
2,3,Johnny Hekker,Carolina Panthers,P,56,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
3,4,Ryan Stonehouse,Tennessee Titans,P,54,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
4,5,Braden Mann,New York Jets,P,53,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
5,6,Cameron Johnston,Houston Texans,P,50,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
6,7,Pressley Harvin III,Pittsburgh Steelers,P,49,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
7,8,Ryan Wright,Minnesota Vikings,P,48,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
8,8,Matt Haack,Indianapolis Colts,P,48,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
9,10,Riley Dixon,Los Angeles Rams,P,46,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
10,10,Blake Gillikin,New Orleans Saints,P,46,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
11,10,Jake Camarda,Tampa Bay Buccaneers,P,46,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
12,13,Andy Lee,Arizona Cardinals,P,45,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
13,14,Jamie Gillan,New York Giants,P,43,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
14,15,Bryan Anger,Dallas Cowboys,P,42,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
15,15,Bradley Pinion,Atlanta Falcons,P,42,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
16,15,Pat O'Donnell,Green Bay Packers,P,42,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
17,18,Trenton Gill,Chicago Bears,P,40,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
18,18,JK Scott,Los Angeles Chargers,P,40,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
19,20,Arryn Siposs,Philadelphia Eagles,P,38,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
20,21,Jake Bailey,New England Patriots,P,37,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
21,22,Jordan Stout,Baltimore Ravens,P,36,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
22,23,Michael Dickson,Seattle Seahawks,P,35,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
23,23,Mitch Wishnowsky,San Francisco 49ers,P,35,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
24,23,Logan Cooke,Jacksonville Jaguars,P,35,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
25,26,AJ Cole,Las Vegas Raiders,P,34,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
26,27,Jack Fox,Detroit Lions,P,33,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
27,28,Kevin Huber,Cincinnati Bengals,P,31,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
28,28,Thomas Morstead,Miami Dolphins,P,31,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
29,30,Tommy Townsend,Kansas City Chiefs,P,29,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
30,30,Corey Bojorquez,Cleveland Browns,P,29,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
31,32,Sam Martin,Buffalo Bills,P,20,2022-11-23 18:36:49.400555,/nfl/player-stat/punting-plays
