,Rank,Player,Team,Pos,Value,asof,url
0,1,Gabe Davis,Buffalo Bills,WR,21.1,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
1,2,DeVante Parker,New England Patriots,WR,20.0,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
2,3,Corey Davis,New York Jets,WR,18.5,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
3,4,Jaylen Waddle,Miami Dolphins,WR,17.2,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
4,5,Darius Slayton,New York Giants,WR,17.2,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
5,6,Marquez Valdes-Scantling,Kansas City Chiefs,WR,17.0,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
6,7,A.J. Brown,Philadelphia Eagles,WR,16.0,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
7,8,Terry McLaurin,Washington Commanders,WR,15.8,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
8,9,Justin Jefferson,Minnesota Vikings,WR,15.2,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
9,10,Alec Pierce,Indianapolis Colts,WR,15.1,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
10,11,Jerry Jeudy,Denver Broncos,WR,15.0,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
11,12,Olamide Zaccheaus,Atlanta Falcons,WR,15.0,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
12,13,Chris Olave,New Orleans Saints,WR,14.9,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
13,14,Tyler Boyd,Cincinnati Bengals,WR,14.8,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
14,15,Davante Adams,Las Vegas Raiders,WR,14.5,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
15,16,Donovan Peoples-Jones,Cleveland Browns,WR,14.4,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
16,17,Nelson Agholor,New England Patriots,WR,14.4,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
17,18,Nico Collins,Houston Texans,WR,14.4,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
18,19,Tee Higgins,Cincinnati Bengals,WR,14.2,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
19,20,Tyreek Hill,Miami Dolphins,WR,14.2,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
20,21,Amari Cooper,Cleveland Browns,WR,14.0,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
21,22,Allen Lazard,Green Bay Packers,WR,13.9,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
22,23,Randall Cobb,Green Bay Packers,WR,13.8,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
23,24,Josh Reynolds,Detroit Lions,WR,13.7,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
24,25,George Pickens,Pittsburgh Steelers,WR,13.7,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
25,26,Noah Brown,Dallas Cowboys,WR,13.7,2022-11-23 18:36:15.876498,/nfl/player-stat/receiving-yards-per-catch
