,Rank,Player,Team,Pos,Value,asof,url
0,1,Austin Ekeler,Los Angeles Chargers,RB,8,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
1,1,Nick Chubb,Cleveland Browns,RB,8,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
2,3,Travis Kelce,Kansas City Chiefs,TE,7,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
3,4,Josh Jacobs,Las Vegas Raiders,RB,6,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
4,4,Stefon Diggs,Buffalo Bills,WR,6,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
5,4,Jamaal Williams,Detroit Lions,RB,6,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
6,4,Jalen Hurts,Philadelphia Eagles,QB,6,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
7,4,Clyde Edwards-Helaire,Kansas City Chiefs,RB,6,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
8,4,Taysom Hill,New Orleans Saints,TE,6,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
9,4,Ja'Marr Chase,Cincinnati Bengals,WR,6,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
10,11,Breece Hall,New York Jets,RB,5,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
11,11,Mecole Hardman,Kansas City Chiefs,WR,5,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
12,11,Mark Andrews,Baltimore Ravens,TE,5,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
13,11,Derrick Henry,Tennessee Titans,RB,5,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
14,11,Cooper Kupp,Los Angeles Rams,WR,5,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
15,11,Davante Adams,Las Vegas Raiders,WR,5,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
16,17,Dalvin Cook,Minnesota Vikings,RB,4,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
17,17,Rhamondre Stevenson,New England Patriots,RB,4,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
18,17,Leonard Fournette,Tampa Bay Buccaneers,RB,4,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
19,17,Khalil Herbert,Chicago Bears,RB,4,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
20,17,Jahan Dotson,Washington Commanders,WR,4,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
21,17,Ezekiel Elliott,Dallas Cowboys,RB,4,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
22,17,Gabe Davis,Buffalo Bills,WR,4,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
23,17,Kenneth Walker III,Seattle Seahawks,RB,4,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
24,17,Kareem Hunt,Cleveland Browns,RB,4,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
25,17,Allen Lazard,Green Bay Packers,WR,4,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
26,17,Christian Kirk,Jacksonville Jaguars,WR,4,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
27,17,Amari Cooper,Cleveland Browns,WR,4,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
28,17,Miles Sanders,Philadelphia Eagles,RB,4,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
29,17,James Robinson,Jacksonville Jaguars,RB,4,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
30,17,Aaron Jones,Green Bay Packers,RB,4,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
31,17,Saquon Barkley,New York Giants,RB,4,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
32,33,Mike Williams,Los Angeles Chargers,WR,3,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
33,33,Michael Thomas,New Orleans Saints,WR,3,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
34,33,Daniel Bellinger,New York Giants,TE,3,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
35,33,Trevor Lawrence,Jacksonville Jaguars,QB,3,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
36,33,Tyler Boyd,Cincinnati Bengals,WR,3,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
37,33,Dameon Pierce,Houston Texans,RB,3,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
38,33,Jaylen Waddle,Miami Dolphins,WR,3,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
39,33,Will Dissly,Seattle Seahawks,TE,3,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
40,33,Amon-Ra St. Brown,Detroit Lions,WR,3,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
41,33,Devin Duvernay,Baltimore Ravens,WR,3,2022-10-25 10:51:15.546988,/nfl/player-stat/rushing-and-receiving-touchdowns
