,Rank,Player,Team,Pos,Value,asof,url
0,1,Josh Jacobs,Las Vegas Raiders,RB,1159,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
1,2,Derrick Henry,Tennessee Titans,RB,1048,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
2,3,Nick Chubb,Cleveland Browns,RB,1039,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
3,4,Saquon Barkley,New York Giants,RB,992,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
4,5,Miles Sanders,Philadelphia Eagles,RB,900,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
5,6,Dalvin Cook,Minnesota Vikings,RB,841,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
6,7,Justin Fields,Chicago Bears,QB,834,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
7,8,Aaron Jones,Green Bay Packers,RB,821,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
8,9,Dameon Pierce,Houston Texans,RB,788,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
9,10,Jonathan Taylor,Indianapolis Colts,RB,779,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
10,11,Tony Pollard,Dallas Cowboys,RB,761,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
11,12,Lamar Jackson,Baltimore Ravens,QB,755,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
12,13,Jamaal Williams,Detroit Lions,RB,734,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
13,14,Travis Etienne Jr.,Jacksonville Jaguars,RB,728,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
14,15,Rhamondre Stevenson,New England Patriots,RB,680,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
15,16,Jeff Wilson Jr.,Miami Dolphins,RB,677,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
16,17,Khalil Herbert,Chicago Bears,RB,643,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
17,18,Christian McCaffrey,San Francisco 49ers,RB,634,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
18,19,Kenneth Walker III,Seattle Seahawks,RB,613,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
19,20,Joe Mixon,Cincinnati Bengals,HB,605,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
20,21,Jalen Hurts,Philadelphia Eagles,QB,597,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
21,22,Najee Harris,Pittsburgh Steelers,RB,585,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
22,23,David Montgomery,Chicago Bears,RB,580,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
23,24,Ezekiel Elliott,Dallas Cowboys,RB,577,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
24,25,D'Onta Foreman,Carolina Panthers,RB,563,2022-11-30 02:27:23.624907,/nfl/player-stat/rushing-net-yards
