,Rank,Player,Team,Pos,Value,asof,url
0,1,Lamar Jackson,Baltimore Ravens,QB,9.3,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
1,2,D'Andre Swift,Detroit Lions,RB,8.6,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
2,3,Khalil Herbert,Chicago Bears,RB,7.3,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
3,4,Aaron Jones,Green Bay Packers,RB,6.8,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
4,5,Deebo Samuel,San Francisco 49ers,WR,6.5,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
5,6,Cordarrelle Patterson,Atlanta Falcons,RB,6.2,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
6,7,Saquon Barkley,New York Giants,RB,6.1,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
7,8,Josh Allen,Buffalo Bills,QB,5.9,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
8,9,Nick Chubb,Cleveland Browns,RB,5.5,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
9,10,Breece Hall,New York Jets,RB,5.3,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
10,11,Clyde Edwards-Helaire,Kansas City Chiefs,RB,5.3,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
11,12,Mark Ingram II,New Orleans Saints,RB,5.2,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
12,13,Rhamondre Stevenson,New England Patriots,RB,5.0,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
13,14,Miles Sanders,Philadelphia Eagles,RB,4.9,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
14,15,Christian McCaffrey,Carolina Panthers,RB,4.9,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
15,16,Javonte Williams,Denver Broncos,RB,4.8,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
16,17,Dalvin Cook,Minnesota Vikings,RB,4.7,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
17,18,Jonathan Taylor,Indianapolis Colts,RB,4.7,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
18,19,Jeff Wilson Jr.,San Francisco 49ers,RB,4.6,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
19,20,Damien Harris,New England Patriots,RB,4.6,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
20,20,Josh Jacobs,Las Vegas Raiders,RB,4.6,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
21,22,David Montgomery,Chicago Bears,RB,4.5,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
22,23,Isaih Pacheco,Kansas City Chiefs,RB,4.5,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
23,24,Jalen Hurts,Philadelphia Eagles,QB,4.5,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
24,25,James Robinson,Jacksonville Jaguars,RB,4.5,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
25,26,Eno Benjamin,Arizona Cardinals,RB,4.4,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
26,27,Rashaad Penny,Seattle Seahawks,RB,4.4,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
27,28,Michael Carter,New York Jets,RB,4.4,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
28,29,Travis Etienne Jr.,Jacksonville Jaguars,RB,4.3,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
29,30,Alexander Mattison,Minnesota Vikings,RB,4.2,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
30,31,Ezekiel Elliott,Dallas Cowboys,RB,4.2,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
31,32,Kareem Hunt,Cleveland Browns,RB,4.2,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
32,33,Alvin Kamara,New Orleans Saints,RB,4.2,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
33,34,Darrell Henderson Jr.,Los Angeles Rams,RB,4.1,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
34,35,Leonard Fournette,Tampa Bay Buccaneers,RB,4.0,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
35,36,Dameon Pierce,Houston Texans,RB,4.0,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
36,37,Jamaal Williams,Detroit Lions,RB,3.9,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
37,38,Melvin Gordon III,Denver Broncos,RB,3.9,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
38,39,Marcus Mariota,Atlanta Falcons,QB,3.7,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
39,40,Derrick Henry,Tennessee Titans,RB,3.6,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
40,41,Justin Fields,Chicago Bears,QB,3.5,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
41,42,Cam Akers,Los Angeles Rams,RB,3.5,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
42,43,Devin Singletary,Buffalo Bills,RB,3.5,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
43,44,AJ Dillon,Green Bay Packers,RB,3.5,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
44,45,Chase Edmonds,Miami Dolphins,RB,3.4,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
45,46,Tony Pollard,Dallas Cowboys,RB,3.4,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
46,47,Raheem Mostert,Miami Dolphins,RB,3.3,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
47,48,Najee Harris,Pittsburgh Steelers,RB,3.2,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
48,49,Antonio Gibson,Washington Commanders,RB,3.1,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
49,50,James Conner,Arizona Cardinals,RB,3.0,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
50,51,Rex Burkhead,Houston Texans,RB,2.9,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
51,52,Daniel Jones,New York Giants,QB,2.9,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
52,53,Joe Mixon,Cincinnati Bengals,HB,2.8,2022-09-26 17:15:37.737886,/nfl/player-stat/rushing-yards-per-attempt
