,Rank,Player,Team,Pos,Value,asof,url
0,1,Tyler Bass,Buffalo Bills,K,21,2022-10-18 18:06:56.222743,/nfl/player-stat/scoring-extra-points
1,2,Justin Tucker,Baltimore Ravens,K,17,2022-10-18 18:06:56.222743,/nfl/player-stat/scoring-extra-points
2,3,Nick Folk,New England Patriots,K,15,2022-10-18 18:06:56.222743,/nfl/player-stat/scoring-extra-points
3,3,Jake Elliott,Philadelphia Eagles,K,15,2022-10-18 18:06:56.222743,/nfl/player-stat/scoring-extra-points
4,3,Greg Zuerlein,New York Jets,K,15,2022-10-18 18:06:56.222743,/nfl/player-stat/scoring-extra-points
5,6,Jason Myers,Seattle Seahawks,K,14,2022-10-18 18:06:56.222743,/nfl/player-stat/scoring-extra-points
6,6,Younghoe Koo,Atlanta Falcons,K,14,2022-10-18 18:06:56.222743,/nfl/player-stat/scoring-extra-points
7,6,Jason Sanders,Miami Dolphins,K,14,2022-10-18 18:06:56.222743,/nfl/player-stat/scoring-extra-points
8,9,Riley Patterson,Jacksonville Jaguars,K,13,2022-10-18 18:06:56.222743,/nfl/player-stat/scoring-extra-points
9,9,Robbie Gould,San Francisco 49ers,K,13,2022-10-18 18:06:56.222743,/nfl/player-stat/scoring-extra-points
10,9,Cade York,Cleveland Browns,K,13,2022-10-18 18:06:56.222743,/nfl/player-stat/scoring-extra-points
11,12,Mason Crosby,Green Bay Packers,K,12,2022-10-18 18:06:56.222743,/nfl/player-stat/scoring-extra-points
12,12,Austin Seibert,Detroit Lions,K,12,2022-10-18 18:06:56.222743,/nfl/player-stat/scoring-extra-points
13,12,Dustin Hopkins,Los Angeles Chargers,K,12,2022-10-18 18:06:56.222743,/nfl/player-stat/scoring-extra-points
14,12,Randy Bullock,Tennessee Titans,K,12,2022-10-18 18:06:56.222743,/nfl/player-stat/scoring-extra-points
15,12,Wil Lutz,New Orleans Saints,K,12,2022-10-18 18:06:56.222743,/nfl/player-stat/scoring-extra-points
16,12,Greg Joseph,Minnesota Vikings,K,12,2022-10-18 18:06:56.222743,/nfl/player-stat/scoring-extra-points
17,18,Evan McPherson,Cincinnati Bengals,K,11,2022-10-18 18:06:56.222743,/nfl/player-stat/scoring-extra-points
18,18,Graham Gano,New York Giants,K,11,2022-10-18 18:06:56.222743,/nfl/player-stat/scoring-extra-points
19,18,Matt Gay,Los Angeles Rams,K,11,2022-10-18 18:06:56.222743,/nfl/player-stat/scoring-extra-points
20,21,Chris Boswell,Pittsburgh Steelers,K,8,2022-10-18 18:06:56.222743,/nfl/player-stat/scoring-extra-points
