,Rank,Player,Team,Pos,Value,asof,url
0,1,Tyler Bass,Buffalo Bills,K,101,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
1,2,Justin Tucker,Baltimore Ravens,K,99,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
2,3,Nick Folk,New England Patriots,K,95,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
3,4,Jason Myers,Seattle Seahawks,K,93,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
4,5,Daniel Carlson,Las Vegas Raiders,K,91,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
5,6,Brett Maher,Dallas Cowboys,K,87,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
6,7,Younghoe Koo,Atlanta Falcons,K,86,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
7,8,Ryan Succop,Tampa Bay Buccaneers,K,84,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
8,8,Eddy Pineiro,Carolina Panthers,K,84,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
9,10,Jamaal Williams,Detroit Lions,RB,80,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
10,11,Graham Gano,New York Giants,K,79,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
11,12,Greg Zuerlein,New York Jets,K,78,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
12,12,Jason Sanders,Miami Dolphins,K,78,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
13,14,Evan McPherson,Cincinnati Bengals,K,77,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
14,15,Wil Lutz,New Orleans Saints,K,75,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
15,15,Cade York,Cleveland Browns,K,75,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
16,17,Travis Kelce,Kansas City Chiefs,TE,74,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
17,17,Nick Chubb,Cleveland Browns,RB,74,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
18,17,Robbie Gould,San Francisco 49ers,K,74,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
19,20,Ka'imi Fairbairn,Houston Texans,K,72,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
20,20,Greg Joseph,Minnesota Vikings,K,72,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
21,20,Chase McLaughlin,Indianapolis Colts,K,72,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
22,20,Austin Ekeler,Los Angeles Chargers,RB,72,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
23,24,Joey Slye,Washington Commanders,K,71,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
24,24,Brandon McManus,Denver Broncos,K,71,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
25,26,Riley Patterson,Jacksonville Jaguars,K,70,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
26,27,Cairo Santos,Chicago Bears,K,69,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
27,28,Matt Gay,Los Angeles Rams,K,64,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
28,29,Mason Crosby,Green Bay Packers,K,63,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
29,30,Derrick Henry,Tennessee Titans,RB,60,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
30,30,Davante Adams,Las Vegas Raiders,WR,60,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
31,32,Jake Elliott,Philadelphia Eagles,K,59,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
32,33,Harrison Butker,Kansas City Chiefs,K,56,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
33,34,Josh Jacobs,Las Vegas Raiders,RB,54,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
34,34,Kenneth Walker III,Seattle Seahawks,RB,54,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
35,34,Stefon Diggs,Buffalo Bills,WR,54,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
36,37,Randy Bullock,Tennessee Titans,K,52,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
37,38,Jalen Hurts,Philadelphia Eagles,QB,50,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
38,39,Joe Mixon,Cincinnati Bengals,HB,48,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
39,39,Miles Sanders,Philadelphia Eagles,RB,48,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
40,39,Tony Pollard,Dallas Cowboys,RB,48,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
41,42,Matthew Wright,Pittsburgh Steelers,K,47,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
42,42,Michael Badgley,Detroit Lions,K,47,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
43,44,Chris Boswell,Pittsburgh Steelers,K,45,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
44,45,Saquon Barkley,New York Giants,RB,44,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
45,46,Matt Prater,Arizona Cardinals,K,43,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
46,47,Christian Kirk,Jacksonville Jaguars,WR,42,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
47,47,Ezekiel Elliott,Dallas Cowboys,RB,42,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
48,47,Justin Fields,Chicago Bears,QB,42,2022-11-30 02:28:27.242824,/nfl/player-stat/scoring-total-points
