,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Philadelphia,60.89%,60.89%,66.50%,66.50%,55.28%,48.81%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
1,2,Atlanta,60.19%,60.19%,60.28%,60.11%,60.28%,48.89%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
2,3,Cleveland,56.22%,56.22%,53.11%,53.11%,59.33%,51.67%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
3,4,Kansas City,55.47%,55.47%,47.67%,47.67%,63.28%,49.88%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
4,5,Green Bay,55.25%,55.25%,67.89%,67.89%,42.61%,55.54%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
5,6,LA Chargers,55.08%,55.08%,52.33%,57.83%,52.33%,49.00%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
6,7,San Francisco,54.25%,54.25%,58.00%,58.00%,50.50%,48.82%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
7,8,Cincinnati,53.69%,53.69%,43.78%,63.61%,43.78%,49.07%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
8,9,Buffalo,53.64%,53.64%,55.67%,55.67%,51.61%,52.18%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
9,10,Jacksonville,52.03%,52.03%,61.83%,61.83%,42.22%,46.06%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
10,11,NY Jets,51.92%,51.92%,46.89%,56.94%,46.89%,45.32%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
11,12,Miami,51.86%,51.86%,50.61%,53.11%,50.61%,51.66%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
12,13,Las Vegas,51.42%,51.42%,60.67%,60.67%,42.17%,48.20%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
13,14,Detroit,51.39%,51.39%,58.06%,51.39%,0,48.69%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
14,15,Tampa Bay,50.36%,50.36%,40.11%,0,50.36%,49.33%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
15,16,Indianapolis,50.11%,50.11%,38.17%,0,50.11%,51.52%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
16,17,New Orleans,49.89%,49.89%,59.89%,59.89%,39.89%,51.73%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
17,18,Washington,49.86%,49.86%,41.94%,57.78%,41.94%,50.43%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
18,19,NY Giants,49.31%,49.31%,49.78%,49.78%,48.83%,46.25%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
19,20,Seattle,48.72%,48.72%,42.00%,55.44%,42.00%,40.97%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
20,21,Dallas,47.81%,47.81%,56.22%,47.81%,0,54.60%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
21,22,Tennessee,47.75%,47.75%,44.33%,51.17%,44.33%,53.98%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
22,23,Pittsburgh,47.17%,47.17%,57.94%,57.94%,36.39%,48.76%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
23,24,Denver,47.11%,47.11%,49.67%,49.67%,44.56%,50.06%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
24,25,Baltimore,46.22%,46.22%,49.39%,49.39%,43.06%,55.26%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
25,26,Carolina,45.44%,45.44%,50.22%,40.67%,50.22%,53.26%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
26,26,Minnesota,45.44%,45.44%,33.50%,57.39%,33.50%,48.11%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
27,28,New England,44.47%,44.47%,42.06%,0,44.47%,48.50%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
28,29,Houston,44.14%,44.14%,50.33%,37.94%,50.33%,49.26%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
29,30,LA Rams,44.06%,44.06%,39.72%,44.06%,0,53.10%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
30,31,Chicago,40.81%,40.81%,32.11%,49.50%,32.11%,51.63%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
31,32,Arizona,38.03%,38.03%,39.33%,36.72%,39.33%,48.57%,2022-09-20,/nfl/stat/1st-half-time-of-possession-share-pct
