,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Cincinnati,59.67%,71.04%,78.33%,67.58%,53.33%,50.30%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
1,2,Atlanta,57.94%,58.67%,84.67%,65.33%,48.69%,50.35%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
2,3,Baltimore,57.33%,48.93%,41.33%,59.19%,55.47%,54.13%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
3,4,Philadelphia,56.79%,52.70%,53.78%,60.00%,53.58%,47.37%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
4,5,New England,56.20%,54.52%,54.00%,49.72%,61.38%,48.19%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
5,6,Buffalo,56.04%,56.41%,60.22%,54.26%,57.11%,52.54%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
6,7,Las Vegas,55.10%,53.07%,66.78%,62.63%,50.58%,50.40%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
7,8,Indianapolis,53.63%,42.96%,46.00%,58.56%,49.69%,47.37%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
8,9,Jacksonville,53.23%,50.70%,33.22%,50.64%,55.31%,43.45%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
9,10,Green Bay,52.48%,57.70%,66.00%,54.00%,51.72%,53.20%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
10,11,LA Rams,52.15%,47.70%,42.56%,48.69%,57.93%,52.15%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
11,12,Cleveland,52.04%,46.59%,35.00%,49.16%,56.85%,52.30%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
12,13,Kansas City,51.64%,55.93%,84.22%,52.67%,50.61%,52.38%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
13,14,Tampa Bay,51.11%,62.74%,57.44%,52.00%,50.00%,49.45%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
14,15,Chicago,51.07%,59.48%,76.67%,64.53%,40.31%,51.47%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
15,16,Minnesota,51.07%,46.52%,64.56%,57.53%,44.61%,49.75%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
16,17,New Orleans,50.64%,53.19%,55.00%,53.19%,48.08%,51.01%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
17,18,San Francisco,49.63%,39.11%,25.56%,54.78%,46.53%,49.83%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
18,19,Dallas,49.01%,45.04%,52.67%,54.53%,39.81%,58.03%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
19,20,Seattle,48.64%,60.52%,58.00%,48.47%,48.78%,42.63%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
20,21,Pittsburgh,47.49%,48.15%,61.89%,49.44%,46.31%,49.07%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
21,22,Detroit,47.46%,40.37%,34.00%,42.00%,56.56%,48.29%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
22,23,Tennessee,46.90%,45.37%,15.78%,61.30%,38.27%,54.40%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
23,24,Houston,45.99%,50.19%,46.22%,44.83%,47.14%,49.86%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
24,25,Miami,45.38%,52.37%,23.33%,52.86%,39.40%,52.79%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
25,26,Denver,44.86%,51.04%,31.11%,46.58%,43.14%,51.76%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
26,27,NY Giants,44.78%,37.37%,32.67%,44.53%,45.03%,49.46%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
27,28,NY Jets,44.41%,37.63%,39.78%,45.11%,43.53%,40.52%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
28,29,Washington,44.01%,40.30%,35.44%,47.40%,39.78%,49.71%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
29,30,Carolina,42.94%,29.48%,21.67%,43.49%,42.25%,55.76%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
30,31,Arizona,41.85%,39.26%,42.00%,35.82%,49.39%,45.02%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
31,32,LA Chargers,38.19%,33.33%,15.33%,40.42%,35.97%,45.53%,2022-11-09,/nfl/stat/1st-quarter-time-of-possession-share-pct
