,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Detroit,15.0,13.3,0.0,21.7,5.0,10.5,2022-10-18,/nfl/stat/2nd-half-points-per-game
1,2,New Orleans,14.5,15.3,6.0,11.7,17.3,12.2,2022-10-18,/nfl/stat/2nd-half-points-per-game
2,2,Kansas City,14.5,14.3,10.0,16.7,12.3,13.3,2022-10-18,/nfl/stat/2nd-half-points-per-game
3,2,NY Giants,14.5,13.3,17.0,12.3,19.0,8.9,2022-10-18,/nfl/stat/2nd-half-points-per-game
4,5,NY Jets,14.2,19.7,24.0,10.0,18.3,9.6,2022-10-18,/nfl/stat/2nd-half-points-per-game
5,6,Buffalo,14.0,11.3,14.0,15.5,13.3,15.8,2022-10-18,/nfl/stat/2nd-half-points-per-game
6,7,New England,13.7,18.3,28.0,13.0,14.0,14.2,2022-10-18,/nfl/stat/2nd-half-points-per-game
7,8,Atlanta,13.2,11.7,7.0,10.0,16.3,7.5,2022-10-18,/nfl/stat/2nd-half-points-per-game
8,8,Arizona,13.2,12.0,6.0,9.0,17.3,12.8,2022-10-18,/nfl/stat/2nd-half-points-per-game
9,10,Cincinnati,11.8,12.0,16.0,13.5,11.0,13.4,2022-10-18,/nfl/stat/2nd-half-points-per-game
10,11,Washington,11.3,6.3,9.0,9.7,13.0,9.6,2022-10-18,/nfl/stat/2nd-half-points-per-game
11,11,Jacksonville,11.3,6.7,13.0,3.5,15.3,7.2,2022-10-18,/nfl/stat/2nd-half-points-per-game
12,13,Cleveland,11.2,8.7,9.0,12.0,9.5,8.7,2022-10-18,/nfl/stat/2nd-half-points-per-game
13,13,Tampa Bay,11.2,10.3,9.0,10.3,12.0,14.8,2022-10-18,/nfl/stat/2nd-half-points-per-game
14,15,Baltimore,11.0,6.3,10.0,6.3,15.7,12.2,2022-10-18,/nfl/stat/2nd-half-points-per-game
15,16,Miami,10.7,6.3,13.0,7.7,13.7,10.4,2022-10-18,/nfl/stat/2nd-half-points-per-game
16,17,Las Vegas,10.6,11.3,9.0,8.0,12.3,10.8,2022-10-18,/nfl/stat/2nd-half-points-per-game
17,18,Indianapolis,10.2,11.3,21.0,12.7,7.7,12.7,2022-10-18,/nfl/stat/2nd-half-points-per-game
18,19,Seattle,9.5,15.7,10.0,4.3,14.7,10.3,2022-10-18,/nfl/stat/2nd-half-points-per-game
19,19,Minnesota,9.5,12.3,14.0,9.3,9.7,12.8,2022-10-18,/nfl/stat/2nd-half-points-per-game
20,21,Chicago,9.0,7.3,7.0,12.0,6.0,8.6,2022-10-18,/nfl/stat/2nd-half-points-per-game
21,21,Carolina,9.0,6.0,0.0,11.0,5.0,7.2,2022-10-18,/nfl/stat/2nd-half-points-per-game
22,23,Dallas,8.8,11.0,14.0,5.3,12.3,14.3,2022-10-18,/nfl/stat/2nd-half-points-per-game
23,24,Houston,8.6,10.0,7.0,13.5,5.3,7.1,2022-10-18,/nfl/stat/2nd-half-points-per-game
24,25,LA Chargers,8.3,8.7,6.0,5.3,11.3,13.7,2022-10-18,/nfl/stat/2nd-half-points-per-game
25,26,San Francisco,7.2,10.0,0.0,8.5,6.5,11.9,2022-10-18,/nfl/stat/2nd-half-points-per-game
26,27,Pittsburgh,6.8,8.0,10.0,11.7,2.0,13.2,2022-10-18,/nfl/stat/2nd-half-points-per-game
27,28,LA Rams,6.2,6.7,17.0,6.8,5.0,13.7,2022-10-18,/nfl/stat/2nd-half-points-per-game
28,29,Green Bay,6.0,8.7,7.0,9.0,3.0,12.6,2022-10-18,/nfl/stat/2nd-half-points-per-game
29,30,Philadelphia,5.8,7.0,6.0,5.0,6.7,14.8,2022-10-18,/nfl/stat/2nd-half-points-per-game
30,31,Denver,5.7,4.3,3.0,7.0,4.3,10.3,2022-10-18,/nfl/stat/2nd-half-points-per-game
31,32,Tennessee,2.8,2.3,7.0,3.5,2.3,10.8,2022-10-18,/nfl/stat/2nd-half-points-per-game
