,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Cleveland,76.78%,76.78%,76.78%,0,76.78%,56.05%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
1,2,Denver,69.33%,69.33%,69.33%,0,69.33%,54.24%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
2,3,Cincinnati,68.33%,68.33%,68.33%,68.33%,0,50.94%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
3,4,Miami,68.22%,68.22%,68.22%,68.22%,0,54.16%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
4,5,NY Giants,66.00%,66.00%,66.00%,0,66.00%,47.78%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
5,6,Indianapolis,65.44%,65.44%,65.44%,0,65.44%,55.07%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
6,7,Atlanta,63.89%,63.89%,63.89%,63.89%,0,44.52%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
7,8,LA Rams,63.22%,63.22%,63.22%,63.22%,0,50.88%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
8,9,Washington,61.56%,61.56%,61.56%,61.56%,0,53.93%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
9,10,Kansas City,57.56%,57.56%,57.56%,0,57.56%,44.65%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
10,11,NY Jets,56.44%,56.44%,56.44%,56.44%,0,44.85%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
11,12,LA Chargers,54.56%,54.56%,54.56%,54.56%,0,49.95%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
12,13,Dallas,53.56%,53.56%,53.56%,53.56%,0,46.09%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
13,14,Philadelphia,52.44%,52.44%,52.44%,0,52.44%,47.59%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
14,15,Minnesota,51.89%,51.89%,51.89%,51.89%,0,49.92%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
15,16,San Francisco,51.78%,51.78%,51.78%,0,51.78%,49.98%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
16,17,Chicago,48.22%,48.22%,48.22%,48.22%,0,48.69%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
17,18,Green Bay,48.11%,48.11%,48.11%,0,48.11%,50.29%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
18,19,Detroit,47.56%,47.56%,47.56%,47.56%,0,50.71%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
19,20,Tampa Bay,46.44%,46.44%,46.44%,0,46.44%,50.92%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
20,21,Las Vegas,45.44%,45.44%,45.44%,0,45.44%,47.00%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
21,22,Baltimore,43.56%,43.56%,43.56%,0,43.56%,48.75%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
22,23,Arizona,42.44%,42.44%,42.44%,42.44%,0,58.33%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
23,24,Jacksonville,38.44%,38.44%,38.44%,0,38.44%,44.29%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
24,25,Buffalo,36.78%,36.78%,36.78%,0,36.78%,53.64%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
25,26,New Orleans,36.11%,36.11%,36.11%,0,36.11%,52.61%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
26,27,Houston,34.56%,34.56%,34.56%,34.56%,0,42.79%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
27,28,Tennessee,34.00%,34.00%,34.00%,34.00%,0,54.96%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
28,29,New England,31.78%,31.78%,31.78%,0,31.78%,52.35%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
29,30,Pittsburgh,31.67%,31.67%,31.67%,0,31.67%,52.91%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
30,31,Seattle,30.67%,30.67%,30.67%,30.67%,0,39.91%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
31,32,Carolina,23.22%,23.22%,23.22%,23.22%,0,50.69%,2022-09-13,/nfl/stat/4th-quarter-time-of-possession-share-pct
