,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Baltimore,119.0,119.0,110.3,142.6,107.4,84.4,2022-09-27,/nfl/stat/average-team-passer-rating
1,2,Miami,115.6,115.6,111.7,107.1,124.1,85.4,2022-09-27,/nfl/stat/average-team-passer-rating
2,3,Kansas City,111.1,111.1,76.4,106.3,113.3,101.7,2022-09-27,/nfl/stat/average-team-passer-rating
3,4,Buffalo,108.2,108.2,94.7,122.6,102.1,97.1,2022-09-27,/nfl/stat/average-team-passer-rating
4,5,Philadelphia,106.5,106.5,123.5,108.7,103.0,86.8,2022-09-27,/nfl/stat/average-team-passer-rating
5,6,Jacksonville,103.1,103.1,115.5,121.5,94.5,72.1,2022-09-27,/nfl/stat/average-team-passer-rating
6,7,Green Bay,99.3,99.3,103.9,131.1,88.5,106.7,2022-09-27,/nfl/stat/average-team-passer-rating
7,8,LA Chargers,98.9,98.9,74.0,97.9,100.5,97.4,2022-09-27,/nfl/stat/average-team-passer-rating
8,9,Seattle,95.8,95.8,99.1,108.6,66.2,103.1,2022-09-27,/nfl/stat/average-team-passer-rating
9,10,Cleveland,94.3,94.3,109.6,106.2,74.0,84.6,2022-09-27,/nfl/stat/average-team-passer-rating
10,11,Detroit,92.4,92.4,79.0,100.1,79.0,88.1,2022-09-27,/nfl/stat/average-team-passer-rating
11,12,Washington,90.6,90.6,71.0,85.6,99.6,85.8,2022-09-27,/nfl/stat/average-team-passer-rating
12,13,Tampa Bay,89.2,89.2,98.4,98.4,82.8,100.3,2022-09-27,/nfl/stat/average-team-passer-rating
13,14,LA Rams,86.3,86.3,103.6,80.7,103.6,102.9,2022-09-27,/nfl/stat/average-team-passer-rating
14,15,Atlanta,85.4,85.4,99.8,79.7,89.5,86.6,2022-09-27,/nfl/stat/average-team-passer-rating
15,16,Las Vegas,85.2,85.2,86.1,99.5,78.4,91.9,2022-09-27,/nfl/stat/average-team-passer-rating
16,17,Cincinnati,85.2,85.2,114.9,61.7,102.4,105.5,2022-09-27,/nfl/stat/average-team-passer-rating
17,18,Minnesota,83.9,83.9,93.5,104.7,51.1,101.6,2022-09-27,/nfl/stat/average-team-passer-rating
18,19,Denver,83.2,83.2,75.8,71.3,101.3,91.7,2022-09-27,/nfl/stat/average-team-passer-rating
19,20,NY Giants,82.7,82.7,57.9,72.0,115.9,70.1,2022-09-27,/nfl/stat/average-team-passer-rating
20,21,Tennessee,82.1,82.1,98.4,102.8,30.4,88.4,2022-09-27,/nfl/stat/average-team-passer-rating
21,22,Arizona,81.9,81.9,77.8,84.5,76.7,97.4,2022-09-27,/nfl/stat/average-team-passer-rating
22,23,Carolina,80.8,80.8,83.8,84.2,74.6,68.5,2022-09-27,/nfl/stat/average-team-passer-rating
23,24,New Orleans,79.5,79.5,76.6,55.8,92.2,87.4,2022-09-27,/nfl/stat/average-team-passer-rating
24,25,Dallas,79.3,79.3,98.2,71.3,98.2,102.6,2022-09-27,/nfl/stat/average-team-passer-rating
25,26,NY Jets,78.4,78.4,53.8,64.9,111.7,76.0,2022-09-27,/nfl/stat/average-team-passer-rating
26,27,Houston,77.7,77.7,70.4,98.9,66.5,85.2,2022-09-27,/nfl/stat/average-team-passer-rating
27,28,Pittsburgh,77.7,77.7,81.1,73.8,79.5,85.7,2022-09-27,/nfl/stat/average-team-passer-rating
28,29,Indianapolis,77.2,77.2,105.9,105.9,63.9,93.5,2022-09-27,/nfl/stat/average-team-passer-rating
29,30,New England,76.2,76.2,62.1,62.1,83.2,94.2,2022-09-27,/nfl/stat/average-team-passer-rating
30,31,San Francisco,76.1,76.1,81.3,100.0,66.0,95.8,2022-09-27,/nfl/stat/average-team-passer-rating
31,32,Chicago,50.0,50.0,27.7,52.0,43.8,75.5,2022-09-27,/nfl/stat/average-team-passer-rating
