,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,3.4,2.7,3.0,2.6,4.2,3.3,2022-11-23,/nfl/stat/extra-point-attempts-per-game
1,2,Philadelphia,3.1,2.7,2.0,3.2,3.0,2.5,2022-11-23,/nfl/stat/extra-point-attempts-per-game
2,3,Miami,3.0,4.7,5.0,2.4,3.6,2.1,2022-11-23,/nfl/stat/extra-point-attempts-per-game
3,3,Buffalo,3.0,2.0,1.0,4.0,2.3,3.3,2022-11-23,/nfl/stat/extra-point-attempts-per-game
4,5,Cincinnati,2.9,4.0,4.0,3.8,2.3,2.6,2022-11-23,/nfl/stat/extra-point-attempts-per-game
5,6,Detroit,2.8,3.0,4.0,3.4,2.2,1.6,2022-11-23,/nfl/stat/extra-point-attempts-per-game
6,6,San Francisco,2.8,3.7,5.0,2.5,3.0,2.6,2022-11-23,/nfl/stat/extra-point-attempts-per-game
7,8,Dallas,2.7,5.0,4.0,2.8,2.6,3.1,2022-11-23,/nfl/stat/extra-point-attempts-per-game
8,8,Baltimore,2.7,2.3,1.0,2.2,3.2,1.9,2022-11-23,/nfl/stat/extra-point-attempts-per-game
9,8,Seattle,2.7,2.7,1.0,2.0,3.2,2.8,2022-11-23,/nfl/stat/extra-point-attempts-per-game
10,11,Minnesota,2.5,2.0,0.0,2.8,2.2,2.4,2022-11-23,/nfl/stat/extra-point-attempts-per-game
11,12,Atlanta,2.5,2.3,3.0,2.8,2.0,1.8,2022-11-23,/nfl/stat/extra-point-attempts-per-game
12,13,Cleveland,2.4,2.3,2.0,2.8,2.0,2.3,2022-11-23,/nfl/stat/extra-point-attempts-per-game
13,13,LA Chargers,2.4,2.0,3.0,2.2,2.6,2.8,2022-11-23,/nfl/stat/extra-point-attempts-per-game
14,15,Tennessee,2.3,2.7,4.0,2.0,2.5,2.7,2022-11-23,/nfl/stat/extra-point-attempts-per-game
15,16,New Orleans,2.2,1.7,3.0,2.3,2.0,2.2,2022-11-23,/nfl/stat/extra-point-attempts-per-game
16,17,Jacksonville,2.1,2.3,2.0,1.8,2.3,1.3,2022-11-23,/nfl/stat/extra-point-attempts-per-game
17,17,NY Jets,2.1,1.3,0.0,2.0,2.2,1.6,2022-11-23,/nfl/stat/extra-point-attempts-per-game
18,17,New England,2.1,1.3,1.0,1.8,2.4,2.7,2022-11-23,/nfl/stat/extra-point-attempts-per-game
19,20,Chicago,2.1,3.3,3.0,2.6,1.7,1.6,2022-11-23,/nfl/stat/extra-point-attempts-per-game
20,21,Green Bay,2.0,1.7,1.0,2.4,1.7,2.9,2022-11-23,/nfl/stat/extra-point-attempts-per-game
21,22,Las Vegas,1.9,1.7,1.0,3.0,1.2,1.9,2022-11-23,/nfl/stat/extra-point-attempts-per-game
22,22,NY Giants,1.9,2.0,2.0,2.0,1.8,1.0,2022-11-23,/nfl/stat/extra-point-attempts-per-game
23,24,LA Rams,1.8,1.7,2.0,2.2,1.3,2.9,2022-11-23,/nfl/stat/extra-point-attempts-per-game
24,25,Arizona,1.7,2.3,1.0,1.8,1.7,2.7,2022-11-23,/nfl/stat/extra-point-attempts-per-game
25,26,Carolina,1.6,1.7,0.0,1.7,1.6,1.6,2022-11-23,/nfl/stat/extra-point-attempts-per-game
26,27,Washington,1.5,2.0,2.0,1.6,1.5,1.7,2022-11-23,/nfl/stat/extra-point-attempts-per-game
27,28,Pittsburgh,1.5,2.0,3.0,1.8,1.2,1.8,2022-11-23,/nfl/stat/extra-point-attempts-per-game
28,28,Houston,1.5,1.3,1.0,1.8,1.2,1.7,2022-11-23,/nfl/stat/extra-point-attempts-per-game
29,30,Tampa Bay,1.3,1.7,3.0,1.4,1.2,3.5,2022-11-23,/nfl/stat/extra-point-attempts-per-game
30,31,Denver,1.2,1.7,1.0,0.6,1.8,2.0,2022-11-23,/nfl/stat/extra-point-attempts-per-game
31,32,Indianapolis,1.1,0.7,1.0,1.6,0.7,2.8,2022-11-23,/nfl/stat/extra-point-attempts-per-game
