,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Pittsburgh,100.00%,100.00%,100.00%,100.00%,100.00%,93.75%,2022-11-16,/nfl/stat/extra-point-conversion-pct
1,1,New Orleans,100.00%,100.00%,100.00%,100.00%,100.00%,81.58%,2022-11-16,/nfl/stat/extra-point-conversion-pct
2,1,Tennessee,100.00%,100.00%,100.00%,100.00%,100.00%,91.67%,2022-11-16,/nfl/stat/extra-point-conversion-pct
3,1,Houston,100.00%,100.00%,100.00%,100.00%,100.00%,86.21%,2022-11-16,/nfl/stat/extra-point-conversion-pct
4,1,Tampa Bay,100.00%,100.00%,100.00%,100.00%,100.00%,95.45%,2022-11-16,/nfl/stat/extra-point-conversion-pct
5,1,New England,100.00%,100.00%,100.00%,100.00%,100.00%,89.80%,2022-11-16,/nfl/stat/extra-point-conversion-pct
6,1,Buffalo,100.00%,100.00%,100.00%,100.00%,100.00%,96.77%,2022-11-16,/nfl/stat/extra-point-conversion-pct
7,1,LA Chargers,100.00%,100.00%,100.00%,100.00%,100.00%,85.11%,2022-11-16,/nfl/stat/extra-point-conversion-pct
8,1,NY Giants,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,2022-11-16,/nfl/stat/extra-point-conversion-pct
9,1,LA Rams,100.00%,100.00%,100.00%,100.00%,100.00%,98.33%,2022-11-16,/nfl/stat/extra-point-conversion-pct
10,1,Green Bay,100.00%,100.00%,100.00%,100.00%,100.00%,96.15%,2022-11-16,/nfl/stat/extra-point-conversion-pct
11,1,Indianapolis,100.00%,100.00%,100.00%,100.00%,100.00%,97.87%,2022-11-16,/nfl/stat/extra-point-conversion-pct
12,13,Philadelphia,96.55%,100.00%,100.00%,93.75%,100.00%,100.00%,2022-11-16,/nfl/stat/extra-point-conversion-pct
13,14,Seattle,96.30%,100.00%,100.00%,100.00%,94.74%,93.62%,2022-11-16,/nfl/stat/extra-point-conversion-pct
14,15,Baltimore,96.15%,100.00%,100.00%,100.00%,93.75%,100.00%,2022-11-16,/nfl/stat/extra-point-conversion-pct
15,16,Dallas,95.65%,100.00%,100.00%,92.86%,100.00%,89.09%,2022-11-16,/nfl/stat/extra-point-conversion-pct
16,17,Jacksonville,95.24%,100.00%,100.00%,85.71%,100.00%,81.82%,2022-11-16,/nfl/stat/extra-point-conversion-pct
17,17,NY Jets,95.24%,100.00%,100.00%,90.00%,100.00%,85.19%,2022-11-16,/nfl/stat/extra-point-conversion-pct
18,19,Las Vegas,94.44%,100.00%,100.00%,91.67%,100.00%,91.18%,2022-11-16,/nfl/stat/extra-point-conversion-pct
19,20,Washington,93.33%,100.00%,100.00%,100.00%,85.71%,86.21%,2022-11-16,/nfl/stat/extra-point-conversion-pct
20,21,Cincinnati,92.00%,92.31%,100.00%,93.33%,90.00%,96.36%,2022-11-16,/nfl/stat/extra-point-conversion-pct
21,22,Atlanta,91.67%,75.00%,0.00%,100.00%,80.00%,100.00%,2022-11-16,/nfl/stat/extra-point-conversion-pct
22,22,Detroit,91.67%,100.00%,100.00%,88.24%,100.00%,96.43%,2022-11-16,/nfl/stat/extra-point-conversion-pct
23,24,San Francisco,91.30%,87.50%,50.00%,90.00%,92.31%,92.16%,2022-11-16,/nfl/stat/extra-point-conversion-pct
24,25,Cleveland,90.91%,100.00%,100.00%,85.71%,100.00%,94.87%,2022-11-16,/nfl/stat/extra-point-conversion-pct
25,26,Miami,90.00%,85.71%,60.00%,83.33%,94.44%,97.14%,2022-11-16,/nfl/stat/extra-point-conversion-pct
26,27,Arizona,88.89%,100.00%,100.00%,88.89%,88.89%,95.92%,2022-11-16,/nfl/stat/extra-point-conversion-pct
27,27,Carolina,88.89%,75.00%,50.00%,90.00%,87.50%,92.86%,2022-11-16,/nfl/stat/extra-point-conversion-pct
28,29,Kansas City,87.10%,81.82%,75.00%,84.62%,88.89%,93.94%,2022-11-16,/nfl/stat/extra-point-conversion-pct
29,30,Chicago,85.00%,88.89%,75.00%,76.92%,100.00%,96.43%,2022-11-16,/nfl/stat/extra-point-conversion-pct
30,31,Minnesota,84.00%,81.82%,75.00%,92.86%,72.73%,90.00%,2022-11-16,/nfl/stat/extra-point-conversion-pct
31,32,Denver,81.82%,80.00%,100.00%,50.00%,88.89%,97.06%,2022-11-16,/nfl/stat/extra-point-conversion-pct
