,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Denver,2.7,3.0,2.0,2.8,2.7,1.8,2022-10-25,/nfl/stat/field-goal-attempts-per-game
1,2,Las Vegas,2.7,2.7,1.0,2.7,2.7,2.6,2022-10-25,/nfl/stat/field-goal-attempts-per-game
2,3,Dallas,2.4,2.0,1.0,2.0,3.0,2.0,2022-10-25,/nfl/stat/field-goal-attempts-per-game
3,3,Tampa Bay,2.4,2.3,1.0,1.7,3.0,1.8,2022-10-25,/nfl/stat/field-goal-attempts-per-game
4,3,NY Giants,2.4,2.0,3.0,3.0,1.7,1.9,2022-10-25,/nfl/stat/field-goal-attempts-per-game
5,6,Houston,2.3,2.3,3.0,2.0,2.5,1.6,2022-10-25,/nfl/stat/field-goal-attempts-per-game
6,7,Pittsburgh,2.3,2.0,1.0,2.0,2.5,2.2,2022-10-25,/nfl/stat/field-goal-attempts-per-game
7,7,Cleveland,2.3,2.7,3.0,1.8,3.0,1.3,2022-10-25,/nfl/stat/field-goal-attempts-per-game
8,7,Seattle,2.3,3.0,3.0,2.7,2.0,1.4,2022-10-25,/nfl/stat/field-goal-attempts-per-game
9,10,Minnesota,2.2,2.7,1.0,2.3,2.0,2.2,2022-10-25,/nfl/stat/field-goal-attempts-per-game
10,11,New Orleans,2.1,2.3,2.0,2.0,2.3,1.8,2022-10-25,/nfl/stat/field-goal-attempts-per-game
11,11,Chicago,2.1,2.3,4.0,1.0,3.0,1.8,2022-10-25,/nfl/stat/field-goal-attempts-per-game
12,11,NY Jets,2.1,2.3,3.0,2.3,2.0,1.6,2022-10-25,/nfl/stat/field-goal-attempts-per-game
13,11,Baltimore,2.1,3.3,3.0,2.5,1.7,2.2,2022-10-25,/nfl/stat/field-goal-attempts-per-game
14,15,Atlanta,2.0,0.7,1.0,2.7,1.5,1.7,2022-10-25,/nfl/stat/field-goal-attempts-per-game
15,15,Indianapolis,2.0,2.3,1.0,2.0,2.0,2.1,2022-10-25,/nfl/stat/field-goal-attempts-per-game
16,17,Miami,1.9,2.3,3.0,1.8,2.0,1.8,2022-10-25,/nfl/stat/field-goal-attempts-per-game
17,17,Kansas City,1.9,2.0,1.0,2.3,1.5,1.9,2022-10-25,/nfl/stat/field-goal-attempts-per-game
18,17,Carolina,1.9,1.7,0.0,1.8,2.0,1.7,2022-10-25,/nfl/stat/field-goal-attempts-per-game
19,17,LA Chargers,1.9,2.3,0.0,1.8,2.0,1.6,2022-10-25,/nfl/stat/field-goal-attempts-per-game
20,17,Cincinnati,1.9,0.7,0.0,1.7,2.0,2.3,2022-10-25,/nfl/stat/field-goal-attempts-per-game
21,22,Buffalo,1.8,2.0,1.0,2.0,1.8,1.7,2022-10-25,/nfl/stat/field-goal-attempts-per-game
22,23,San Francisco,1.7,1.7,3.0,2.7,1.0,1.9,2022-10-25,/nfl/stat/field-goal-attempts-per-game
23,23,New England,1.7,2.3,0.0,2.3,1.3,2.2,2022-10-25,/nfl/stat/field-goal-attempts-per-game
24,25,LA Rams,1.7,2.0,1.0,1.3,2.5,2.1,2022-10-25,/nfl/stat/field-goal-attempts-per-game
25,26,Jacksonville,1.6,1.0,1.0,1.3,1.8,1.6,2022-10-25,/nfl/stat/field-goal-attempts-per-game
26,26,Arizona,1.6,1.7,2.0,2.0,1.0,2.1,2022-10-25,/nfl/stat/field-goal-attempts-per-game
27,28,Tennessee,1.5,1.7,4.0,2.7,0.3,1.8,2022-10-25,/nfl/stat/field-goal-attempts-per-game
28,28,Philadelphia,1.5,1.7,2.0,1.7,1.3,1.8,2022-10-25,/nfl/stat/field-goal-attempts-per-game
29,30,Detroit,1.3,1.0,2.0,1.0,1.7,1.8,2022-10-25,/nfl/stat/field-goal-attempts-per-game
30,31,Washington,1.3,2.7,4.0,1.3,1.3,1.9,2022-10-25,/nfl/stat/field-goal-attempts-per-game
31,32,Green Bay,1.1,1.3,0.0,2.0,0.5,2.0,2022-10-25,/nfl/stat/field-goal-attempts-per-game
