,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Seattle,95.45%,100.00%,100.00%,100.00%,90.00%,73.91%,2022-11-29,/nfl/stat/field-goal-conversion-pct
1,2,Chicago,95.24%,75.00%,100.00%,100.00%,93.75%,86.67%,2022-11-29,/nfl/stat/field-goal-conversion-pct
2,2,LA Chargers,95.24%,100.00%,100.00%,88.89%,100.00%,88.89%,2022-11-29,/nfl/stat/field-goal-conversion-pct
3,4,LA Rams,93.75%,100.00%,100.00%,83.33%,100.00%,90.91%,2022-11-29,/nfl/stat/field-goal-conversion-pct
4,5,Las Vegas,92.00%,71.43%,66.67%,100.00%,88.24%,93.62%,2022-11-29,/nfl/stat/field-goal-conversion-pct
5,6,Carolina,91.67%,100.00%,100.00%,93.75%,87.50%,89.66%,2022-11-29,/nfl/stat/field-goal-conversion-pct
6,7,NY Giants,90.91%,100.00%,100.00%,84.62%,100.00%,87.88%,2022-11-29,/nfl/stat/field-goal-conversion-pct
7,8,Houston,90.48%,100.00%,100.00%,85.71%,92.86%,77.78%,2022-11-29,/nfl/stat/field-goal-conversion-pct
8,9,Washington,90.00%,100.00%,100.00%,87.50%,91.67%,84.85%,2022-11-29,/nfl/stat/field-goal-conversion-pct
9,10,Arizona,88.89%,80.00%,50.00%,80.00%,100.00%,81.58%,2022-11-29,/nfl/stat/field-goal-conversion-pct
10,10,Baltimore,88.89%,88.89%,80.00%,100.00%,80.00%,94.59%,2022-11-29,/nfl/stat/field-goal-conversion-pct
11,12,Tampa Bay,88.46%,66.67%,100.00%,91.67%,85.71%,80.00%,2022-11-29,/nfl/stat/field-goal-conversion-pct
12,12,Buffalo,88.46%,100.00%,100.00%,88.89%,88.24%,87.50%,2022-11-29,/nfl/stat/field-goal-conversion-pct
13,14,Dallas,86.36%,80.00%,0.00%,88.89%,84.62%,83.33%,2022-11-29,/nfl/stat/field-goal-conversion-pct
14,15,New England,85.71%,81.82%,100.00%,85.71%,85.71%,92.50%,2022-11-29,/nfl/stat/field-goal-conversion-pct
15,16,Philadelphia,84.62%,100.00%,100.00%,85.71%,83.33%,90.91%,2022-11-29,/nfl/stat/field-goal-conversion-pct
16,17,San Francisco,84.21%,100.00%,100.00%,84.62%,83.33%,86.84%,2022-11-29,/nfl/stat/field-goal-conversion-pct
17,18,Tennessee,82.35%,80.00%,75.00%,84.62%,75.00%,81.82%,2022-11-29,/nfl/stat/field-goal-conversion-pct
18,19,NY Jets,81.82%,80.00%,50.00%,76.92%,88.89%,77.78%,2022-11-29,/nfl/stat/field-goal-conversion-pct
19,20,Green Bay,81.25%,80.00%,100.00%,77.78%,85.71%,72.22%,2022-11-29,/nfl/stat/field-goal-conversion-pct
20,21,Atlanta,80.00%,83.33%,66.67%,86.67%,70.00%,93.10%,2022-11-29,/nfl/stat/field-goal-conversion-pct
21,21,Jacksonville,80.00%,62.50%,100.00%,88.89%,72.73%,77.78%,2022-11-29,/nfl/stat/field-goal-conversion-pct
22,21,Miami,80.00%,83.33%,100.00%,91.67%,62.50%,74.19%,2022-11-29,/nfl/stat/field-goal-conversion-pct
23,21,Cincinnati,80.00%,83.33%,100.00%,66.67%,85.71%,89.58%,2022-11-29,/nfl/stat/field-goal-conversion-pct
24,25,Pittsburgh,78.57%,80.00%,100.00%,84.62%,73.33%,90.00%,2022-11-29,/nfl/stat/field-goal-conversion-pct
25,25,Detroit,78.57%,75.00%,50.00%,85.71%,71.43%,86.67%,2022-11-29,/nfl/stat/field-goal-conversion-pct
26,25,Indianapolis,78.57%,66.67%,50.00%,80.00%,76.92%,82.86%,2022-11-29,/nfl/stat/field-goal-conversion-pct
27,28,Kansas City,78.26%,100.00%,100.00%,78.57%,77.78%,86.49%,2022-11-29,/nfl/stat/field-goal-conversion-pct
28,29,Denver,76.92%,71.43%,50.00%,73.33%,81.82%,83.87%,2022-11-29,/nfl/stat/field-goal-conversion-pct
29,30,Minnesota,76.19%,100.00%,100.00%,54.55%,100.00%,86.84%,2022-11-29,/nfl/stat/field-goal-conversion-pct
30,31,New Orleans,73.91%,75.00%,0.00%,91.67%,54.55%,83.33%,2022-11-29,/nfl/stat/field-goal-conversion-pct
31,31,Cleveland,73.91%,60.00%,50.00%,63.64%,83.33%,72.73%,2022-11-29,/nfl/stat/field-goal-conversion-pct
