,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Pittsburgh,100.00%,100.00%,100.00%,100.00%,0,52.17%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
1,2,Las Vegas,80.00%,100.00%,0,0,80.00%,61.90%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
2,3,Miami,75.00%,66.67%,0.00%,100.00%,66.67%,54.55%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
3,3,Minnesota,75.00%,66.67%,100.00%,66.67%,100.00%,54.55%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
4,5,Buffalo,71.43%,71.43%,100.00%,66.67%,75.00%,57.69%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
5,6,Detroit,66.67%,63.64%,100.00%,66.67%,66.67%,51.22%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
6,6,Cleveland,66.67%,71.43%,66.67%,75.00%,60.00%,41.38%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
7,6,NY Giants,66.67%,50.00%,0,50.00%,100.00%,43.33%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
8,6,LA Rams,66.67%,66.67%,100.00%,50.00%,100.00%,52.38%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
9,10,Philadelphia,63.64%,62.50%,60.00%,60.00%,66.67%,44.44%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
10,11,Arizona,62.50%,58.33%,0.00%,77.78%,42.86%,58.06%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
11,12,Dallas,57.14%,100.00%,0,50.00%,100.00%,57.69%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
12,13,NY Jets,55.56%,40.00%,100.00%,42.86%,100.00%,48.28%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
13,13,LA Chargers,55.56%,62.50%,50.00%,0.00%,83.33%,64.71%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
14,15,Atlanta,50.00%,50.00%,0,0,50.00%,41.67%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
15,15,New Orleans,50.00%,50.00%,100.00%,0.00%,100.00%,52.38%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
16,15,Jacksonville,50.00%,57.14%,0.00%,66.67%,40.00%,58.06%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
17,15,Tennessee,50.00%,50.00%,0,0.00%,100.00%,60.00%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
18,15,Tampa Bay,50.00%,50.00%,0,100.00%,0.00%,52.38%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
19,15,Kansas City,50.00%,33.33%,0.00%,0,50.00%,68.75%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
20,15,Denver,50.00%,66.67%,50.00%,100.00%,33.33%,57.14%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
21,15,Seattle,50.00%,66.67%,0,50.00%,0,36.36%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
22,23,Carolina,40.00%,40.00%,33.33%,25.00%,100.00%,41.18%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
23,23,Baltimore,40.00%,40.00%,50.00%,40.00%,0,66.67%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
24,25,San Francisco,33.33%,50.00%,0.00%,50.00%,0.00%,47.62%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
25,25,Houston,33.33%,33.33%,0.00%,0.00%,50.00%,42.86%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
26,25,New England,33.33%,50.00%,0,50.00%,0.00%,71.43%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
27,25,Green Bay,33.33%,100.00%,100.00%,100.00%,0.00%,59.09%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
28,25,Cincinnati,33.33%,33.33%,0.00%,25.00%,50.00%,62.50%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
29,30,Washington,16.67%,16.67%,0.00%,0.00%,25.00%,50.00%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
30,30,Indianapolis,16.67%,20.00%,0,33.33%,0.00%,62.07%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
31,32,Chicago,0.00%,0.00%,0,0,0.00%,41.67%,2022-10-05,/nfl/stat/fourth-down-conversion-pct
