,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Las Vegas,75.00%,100.00%,100.00%,80.00%,71.43%,55.77%,2022-10-25,/nfl/stat/fumble-recovery-pct
1,2,Atlanta,73.33%,100.00%,100.00%,75.00%,71.43%,45.65%,2022-10-25,/nfl/stat/fumble-recovery-pct
2,3,Philadelphia,71.43%,87.50%,100.00%,77.78%,60.00%,52.38%,2022-10-25,/nfl/stat/fumble-recovery-pct
3,4,Indianapolis,66.67%,66.67%,50.00%,54.55%,75.00%,51.06%,2022-10-25,/nfl/stat/fumble-recovery-pct
4,5,Minnesota,64.29%,66.67%,66.67%,57.14%,71.43%,63.89%,2022-10-25,/nfl/stat/fumble-recovery-pct
5,6,Arizona,62.50%,62.50%,100.00%,61.54%,63.64%,69.49%,2022-10-25,/nfl/stat/fumble-recovery-pct
6,7,Kansas City,60.00%,66.67%,66.67%,66.67%,58.82%,53.57%,2022-10-25,/nfl/stat/fumble-recovery-pct
7,8,Dallas,57.14%,72.73%,66.67%,44.44%,80.00%,64.29%,2022-10-25,/nfl/stat/fumble-recovery-pct
8,8,Green Bay,57.14%,62.50%,66.67%,55.56%,58.33%,53.85%,2022-10-25,/nfl/stat/fumble-recovery-pct
9,10,Washington,56.25%,66.67%,33.33%,45.45%,80.00%,55.81%,2022-10-25,/nfl/stat/fumble-recovery-pct
10,10,Chicago,56.25%,69.23%,100.00%,40.00%,63.64%,53.33%,2022-10-25,/nfl/stat/fumble-recovery-pct
11,12,Baltimore,55.56%,62.50%,50.00%,62.50%,50.00%,55.88%,2022-10-25,/nfl/stat/fumble-recovery-pct
12,13,Pittsburgh,53.85%,50.00%,0,50.00%,57.14%,45.65%,2022-10-25,/nfl/stat/fumble-recovery-pct
13,14,Carolina,52.38%,60.00%,0.00%,55.56%,33.33%,41.30%,2022-10-25,/nfl/stat/fumble-recovery-pct
14,15,NY Giants,50.00%,42.86%,100.00%,50.00%,50.00%,50.00%,2022-10-25,/nfl/stat/fumble-recovery-pct
15,16,New Orleans,47.62%,42.86%,0.00%,60.00%,36.36%,53.33%,2022-10-25,/nfl/stat/fumble-recovery-pct
16,17,Miami,46.15%,25.00%,0,54.55%,0.00%,59.18%,2022-10-25,/nfl/stat/fumble-recovery-pct
17,17,Cincinnati,46.15%,0.00%,0.00%,25.00%,55.56%,46.51%,2022-10-25,/nfl/stat/fumble-recovery-pct
18,19,Seattle,45.83%,41.67%,33.33%,58.33%,33.33%,50.00%,2022-10-25,/nfl/stat/fumble-recovery-pct
19,20,Houston,44.44%,40.00%,0.00%,33.33%,55.56%,44.19%,2022-10-25,/nfl/stat/fumble-recovery-pct
20,21,Buffalo,43.75%,33.33%,0.00%,60.00%,36.36%,61.22%,2022-10-25,/nfl/stat/fumble-recovery-pct
21,22,Denver,43.48%,50.00%,100.00%,50.00%,33.33%,37.50%,2022-10-25,/nfl/stat/fumble-recovery-pct
22,23,San Francisco,42.86%,22.22%,33.33%,75.00%,23.08%,42.37%,2022-10-25,/nfl/stat/fumble-recovery-pct
23,24,NY Jets,41.18%,50.00%,0.00%,44.44%,37.50%,35.00%,2022-10-25,/nfl/stat/fumble-recovery-pct
24,24,Tennessee,41.18%,37.50%,50.00%,50.00%,33.33%,43.48%,2022-10-25,/nfl/stat/fumble-recovery-pct
25,26,Tampa Bay,37.50%,50.00%,100.00%,25.00%,50.00%,50.00%,2022-10-25,/nfl/stat/fumble-recovery-pct
26,26,New England,37.50%,33.33%,0.00%,41.67%,33.33%,50.00%,2022-10-25,/nfl/stat/fumble-recovery-pct
27,28,Detroit,35.71%,30.00%,33.33%,50.00%,30.00%,47.06%,2022-10-25,/nfl/stat/fumble-recovery-pct
28,28,LA Chargers,35.71%,50.00%,66.67%,36.36%,33.33%,39.39%,2022-10-25,/nfl/stat/fumble-recovery-pct
29,30,Cleveland,35.00%,50.00%,50.00%,50.00%,25.00%,40.91%,2022-10-25,/nfl/stat/fumble-recovery-pct
30,31,Jacksonville,31.25%,20.00%,0.00%,0.00%,38.46%,33.33%,2022-10-25,/nfl/stat/fumble-recovery-pct
31,32,LA Rams,28.57%,0.00%,0,40.00%,0.00%,36.84%,2022-10-25,/nfl/stat/fumble-recovery-pct
