,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Dallas,0.2,0.0,0.0,0.3,0.0,0.5,2022-11-29,/nfl/stat/fumbles-lost-per-game
1,1,Las Vegas,0.2,0.0,0.0,0.3,0.1,0.6,2022-11-29,/nfl/stat/fumbles-lost-per-game
2,3,Washington,0.3,0.3,0.0,0.3,0.2,0.5,2022-11-29,/nfl/stat/fumbles-lost-per-game
3,4,Houston,0.3,0.7,1.0,0.2,0.3,0.4,2022-11-29,/nfl/stat/fumbles-lost-per-game
4,4,Minnesota,0.3,0.3,0.0,0.5,0.0,0.4,2022-11-29,/nfl/stat/fumbles-lost-per-game
5,6,Arizona,0.3,0.3,1.0,0.3,0.3,0.2,2022-11-29,/nfl/stat/fumbles-lost-per-game
6,7,Pittsburgh,0.4,0.0,0.0,0.2,0.5,0.6,2022-11-29,/nfl/stat/fumbles-lost-per-game
7,7,Miami,0.4,0.3,1.0,0.3,0.4,0.7,2022-11-29,/nfl/stat/fumbles-lost-per-game
8,7,Cincinnati,0.4,0.0,0.0,0.3,0.4,0.3,2022-11-29,/nfl/stat/fumbles-lost-per-game
9,10,NY Jets,0.5,0.3,0.0,0.7,0.2,0.4,2022-11-29,/nfl/stat/fumbles-lost-per-game
10,10,LA Chargers,0.5,0.3,0.0,0.6,0.3,0.4,2022-11-29,/nfl/stat/fumbles-lost-per-game
11,10,Baltimore,0.5,0.7,2.0,0.2,0.7,0.5,2022-11-29,/nfl/stat/fumbles-lost-per-game
12,13,Chicago,0.5,0.0,0.0,0.2,0.7,0.5,2022-11-29,/nfl/stat/fumbles-lost-per-game
13,13,Carolina,0.5,0.7,1.0,0.3,0.8,0.5,2022-11-29,/nfl/stat/fumbles-lost-per-game
14,15,Tennessee,0.5,0.3,0.0,0.6,0.5,0.6,2022-11-29,/nfl/stat/fumbles-lost-per-game
15,15,Tampa Bay,0.5,0.0,0.0,1.0,0.2,0.4,2022-11-29,/nfl/stat/fumbles-lost-per-game
16,15,Denver,0.5,0.7,2.0,0.0,1.0,0.5,2022-11-29,/nfl/stat/fumbles-lost-per-game
17,15,NY Giants,0.5,0.3,0.0,0.5,0.6,0.6,2022-11-29,/nfl/stat/fumbles-lost-per-game
18,15,LA Rams,0.5,0.3,0.0,0.7,0.4,0.4,2022-11-29,/nfl/stat/fumbles-lost-per-game
19,20,Detroit,0.6,0.7,2.0,0.5,0.8,0.5,2022-11-29,/nfl/stat/fumbles-lost-per-game
20,20,San Francisco,0.6,0.3,0.0,0.4,0.8,0.5,2022-11-29,/nfl/stat/fumbles-lost-per-game
21,20,New England,0.6,0.3,0.0,0.6,0.7,0.6,2022-11-29,/nfl/stat/fumbles-lost-per-game
22,20,Kansas City,0.6,1.3,1.0,0.5,0.8,0.7,2022-11-29,/nfl/stat/fumbles-lost-per-game
23,20,Philadelphia,0.6,2.0,1.0,0.7,0.6,0.4,2022-11-29,/nfl/stat/fumbles-lost-per-game
24,25,Atlanta,0.7,0.7,0.0,1.0,0.3,0.6,2022-11-29,/nfl/stat/fumbles-lost-per-game
25,25,Green Bay,0.7,0.7,0.0,1.0,0.4,0.4,2022-11-29,/nfl/stat/fumbles-lost-per-game
26,27,Jacksonville,0.7,0.7,1.0,0.6,0.8,0.7,2022-11-29,/nfl/stat/fumbles-lost-per-game
27,27,Cleveland,0.7,0.7,0.0,0.5,1.0,0.5,2022-11-29,/nfl/stat/fumbles-lost-per-game
28,27,Buffalo,0.7,0.7,0.0,0.8,0.7,0.3,2022-11-29,/nfl/stat/fumbles-lost-per-game
29,30,New Orleans,0.8,0.7,2.0,0.5,1.0,0.3,2022-11-29,/nfl/stat/fumbles-lost-per-game
30,31,Seattle,0.8,0.7,1.0,0.8,0.8,0.4,2022-11-29,/nfl/stat/fumbles-lost-per-game
31,32,Indianapolis,0.8,1.0,1.0,1.2,0.5,0.6,2022-11-29,/nfl/stat/fumbles-lost-per-game
