,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,327.2,371.0,336.0,328.4,326.0,299.8,2022-11-23,/nfl/stat/gross-passing-yards-per-game
1,2,Miami,305.9,328.7,302.0,287.4,324.4,231.5,2022-11-23,/nfl/stat/gross-passing-yards-per-game
2,3,Buffalo,293.8,244.0,197.0,324.3,273.5,267.7,2022-11-23,/nfl/stat/gross-passing-yards-per-game
3,4,Cincinnati,293.5,271.7,355.0,339.3,263.0,281.8,2022-11-23,/nfl/stat/gross-passing-yards-per-game
4,5,Tampa Bay,280.5,287.7,258.0,322.4,238.6,314.9,2022-11-23,/nfl/stat/gross-passing-yards-per-game
5,6,LA Chargers,276.0,250.3,310.0,283.4,268.6,294.9,2022-11-23,/nfl/stat/gross-passing-yards-per-game
6,7,Minnesota,254.8,259.3,159.0,249.4,260.2,261.8,2022-11-23,/nfl/stat/gross-passing-yards-per-game
7,8,New Orleans,253.8,223.7,274.0,225.2,288.2,202.2,2022-11-23,/nfl/stat/gross-passing-yards-per-game
8,9,Las Vegas,251.1,271.3,307.0,232.3,263.7,284.3,2022-11-23,/nfl/stat/gross-passing-yards-per-game
9,10,Indianapolis,249.7,179.3,213.0,276.2,227.7,211.1,2022-11-23,/nfl/stat/gross-passing-yards-per-game
10,11,Seattle,247.4,254.0,275.0,232.3,257.5,224.4,2022-11-23,/nfl/stat/gross-passing-yards-per-game
11,12,San Francisco,245.3,245.7,228.0,258.0,236.8,248.6,2022-11-23,/nfl/stat/gross-passing-yards-per-game
12,13,Denver,245.2,261.7,247.0,229.8,260.6,226.8,2022-11-23,/nfl/stat/gross-passing-yards-per-game
13,14,Arizona,245.0,230.0,277.0,229.6,257.8,264.2,2022-11-23,/nfl/stat/gross-passing-yards-per-game
14,15,Detroit,244.8,179.3,165.0,262.6,227.0,228.5,2022-11-23,/nfl/stat/gross-passing-yards-per-game
15,16,Philadelphia,243.0,202.7,190.0,235.0,251.0,213.5,2022-11-23,/nfl/stat/gross-passing-yards-per-game
16,17,Cleveland,239.8,271.3,324.0,244.6,235.0,212.9,2022-11-23,/nfl/stat/gross-passing-yards-per-game
17,18,Green Bay,237.7,247.3,227.0,238.0,237.5,263.9,2022-11-23,/nfl/stat/gross-passing-yards-per-game
18,19,LA Rams,237.2,199.0,223.0,246.8,222.8,291.5,2022-11-23,/nfl/stat/gross-passing-yards-per-game
19,20,Jacksonville,233.4,209.0,259.0,266.5,211.3,216.1,2022-11-23,/nfl/stat/gross-passing-yards-per-game
20,21,Washington,229.1,183.7,191.0,246.6,214.5,220.4,2022-11-23,/nfl/stat/gross-passing-yards-per-game
21,22,Pittsburgh,222.8,220.0,265.0,209.4,236.2,235.1,2022-11-23,/nfl/stat/gross-passing-yards-per-game
22,23,New England,220.4,195.7,246.0,220.0,220.8,240.6,2022-11-23,/nfl/stat/gross-passing-yards-per-game
23,24,NY Jets,219.9,195.3,77.0,262.6,177.2,232.9,2022-11-23,/nfl/stat/gross-passing-yards-per-game
24,25,Houston,218.6,228.0,211.0,200.6,236.6,213.5,2022-11-23,/nfl/stat/gross-passing-yards-per-game
25,26,Dallas,218.3,274.0,307.0,222.6,214.0,290.7,2022-11-23,/nfl/stat/gross-passing-yards-per-game
26,27,Baltimore,197.7,193.3,209.0,193.0,202.4,251.0,2022-11-23,/nfl/stat/gross-passing-yards-per-game
27,28,NY Giants,194.8,238.0,341.0,194.2,195.8,203.7,2022-11-23,/nfl/stat/gross-passing-yards-per-game
28,29,Carolina,191.2,156.0,196.0,193.7,188.2,210.2,2022-11-23,/nfl/stat/gross-passing-yards-per-game
29,30,Tennessee,183.0,224.0,337.0,229.3,152.2,220.3,2022-11-23,/nfl/stat/gross-passing-yards-per-game
30,31,Atlanta,170.7,148.7,131.0,166.0,176.4,234.5,2022-11-23,/nfl/stat/gross-passing-yards-per-game
31,32,Chicago,149.7,147.7,153.0,141.4,156.7,213.8,2022-11-23,/nfl/stat/gross-passing-yards-per-game
