,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Seattle,7.8,8.7,7.0,8.5,7.0,10.1,2022-10-05,/nfl/stat/incompletions-per-game
1,2,Chicago,8.3,8.0,11.0,9.0,7.5,12.4,2022-10-05,/nfl/stat/incompletions-per-game
2,3,Tennessee,9.3,8.0,4.0,10.5,8.0,10.3,2022-10-05,/nfl/stat/incompletions-per-game
3,4,New England,9.8,10.0,6.0,10.0,9.7,10.3,2022-10-05,/nfl/stat/incompletions-per-game
4,5,NY Giants,10.0,12.0,7.0,12.0,4.0,14.2,2022-10-05,/nfl/stat/incompletions-per-game
5,6,Atlanta,10.3,9.3,12.0,12.5,8.0,11.5,2022-10-05,/nfl/stat/incompletions-per-game
6,6,Green Bay,10.3,9.3,14.0,10.0,10.5,11.1,2022-10-05,/nfl/stat/incompletions-per-game
7,6,Baltimore,10.3,9.3,9.0,8.5,12.0,12.6,2022-10-05,/nfl/stat/incompletions-per-game
8,6,Philadelphia,10.3,9.0,9.0,7.0,13.5,11.5,2022-10-05,/nfl/stat/incompletions-per-game
9,10,LA Rams,11.0,10.7,16.0,10.5,11.5,11.6,2022-10-05,/nfl/stat/incompletions-per-game
10,11,Cleveland,11.3,9.7,14.0,7.5,15.0,11.8,2022-10-05,/nfl/stat/incompletions-per-game
11,12,Jacksonville,11.5,9.3,12.0,5.0,13.7,14.3,2022-10-05,/nfl/stat/incompletions-per-game
12,12,San Francisco,11.5,10.3,11.0,10.0,13.0,10.1,2022-10-05,/nfl/stat/incompletions-per-game
13,12,Miami,11.5,12.0,15.0,8.5,14.5,12.4,2022-10-05,/nfl/stat/incompletions-per-game
14,15,Tampa Bay,12.3,13.3,13.0,12.0,12.5,14.3,2022-10-05,/nfl/stat/incompletions-per-game
15,16,Pittsburgh,12.5,11.0,9.0,10.5,14.5,14.1,2022-10-05,/nfl/stat/incompletions-per-game
16,16,New Orleans,12.5,13.0,8.0,15.0,11.7,12.4,2022-10-05,/nfl/stat/incompletions-per-game
17,16,Kansas City,12.5,13.7,14.0,11.0,13.0,13.0,2022-10-05,/nfl/stat/incompletions-per-game
18,19,Denver,12.8,12.7,8.0,15.0,10.5,11.0,2022-10-05,/nfl/stat/incompletions-per-game
19,20,Indianapolis,13.0,11.3,10.0,10.0,16.0,11.6,2022-10-05,/nfl/stat/incompletions-per-game
20,21,Carolina,13.3,14.0,14.0,12.7,15.0,14.8,2022-10-05,/nfl/stat/incompletions-per-game
21,22,Houston,13.5,13.3,9.0,11.5,15.5,11.3,2022-10-05,/nfl/stat/incompletions-per-game
22,23,Dallas,13.8,11.3,12.0,15.0,10.0,12.4,2022-10-05,/nfl/stat/incompletions-per-game
23,23,LA Chargers,13.8,15.7,12.0,14.0,13.5,13.6,2022-10-05,/nfl/stat/incompletions-per-game
24,25,Cincinnati,14.0,12.0,11.0,15.5,12.5,10.3,2022-10-05,/nfl/stat/incompletions-per-game
25,26,Buffalo,14.3,17.3,17.0,14.0,14.3,13.4,2022-10-05,/nfl/stat/incompletions-per-game
26,27,Minnesota,14.5,16.3,13.0,13.0,16.0,12.1,2022-10-05,/nfl/stat/incompletions-per-game
27,28,Detroit,14.8,14.3,13.0,14.3,16.0,11.6,2022-10-05,/nfl/stat/incompletions-per-game
28,29,Las Vegas,15.0,15.0,13.0,13.5,16.5,12.4,2022-10-05,/nfl/stat/incompletions-per-game
29,30,Arizona,15.5,16.0,9.0,17.5,13.5,10.6,2022-10-05,/nfl/stat/incompletions-per-game
30,31,Washington,16.3,17.0,17.0,16.0,16.5,11.4,2022-10-05,/nfl/stat/incompletions-per-game
31,32,NY Jets,20.5,20.0,18.0,23.0,18.0,14.5,2022-10-05,/nfl/stat/incompletions-per-game
