,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Philadelphia,1.5,2.0,2.0,2.0,1.0,0.7,2022-11-09,/nfl/stat/interceptions-per-game
1,2,Buffalo,1.4,1.0,0.0,1.3,1.4,1.1,2022-11-09,/nfl/stat/interceptions-per-game
2,3,NY Jets,1.2,1.3,2.0,1.0,1.5,0.4,2022-11-09,/nfl/stat/interceptions-per-game
3,3,New England,1.2,1.7,1.0,1.0,1.4,1.3,2022-11-09,/nfl/stat/interceptions-per-game
4,5,Pittsburgh,1.0,0.0,0.0,1.0,1.0,0.8,2022-11-09,/nfl/stat/interceptions-per-game
5,5,Chicago,1.0,1.3,0.0,0.8,1.2,0.5,2022-11-09,/nfl/stat/interceptions-per-game
6,5,Tennessee,1.0,1.3,1.0,1.3,0.8,0.9,2022-11-09,/nfl/stat/interceptions-per-game
7,5,Baltimore,1.0,0.0,0.0,1.0,1.0,0.5,2022-11-09,/nfl/stat/interceptions-per-game
8,5,Minnesota,1.0,1.7,1.0,1.0,1.0,0.9,2022-11-09,/nfl/stat/interceptions-per-game
9,10,Atlanta,0.9,0.7,1.0,1.0,0.8,0.7,2022-11-09,/nfl/stat/interceptions-per-game
10,10,Jacksonville,0.9,0.3,0.0,0.8,1.0,0.4,2022-11-09,/nfl/stat/interceptions-per-game
11,10,Cincinnati,0.9,1.0,2.0,1.0,0.8,1.0,2022-11-09,/nfl/stat/interceptions-per-game
12,13,Dallas,0.9,0.7,0.0,1.0,0.7,1.5,2022-11-09,/nfl/stat/interceptions-per-game
13,13,Houston,0.9,0.3,0.0,0.5,1.3,1.0,2022-11-09,/nfl/stat/interceptions-per-game
14,13,LA Chargers,0.9,0.3,0.0,1.0,0.8,0.6,2022-11-09,/nfl/stat/interceptions-per-game
15,16,San Francisco,0.8,0.3,0.0,1.3,0.4,0.6,2022-11-09,/nfl/stat/interceptions-per-game
16,16,Denver,0.8,1.0,2.0,0.8,0.8,0.8,2022-11-09,/nfl/stat/interceptions-per-game
17,18,Tampa Bay,0.7,0.0,0.0,0.4,1.0,1.0,2022-11-09,/nfl/stat/interceptions-per-game
18,18,Arizona,0.7,1.3,1.0,0.8,0.5,0.7,2022-11-09,/nfl/stat/interceptions-per-game
19,18,Carolina,0.7,0.7,0.0,0.6,0.8,0.5,2022-11-09,/nfl/stat/interceptions-per-game
20,21,Detroit,0.6,1.0,3.0,0.8,0.3,0.6,2022-11-09,/nfl/stat/interceptions-per-game
21,21,LA Rams,0.6,0.3,0.0,1.0,0.0,1.1,2022-11-09,/nfl/stat/interceptions-per-game
22,23,Green Bay,0.6,1.3,1.0,0.3,0.7,1.1,2022-11-09,/nfl/stat/interceptions-per-game
23,23,Seattle,0.6,0.3,0.0,0.5,0.6,0.6,2022-11-09,/nfl/stat/interceptions-per-game
24,25,Miami,0.4,1.0,0.0,1.0,0.0,0.8,2022-11-09,/nfl/stat/interceptions-per-game
25,25,Indianapolis,0.4,0.3,0.0,0.5,0.4,1.1,2022-11-09,/nfl/stat/interceptions-per-game
26,27,Las Vegas,0.4,0.3,0.0,0.7,0.2,0.3,2022-11-09,/nfl/stat/interceptions-per-game
27,27,Cleveland,0.4,0.3,1.0,0.2,0.7,0.8,2022-11-09,/nfl/stat/interceptions-per-game
28,27,Kansas City,0.4,0.7,0.0,0.3,0.5,0.8,2022-11-09,/nfl/stat/interceptions-per-game
29,30,Washington,0.3,0.3,1.0,0.4,0.3,0.6,2022-11-09,/nfl/stat/interceptions-per-game
30,31,New Orleans,0.3,0.3,1.0,0.3,0.3,1.1,2022-11-09,/nfl/stat/interceptions-per-game
31,32,NY Giants,0.1,0.3,0.0,0.3,0.0,0.9,2022-11-09,/nfl/stat/interceptions-per-game
