,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Washington,257.0,301.0,273.0,249.5,264.5,153.0,2022-10-05,/nfl/stat/net-punt-yards-per-game
1,2,Carolina,223.5,224.3,197.0,227.3,212.0,168.9,2022-10-05,/nfl/stat/net-punt-yards-per-game
2,3,Tennessee,222.8,203.7,191.0,214.0,231.5,137.4,2022-10-05,/nfl/stat/net-punt-yards-per-game
3,4,Houston,216.5,194.0,132.0,208.0,225.0,216.1,2022-10-05,/nfl/stat/net-punt-yards-per-game
4,5,Pittsburgh,215.3,174.7,158.0,161.5,269.0,180.3,2022-10-05,/nfl/stat/net-punt-yards-per-game
5,6,Denver,213.3,272.3,214.0,301.5,125.0,168.8,2022-10-05,/nfl/stat/net-punt-yards-per-game
6,7,New Orleans,211.3,205.0,171.0,201.0,214.7,205.0,2022-10-05,/nfl/stat/net-punt-yards-per-game
7,8,Dallas,207.0,200.7,248.0,223.7,157.0,175.4,2022-10-05,/nfl/stat/net-punt-yards-per-game
8,9,Chicago,205.5,196.0,259.0,192.5,218.5,140.6,2022-10-05,/nfl/stat/net-punt-yards-per-game
9,10,NY Giants,196.0,179.0,214.0,179.0,247.0,172.1,2022-10-05,/nfl/stat/net-punt-yards-per-game
10,11,LA Chargers,190.8,190.3,177.0,174.5,207.0,103.2,2022-10-05,/nfl/stat/net-punt-yards-per-game
11,12,NY Jets,188.5,172.7,219.0,179.5,197.5,173.4,2022-10-05,/nfl/stat/net-punt-yards-per-game
12,13,Tampa Bay,188.3,208.0,113.0,194.5,182.0,148.4,2022-10-05,/nfl/stat/net-punt-yards-per-game
13,14,Green Bay,187.0,192.0,161.0,131.5,242.5,129.6,2022-10-05,/nfl/stat/net-punt-yards-per-game
14,15,San Francisco,186.0,194.3,138.0,135.0,237.0,148.3,2022-10-05,/nfl/stat/net-punt-yards-per-game
15,16,Minnesota,177.3,163.0,124.0,176.5,178.0,189.7,2022-10-05,/nfl/stat/net-punt-yards-per-game
16,17,Philadelphia,159.8,172.3,106.0,140.0,179.5,131.7,2022-10-05,/nfl/stat/net-punt-yards-per-game
17,18,Detroit,155.0,149.3,90.0,168.7,114.0,161.8,2022-10-05,/nfl/stat/net-punt-yards-per-game
18,19,Indianapolis,152.0,143.0,67.0,104.5,199.5,137.6,2022-10-05,/nfl/stat/net-punt-yards-per-game
19,20,Cleveland,151.5,149.7,126.0,161.5,141.5,150.8,2022-10-05,/nfl/stat/net-punt-yards-per-game
20,21,Cincinnati,151.3,162.3,153.0,135.5,167.0,159.7,2022-10-05,/nfl/stat/net-punt-yards-per-game
21,22,Kansas City,147.0,166.3,43.0,296.0,97.3,105.2,2022-10-05,/nfl/stat/net-punt-yards-per-game
22,23,Arizona,141.3,118.0,122.0,163.5,119.0,133.2,2022-10-05,/nfl/stat/net-punt-yards-per-game
23,24,Miami,140.3,130.0,127.0,178.5,102.0,183.9,2022-10-05,/nfl/stat/net-punt-yards-per-game
24,25,Baltimore,139.8,106.0,125.0,99.0,180.5,167.1,2022-10-05,/nfl/stat/net-punt-yards-per-game
25,26,New England,138.0,144.7,263.0,45.0,169.0,119.2,2022-10-05,/nfl/stat/net-punt-yards-per-game
26,27,Jacksonville,131.3,132.3,158.0,189.0,112.0,183.4,2022-10-05,/nfl/stat/net-punt-yards-per-game
27,28,Las Vegas,129.5,137.3,149.0,144.5,114.5,155.2,2022-10-05,/nfl/stat/net-punt-yards-per-game
28,29,LA Rams,119.5,106.0,195.0,80.0,159.0,133.3,2022-10-05,/nfl/stat/net-punt-yards-per-game
29,30,Seattle,105.0,107.3,0.0,97.0,113.0,203.6,2022-10-05,/nfl/stat/net-punt-yards-per-game
30,31,Atlanta,103.0,81.3,146.0,157.0,49.0,156.6,2022-10-05,/nfl/stat/net-punt-yards-per-game
31,32,Buffalo,78.0,104.0,136.0,145.0,55.7,111.0,2022-10-05,/nfl/stat/net-punt-yards-per-game
