,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,48.9,48.9,33.0,50.4,46.4,42.1,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
1,2,Tennessee,46.5,46.3,39.0,45.4,47.2,39.9,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
2,3,Jacksonville,45.4,47.8,52.0,43.9,46.8,43.3,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
3,4,Washington,44.7,44.6,44.0,43.9,45.6,41.3,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
4,5,Seattle,44.4,42.7,46.0,45.2,43.6,41.7,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
5,6,Carolina,44.4,43.9,42.0,44.9,43.3,38.3,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
6,7,Las Vegas,44.2,42.3,46.0,42.3,46.6,42.3,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
7,8,Houston,43.4,43.9,55.0,41.6,44.5,41.7,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
8,9,NY Jets,43.4,44.9,47.0,42.0,44.2,41.5,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
9,10,Buffalo,43.1,42.6,46.0,43.0,43.2,37.0,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
10,11,Minnesota,43.1,41.3,43.9,40.9,44.2,40.8,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
11,12,LA Chargers,43.0,44.1,45.6,44.3,41.0,36.5,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
12,13,Chicago,42.0,38.9,34.5,38.2,46.0,38.5,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
13,14,Atlanta,41.7,39.5,40.3,41.2,42.1,40.3,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
14,15,Dallas,41.6,41.8,42.0,42.0,40.9,45.1,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
15,16,New Orleans,41.5,39.9,47.0,38.8,43.4,42.0,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
16,17,Pittsburgh,41.1,41.3,41.7,40.8,41.3,38.6,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
17,18,NY Giants,41.0,40.3,30.0,41.8,39.6,39.5,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
18,19,Tampa Bay,40.8,39.7,39.8,41.4,40.5,38.6,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
19,20,Miami,40.7,41.3,39.5,40.2,41.9,40.1,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
20,21,Denver,40.6,40.6,40.0,40.4,41.1,42.8,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
21,22,Baltimore,40.6,41.9,49.0,42.4,38.9,40.0,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
22,23,Philadelphia,40.3,39.5,37.8,39.2,41.3,38.9,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
23,24,Green Bay,40.1,38.1,40.0,36.4,42.6,39.5,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
24,25,San Francisco,39.9,35.7,29.0,37.4,41.2,40.6,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
25,26,Cleveland,39.9,39.0,35.7,40.6,39.0,38.3,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
26,27,LA Rams,39.9,42.3,45.6,37.4,45.4,41.8,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
27,28,Detroit,39.7,32.0,19.3,46.0,31.0,42.3,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
28,29,Indianapolis,39.7,36.1,31.2,38.9,40.0,39.7,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
29,30,Cincinnati,37.9,33.8,14.5,33.3,40.6,40.9,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
30,31,Arizona,37.9,38.1,32.3,37.1,39.2,42.1,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
31,32,New England,35.4,36.9,31.8,32.1,36.9,39.0,2022-10-25,/nfl/stat/net-yards-per-punt-attempt
