,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,New Orleans,100.0%,100.0%,100.0%,100.0%,100.0%,96.3%,2022-11-16,/nfl/stat/offensive-point-share-pct
1,1,Chicago,100.0%,100.0%,100.0%,100.0%,100.0%,92.6%,2022-11-16,/nfl/stat/offensive-point-share-pct
2,1,Houston,100.0%,100.0%,100.0%,100.0%,100.0%,94.3%,2022-11-16,/nfl/stat/offensive-point-share-pct
3,1,NY Giants,100.0%,100.0%,100.0%,100.0%,100.0%,96.5%,2022-11-16,/nfl/stat/offensive-point-share-pct
4,1,LA Rams,100.0%,100.0%,100.0%,100.0%,100.0%,97.5%,2022-11-16,/nfl/stat/offensive-point-share-pct
5,1,Cincinnati,100.0%,100.0%,100.0%,100.0%,100.0%,97.5%,2022-11-16,/nfl/stat/offensive-point-share-pct
6,1,Indianapolis,100.0%,100.0%,100.0%,100.0%,100.0%,94.9%,2022-11-16,/nfl/stat/offensive-point-share-pct
7,8,LA Chargers,99.0%,96.6%,100.0%,97.4%,100.0%,97.1%,2022-11-16,/nfl/stat/offensive-point-share-pct
8,9,Denver,98.5%,100.0%,100.0%,95.7%,100.0%,97.9%,2022-11-16,/nfl/stat/offensive-point-share-pct
9,10,Philadelphia,97.2%,100.0%,100.0%,100.0%,93.6%,92.3%,2022-11-16,/nfl/stat/offensive-point-share-pct
10,11,Baltimore,97.0%,100.0%,100.0%,93.0%,100.0%,96.4%,2022-11-16,/nfl/stat/offensive-point-share-pct
11,12,Minnesota,96.9%,92.1%,79.4%,100.0%,93.9%,93.6%,2022-11-16,/nfl/stat/offensive-point-share-pct
12,13,Cleveland,96.8%,100.0%,100.0%,94.9%,100.0%,96.0%,2022-11-16,/nfl/stat/offensive-point-share-pct
13,14,Jacksonville,96.8%,100.0%,100.0%,100.0%,95.1%,91.9%,2022-11-16,/nfl/stat/offensive-point-share-pct
14,15,Kansas City,96.7%,97.8%,100.0%,94.4%,98.6%,95.3%,2022-11-16,/nfl/stat/offensive-point-share-pct
15,16,Buffalo,96.4%,100.0%,100.0%,94.9%,98.2%,98.8%,2022-11-16,/nfl/stat/offensive-point-share-pct
16,17,Tampa Bay,96.2%,100.0%,100.0%,100.0%,91.5%,97.6%,2022-11-16,/nfl/stat/offensive-point-share-pct
17,18,Detroit,95.9%,90.3%,77.4%,98.7%,88.5%,100.0%,2022-11-16,/nfl/stat/offensive-point-share-pct
18,19,Tennessee,95.8%,100.0%,100.0%,91.3%,100.0%,93.6%,2022-11-16,/nfl/stat/offensive-point-share-pct
19,20,NY Jets,95.4%,100.0%,100.0%,98.0%,92.9%,95.6%,2022-11-16,/nfl/stat/offensive-point-share-pct
20,21,Washington,95.4%,89.6%,78.8%,97.9%,93.1%,93.9%,2022-11-16,/nfl/stat/offensive-point-share-pct
21,22,Green Bay,95.2%,100.0%,100.0%,100.0%,90.1%,97.0%,2022-11-16,/nfl/stat/offensive-point-share-pct
22,23,Pittsburgh,95.0%,100.0%,100.0%,100.0%,89.4%,96.2%,2022-11-16,/nfl/stat/offensive-point-share-pct
23,24,Seattle,94.6%,100.0%,100.0%,100.0%,92.0%,97.7%,2022-11-16,/nfl/stat/offensive-point-share-pct
24,25,Miami,94.5%,93.5%,100.0%,93.9%,95.0%,87.7%,2022-11-16,/nfl/stat/offensive-point-share-pct
25,26,Dallas,93.4%,93.1%,100.0%,94.3%,92.3%,88.6%,2022-11-16,/nfl/stat/offensive-point-share-pct
26,27,Las Vegas,93.3%,100.0%,100.0%,87.8%,100.0%,99.5%,2022-11-16,/nfl/stat/offensive-point-share-pct
27,28,San Francisco,93.0%,100.0%,100.0%,92.8%,93.2%,95.7%,2022-11-16,/nfl/stat/offensive-point-share-pct
28,29,Atlanta,90.1%,90.1%,100.0%,89.3%,91.1%,94.9%,2022-11-16,/nfl/stat/offensive-point-share-pct
29,30,Carolina,89.9%,100.0%,100.0%,89.0%,91.4%,97.0%,2022-11-16,/nfl/stat/offensive-point-share-pct
30,31,New England,89.7%,88.7%,73.1%,85.4%,93.5%,95.6%,2022-11-16,/nfl/stat/offensive-point-share-pct
31,32,Arizona,84.8%,90.7%,100.0%,81.3%,88.2%,97.0%,2022-11-16,/nfl/stat/offensive-point-share-pct
