,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,30.8,29.7,31.0,25.5,34.3,28.3,2022-10-11,/nfl/stat/offensive-points-per-game
1,2,Buffalo,28.6,26.0,38.0,36.0,23.7,29.5,2022-10-11,/nfl/stat/offensive-points-per-game
2,3,Detroit,27.6,23.0,0.0,38.0,12.0,19.0,2022-10-11,/nfl/stat/offensive-points-per-game
3,4,Baltimore,26.4,25.7,19.0,23.3,31.0,22.2,2022-10-11,/nfl/stat/offensive-points-per-game
4,5,Philadelphia,26.0,25.0,20.0,27.5,25.0,23.3,2022-10-11,/nfl/stat/offensive-points-per-game
5,6,Cleveland,25.8,24.0,28.0,27.7,23.0,19.7,2022-10-11,/nfl/stat/offensive-points-per-game
6,7,Las Vegas,24.4,26.3,30.0,24.5,24.3,22.1,2022-10-11,/nfl/stat/offensive-points-per-game
7,7,LA Chargers,24.4,24.7,30.0,17.0,29.3,27.3,2022-10-11,/nfl/stat/offensive-points-per-game
8,9,NY Jets,23.0,24.7,38.0,20.0,27.5,17.7,2022-10-11,/nfl/stat/offensive-points-per-game
9,9,Seattle,23.0,32.7,34.0,20.0,25.0,22.8,2022-10-11,/nfl/stat/offensive-points-per-game
10,9,Minnesota,23.0,28.3,28.0,26.3,18.0,23.9,2022-10-11,/nfl/stat/offensive-points-per-game
11,12,New Orleans,22.6,25.3,38.0,24.0,21.7,21.3,2022-10-11,/nfl/stat/offensive-points-per-game
12,13,Miami,21.8,18.0,17.0,17.0,25.0,17.6,2022-10-11,/nfl/stat/offensive-points-per-game
13,14,Atlanta,21.4,21.3,14.0,24.5,19.3,17.5,2022-10-11,/nfl/stat/offensive-points-per-game
14,14,Cincinnati,21.4,23.7,17.0,23.5,20.0,25.8,2022-10-11,/nfl/stat/offensive-points-per-game
15,16,Jacksonville,20.8,19.0,6.0,15.0,24.7,14.0,2022-10-11,/nfl/stat/offensive-points-per-game
16,17,NY Giants,20.6,21.0,27.0,18.3,24.0,14.6,2022-10-11,/nfl/stat/offensive-points-per-game
17,18,Arizona,19.6,18.7,17.0,16.7,24.0,25.0,2022-10-11,/nfl/stat/offensive-points-per-game
18,19,Tennessee,19.2,23.0,21.0,22.0,17.3,22.8,2022-10-11,/nfl/stat/offensive-points-per-game
19,19,Tampa Bay,19.2,21.3,20.0,21.3,16.0,29.5,2022-10-11,/nfl/stat/offensive-points-per-game
20,21,San Francisco,19.0,19.3,31.0,22.0,17.0,23.2,2022-10-11,/nfl/stat/offensive-points-per-game
21,21,Green Bay,19.0,20.3,20.0,27.0,13.7,24.9,2022-10-11,/nfl/stat/offensive-points-per-game
22,23,Washington,18.0,11.3,17.0,17.3,19.0,18.9,2022-10-11,/nfl/stat/offensive-points-per-game
23,23,New England,18.0,22.0,22.0,24.5,13.7,25.6,2022-10-11,/nfl/stat/offensive-points-per-game
24,25,Chicago,17.8,19.3,23.0,22.0,15.0,16.9,2022-10-11,/nfl/stat/offensive-points-per-game
25,26,Dallas,17.6,21.7,16.0,16.3,19.5,27.2,2022-10-11,/nfl/stat/offensive-points-per-game
26,27,Houston,17.2,19.0,13.0,22.0,14.0,15.6,2022-10-11,/nfl/stat/offensive-points-per-game
27,28,Carolina,16.4,14.0,16.0,16.5,16.0,17.4,2022-10-11,/nfl/stat/offensive-points-per-game
28,29,LA Rams,16.0,13.0,10.0,17.0,14.5,26.4,2022-10-11,/nfl/stat/offensive-points-per-game
29,30,Denver,15.0,14.3,9.0,11.7,20.0,19.4,2022-10-11,/nfl/stat/offensive-points-per-game
30,31,Pittsburgh,13.8,13.3,3.0,16.5,12.0,19.6,2022-10-11,/nfl/stat/offensive-points-per-game
31,31,Indianapolis,13.8,16.3,12.0,18.5,10.7,25.3,2022-10-11,/nfl/stat/offensive-points-per-game
