,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,San Francisco,3.8,7.0,7.0,3.3,4.0,6.1,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
1,2,Tampa Bay,3.9,3.3,0.0,5.3,2.5,6.8,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
2,3,Philadelphia,4.3,5.3,3.0,3.3,5.7,6.3,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
3,4,Tennessee,5.3,3.3,3.0,2.3,7.5,6.4,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
4,5,Buffalo,5.7,5.7,7.0,2.3,8.3,6.6,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
5,6,Baltimore,5.9,2.3,0.0,6.0,5.8,7.1,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
6,7,Denver,6.0,5.3,3.0,2.3,9.8,5.5,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
7,8,NY Jets,6.1,3.0,3.0,7.5,4.8,10.0,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
8,9,Houston,6.1,5.7,7.0,9.0,4.0,8.1,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
9,9,LA Rams,6.1,8.0,10.0,6.0,6.5,6.7,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
10,11,New England,6.4,6.7,7.0,5.7,6.8,5.0,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
11,11,Carolina,6.4,7.0,14.0,6.0,7.0,7.6,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
12,11,NY Giants,6.4,7.7,10.0,5.5,7.3,9.0,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
13,11,Green Bay,6.4,9.0,17.0,3.3,8.2,6.7,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
14,15,LA Chargers,6.7,5.7,7.0,6.5,7.0,6.8,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
15,16,Minnesota,6.9,5.7,7.0,5.3,9.0,8.6,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
16,17,Washington,7.5,3.3,3.0,9.5,5.5,8.1,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
17,18,Arizona,7.8,6.7,7.0,6.5,9.0,8.2,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
18,19,Dallas,7.9,13.3,17.0,6.6,10.0,5.7,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
19,20,Indianapolis,8.1,8.0,7.0,8.0,8.3,4.9,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
20,21,Kansas City,8.1,8.7,3.0,10.0,6.8,7.8,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
21,22,New Orleans,8.3,10.7,0.0,4.0,12.5,5.0,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
22,22,Jacksonville,8.3,8.7,7.0,4.0,10.8,7.6,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
23,22,Cleveland,8.3,5.7,0.0,9.8,5.7,6.0,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
24,25,Pittsburgh,8.4,7.7,14.0,6.7,9.4,8.0,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
25,26,Cincinnati,8.8,13.7,11.0,11.0,7.4,7.8,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
26,27,Seattle,9.4,7.0,7.0,6.0,12.8,5.9,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
27,28,Las Vegas,10.0,10.0,10.0,6.3,12.8,7.6,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
28,29,Atlanta,10.3,11.7,7.0,7.8,12.8,7.9,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
29,29,Miami,10.3,11.0,13.0,6.8,13.8,6.1,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
30,31,Detroit,10.6,8.7,10.0,11.0,10.0,9.1,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
31,32,Chicago,10.9,10.3,14.0,5.7,14.0,6.1,2022-11-02,/nfl/stat/opp-2nd-quarter-points-per-game
