,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Indianapolis,0.0,0.0,0.0,0.0,0.0,8.6,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
1,2,Buffalo,1.4,2.3,0.0,0.0,2.3,6.0,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
2,3,Dallas,2.2,1.0,0.0,2.7,1.5,5.8,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
3,4,Cincinnati,2.4,2.0,6.0,1.5,3.0,6.4,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
4,5,Chicago,2.8,3.7,8.0,0.0,4.7,7.7,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
5,5,Minnesota,2.8,4.7,3.0,1.0,5.5,7.0,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
6,7,NY Giants,3.0,4.0,2.0,4.3,1.0,7.1,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
7,8,Arizona,3.2,3.0,3.0,3.3,3.0,5.1,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
8,8,Denver,3.2,5.3,3.0,2.0,5.0,5.1,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
9,10,Tennessee,3.4,3.0,0.0,8.5,0.0,5.7,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
10,11,NY Jets,4.0,2.3,0.0,0.0,10.0,8.8,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
11,12,San Francisco,4.2,3.0,3.0,0.0,7.0,6.7,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
12,12,New England,4.2,4.3,0.0,3.0,5.0,4.7,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
13,14,Tampa Bay,5.0,6.0,15.0,6.0,3.5,5.0,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
14,15,Atlanta,5.4,2.3,0.0,12.0,1.0,8.5,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
15,15,Washington,5.4,3.3,0.0,3.3,8.5,7.2,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
16,17,Las Vegas,5.8,4.3,6.0,11.5,2.0,9.7,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
17,18,Jacksonville,6.0,5.3,7.0,3.5,7.7,5.5,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
18,18,Green Bay,6.0,9.0,14.0,3.5,7.7,7.1,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
19,20,LA Chargers,7.2,5.7,0.0,6.5,7.7,10.2,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
20,20,Philadelphia,7.2,7.3,7.0,3.5,9.7,6.7,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
21,22,Houston,7.4,3.3,0.0,12.0,4.3,8.2,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
22,23,Detroit,7.8,9.0,3.0,7.3,8.5,6.8,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
23,23,Miami,7.8,12.0,21.0,1.0,12.3,8.2,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
24,25,Pittsburgh,8.0,11.3,7.0,7.0,8.7,6.4,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
25,25,Seattle,8.0,10.0,8.0,1.5,12.3,6.6,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
26,27,Kansas City,8.8,7.7,9.0,8.0,9.3,6.9,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
27,28,LA Rams,9.4,5.3,3.0,11.3,6.5,5.8,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
28,29,Baltimore,10.0,5.3,7.0,12.7,6.0,7.5,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
29,30,Cleveland,10.6,6.3,3.0,7.7,15.0,7.6,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
30,31,New Orleans,10.8,11.3,13.0,15.0,8.0,5.1,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
31,32,Carolina,11.0,14.3,13.0,12.3,6.0,6.7,2022-10-11,/nfl/stat/opp-4th-quarter-points-per-game
