,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,San Francisco,2.4,4.0,3.0,3.0,2.0,9.8,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
1,2,Dallas,7.0,6.7,10.0,7.3,6.5,11.2,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
2,3,New England,8.2,7.0,0.0,7.0,9.0,10.7,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
3,4,Carolina,8.6,6.7,17.0,9.3,6.0,10.2,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
4,4,Baltimore,8.6,11.0,10.0,9.0,8.0,10.3,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
5,6,Philadelphia,9.0,8.0,10.0,10.5,8.0,12.7,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
6,7,Jacksonville,9.4,11.0,6.0,3.0,13.7,14.6,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
7,7,Tennessee,9.4,10.0,10.0,5.0,12.3,9.8,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
8,7,Green Bay,9.4,7.7,10.0,8.5,10.0,11.4,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
9,10,Tampa Bay,9.6,14.0,0.0,14.0,3.0,11.0,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
10,11,LA Rams,9.8,12.0,16.0,9.7,10.0,9.4,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
11,12,Denver,10.4,9.7,3.0,5.3,18.0,9.7,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
12,13,Buffalo,10.8,12.3,3.0,5.0,14.7,8.9,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
13,13,LA Chargers,10.8,14.7,21.0,9.5,11.7,11.2,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
14,13,NY Giants,10.8,11.7,20.0,7.0,16.5,12.4,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
15,16,Houston,11.0,15.3,6.0,15.0,8.3,12.2,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
16,16,Minnesota,11.0,10.3,10.0,8.0,15.5,11.7,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
17,18,New Orleans,12.2,15.0,19.0,9.5,14.0,9.5,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
18,19,Cleveland,12.4,13.7,17.0,15.0,8.5,9.8,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
19,20,NY Jets,12.8,13.3,14.0,14.7,10.0,15.8,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
20,20,Kansas City,12.8,15.7,20.0,15.0,11.3,11.6,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
21,22,Cincinnati,13.0,10.3,10.0,14.5,12.0,12.4,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
22,23,Las Vegas,13.4,16.7,10.0,8.0,17.0,12.9,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
23,24,Pittsburgh,14.0,18.0,31.0,10.0,16.7,11.7,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
24,25,Atlanta,14.2,14.3,13.0,8.5,18.0,12.8,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
25,25,Indianapolis,14.2,14.7,6.0,19.0,11.0,8.9,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
26,27,Washington,15.0,16.7,14.0,13.7,17.0,13.9,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
27,27,Miami,15.0,15.7,19.0,7.0,20.3,9.8,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
28,29,Detroit,15.6,18.0,16.0,16.0,15.0,14.1,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
29,30,Chicago,16.0,16.3,21.0,10.5,19.7,10.7,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
30,30,Arizona,16.0,12.3,14.0,16.7,15.0,11.9,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
31,32,Seattle,16.4,16.3,17.0,15.0,17.3,9.5,2022-10-11,/nfl/stat/opponent-1st-half-points-per-game
