,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Philadelphia,68.0,60.9,72.9,59.7,76.4,96.6,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
1,2,Denver,72.4,63.9,52.2,68.0,76.4,85.0,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
2,3,NY Jets,74.3,60.9,46.8,79.3,68.4,103.2,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
3,4,New England,75.7,63.3,45.6,76.2,75.4,78.5,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
4,5,Buffalo,76.4,91.3,101.1,69.4,81.2,70.1,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
5,6,Cincinnati,77.1,92.1,66.5,77.8,76.6,89.9,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
6,7,Dallas,81.5,98.7,119.4,82.3,80.3,76.2,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
7,8,Houston,82.4,108.8,128.9,98.3,66.0,94.1,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
8,9,Jacksonville,85.8,92.9,99.2,77.6,90.8,100.8,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
9,10,Chicago,87.0,100.6,135.7,82.1,90.9,103.3,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
10,11,San Francisco,87.2,118.5,91.4,86.6,87.7,95.0,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
11,12,NY Giants,87.8,82.1,104.0,80.4,93.5,89.0,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
12,13,Tampa Bay,88.2,102.7,80.0,96.1,78.6,85.9,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
13,14,Baltimore,90.1,101.4,89.7,98.3,82.5,99.4,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
14,15,LA Chargers,90.8,87.9,68.9,94.2,87.4,93.0,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
15,16,Green Bay,91.0,80.3,78.5,80.1,94.0,86.0,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
16,17,Carolina,91.6,95.9,108.1,86.1,99.6,95.0,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
17,18,LA Rams,91.7,93.7,79.7,102.2,82.9,82.4,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
18,19,Minnesota,92.4,88.7,77.8,88.6,96.5,91.4,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
19,20,New Orleans,92.5,94.0,59.0,97.5,87.2,81.7,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
20,21,Cleveland,93.2,102.1,96.4,101.2,70.2,89.4,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
21,22,Tennessee,93.3,76.6,80.9,88.4,95.8,86.8,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
22,23,Pittsburgh,93.4,105.7,140.0,79.1,102.1,92.6,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
23,24,Seattle,94.1,86.3,101.5,84.4,101.3,93.6,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
24,25,Indianapolis,94.7,91.5,89.2,102.2,89.4,90.5,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
25,26,Atlanta,96.1,102.0,82.0,85.4,107.7,97.4,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
26,27,Washington,96.7,92.0,81.6,93.7,101.6,100.8,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
27,28,Arizona,98.9,100.0,106.9,108.0,87.1,95.6,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
28,29,Detroit,99.8,98.2,53.5,99.1,101.5,101.0,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
29,30,Miami,100.6,90.8,106.7,87.5,115.5,85.4,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
30,31,Kansas City,101.0,91.9,49.0,101.7,100.4,94.0,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
31,32,Las Vegas,106.7,106.8,109.0,94.0,115.6,97.1,2022-11-09,/nfl/stat/opponent-average-team-passer-rating
