,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Washington,0.00%,0.00%,0.00%,0.00%,0,60.00%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
1,1,Las Vegas,0.00%,0.00%,0.00%,0,0.00%,73.33%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
2,1,Chicago,0.00%,0.00%,0.00%,0.00%,0,50.00%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
3,1,Miami,0.00%,0.00%,0.00%,0.00%,0,61.11%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
4,1,Houston,0.00%,0.00%,0.00%,0.00%,0,57.89%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
5,1,Denver,0.00%,0.00%,0.00%,0,0.00%,42.31%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
6,1,Seattle,0.00%,0.00%,0.00%,0.00%,0,41.94%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
7,1,Minnesota,0.00%,0.00%,0.00%,0.00%,0,50.00%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
8,9,Pittsburgh,33.33%,33.33%,33.33%,0,33.33%,54.17%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
9,10,Tampa Bay,40.00%,40.00%,40.00%,0,40.00%,45.16%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
10,11,Carolina,50.00%,50.00%,50.00%,50.00%,0,57.14%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
11,11,LA Chargers,50.00%,50.00%,50.00%,50.00%,0,31.82%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
12,13,Detroit,66.67%,66.67%,66.67%,66.67%,0,64.29%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
13,13,Buffalo,66.67%,66.67%,66.67%,0,66.67%,52.50%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
14,15,Kansas City,75.00%,75.00%,75.00%,0,75.00%,67.57%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
15,15,Baltimore,75.00%,75.00%,75.00%,0,75.00%,61.11%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
16,17,Tennessee,100.00%,100.00%,100.00%,100.00%,0,58.33%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
17,17,Arizona,100.00%,100.00%,100.00%,100.00%,0,46.67%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
18,17,New England,100.00%,100.00%,100.00%,0,100.00%,53.13%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
19,17,Green Bay,100.00%,100.00%,100.00%,0,100.00%,44.12%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
20,17,Philadelphia,100.00%,100.00%,100.00%,0,100.00%,46.67%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
21,1,Dallas,0,0,0,0,0,61.54%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
22,1,Atlanta,0,0,0,0,0,50.00%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
23,1,New Orleans,0,0,0,0,0,42.86%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
24,1,Jacksonville,0,0,0,0,0,66.67%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
25,1,San Francisco,0,0,0,0,0,42.86%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
26,1,NY Jets,0,0,0,0,0,61.90%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
27,1,Cleveland,0,0,0,0,0,64.00%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
28,1,NY Giants,0,0,0,0,0,65.22%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
29,1,LA Rams,0,0,0,0,0,51.22%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
30,1,Cincinnati,0,0,0,0,0,40.91%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
31,1,Indianapolis,0,0,0,0,0,57.14%,2022-09-13,/nfl/stat/opponent-fourth-down-conversion-pct
