,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Chicago,0.1,0.0,0.0,0.3,0.0,0.7,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
1,2,Green Bay,0.2,0.0,0.0,0.0,0.3,0.8,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
2,2,Cincinnati,0.2,0.3,1.0,0.3,0.2,0.4,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
3,4,Denver,0.3,0.3,0.0,0.3,0.3,0.6,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
4,5,Carolina,0.3,0.3,0.0,0.4,0.3,0.7,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
5,6,Cleveland,0.4,0.7,0.0,0.2,0.7,0.9,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
6,6,LA Chargers,0.4,0.0,0.0,0.8,0.0,0.4,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
7,8,Washington,0.4,0.0,0.0,0.6,0.3,0.7,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
8,8,NY Jets,0.4,0.7,0.0,0.2,0.8,0.8,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
9,8,Tampa Bay,0.4,0.0,0.0,0.2,0.8,0.7,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
10,8,Arizona,0.4,0.3,0.0,0.6,0.3,0.8,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
11,12,New Orleans,0.5,1.0,2.0,0.5,0.5,0.5,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
12,13,New England,0.6,0.0,0.0,0.0,1.0,0.9,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
13,14,Dallas,0.6,1.0,2.0,0.6,0.7,0.9,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
14,14,Las Vegas,0.6,0.3,0.0,1.7,0.0,1.2,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
15,14,San Francisco,0.6,0.0,0.0,0.7,0.6,0.6,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
16,14,LA Rams,0.6,0.0,0.0,0.2,1.3,1.0,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
17,18,Atlanta,0.7,0.7,1.0,0.8,0.5,0.6,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
18,18,Jacksonville,0.7,1.0,1.0,0.3,1.0,0.8,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
19,20,Detroit,0.8,0.7,1.0,1.0,0.3,0.5,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
20,20,Houston,0.8,1.3,2.0,1.0,0.5,0.6,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
21,20,NY Giants,0.8,1.3,2.0,0.5,1.0,0.9,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
22,20,Philadelphia,0.8,1.3,0.0,1.0,0.5,0.8,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
23,24,Miami,0.8,1.3,1.0,1.0,0.6,0.6,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
24,24,Seattle,0.8,0.3,0.0,0.3,1.2,0.8,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
25,24,Indianapolis,0.8,0.7,0.0,1.0,0.6,0.7,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
26,27,Buffalo,0.9,1.0,2.0,0.3,1.2,1.1,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
27,27,Minnesota,0.9,0.3,0.0,1.3,0.5,0.9,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
28,29,Pittsburgh,1.0,1.0,1.0,1.0,1.0,0.7,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
29,30,Baltimore,1.1,0.7,1.0,1.0,1.3,0.6,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
30,31,Kansas City,1.3,0.3,0.0,1.5,1.0,1.3,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
31,32,Tennessee,1.5,1.7,2.0,1.7,1.4,0.8,2022-11-09,/nfl/stat/opponent-fourth-down-conversions-per-game
