,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Minnesota,28.57%,33.33%,0.00%,33.33%,25.00%,36.11%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
1,2,Las Vegas,33.33%,40.00%,0.00%,33.33%,33.33%,44.23%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
2,2,Philadelphia,33.33%,27.27%,16.67%,25.00%,50.00%,47.62%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
3,2,Indianapolis,33.33%,44.44%,66.67%,57.14%,12.50%,48.94%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
4,5,Atlanta,36.36%,28.57%,0.00%,33.33%,40.00%,54.35%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
5,6,Pittsburgh,37.50%,40.00%,0.00%,33.33%,40.00%,54.35%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
6,6,Arizona,37.50%,25.00%,25.00%,40.00%,33.33%,30.51%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
7,8,Cincinnati,40.00%,28.57%,0,66.67%,28.57%,53.49%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
8,9,San Francisco,41.67%,40.00%,0.00%,0.00%,71.43%,57.63%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
9,10,Kansas City,42.86%,33.33%,0.00%,0,42.86%,46.43%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
10,11,Miami,44.44%,80.00%,0,37.50%,100.00%,40.82%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
11,12,Green Bay,46.15%,41.67%,33.33%,42.86%,50.00%,46.15%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
12,13,NY Giants,46.67%,45.45%,50.00%,45.45%,50.00%,50.00%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
13,14,New Orleans,50.00%,50.00%,100.00%,40.00%,55.56%,46.67%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
14,14,Detroit,50.00%,60.00%,50.00%,50.00%,50.00%,52.94%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
15,14,Tennessee,50.00%,50.00%,33.33%,50.00%,50.00%,56.52%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
16,14,Houston,50.00%,30.00%,33.33%,66.67%,28.57%,55.81%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
17,14,Buffalo,50.00%,33.33%,50.00%,33.33%,55.56%,38.78%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
18,14,Carolina,50.00%,70.00%,75.00%,46.15%,66.67%,58.70%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
19,14,Baltimore,50.00%,57.14%,50.00%,33.33%,57.14%,44.12%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
20,14,Seattle,50.00%,71.43%,50.00%,28.57%,80.00%,50.00%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
21,22,Chicago,52.63%,52.94%,50.00%,57.14%,50.00%,46.67%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
22,23,Washington,57.14%,40.00%,0.00%,80.00%,0.00%,44.19%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
23,24,New England,58.33%,37.50%,66.67%,25.00%,75.00%,50.00%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
24,25,LA Rams,60.00%,85.71%,100.00%,33.33%,100.00%,63.16%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
25,26,Denver,61.54%,50.00%,100.00%,42.86%,83.33%,62.50%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
26,27,Jacksonville,63.64%,77.78%,83.33%,100.00%,55.56%,66.67%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
27,28,NY Jets,66.67%,66.67%,100.00%,62.50%,75.00%,65.00%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
28,28,Tampa Bay,66.67%,66.67%,100.00%,71.43%,60.00%,50.00%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
29,30,Cleveland,75.00%,66.67%,100.00%,50.00%,87.50%,59.09%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
30,30,LA Chargers,75.00%,75.00%,66.67%,80.00%,66.67%,60.61%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
31,32,Dallas,100.00%,100.00%,100.00%,100.00%,0,35.71%,2022-10-05,/nfl/stat/opponent-fumble-recovery-pct
