,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Atlanta,0.00%,0.00%,0,0.00%,0.00%,63.64%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
1,2,Dallas,44.44%,28.57%,25.00%,50.00%,33.33%,42.86%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
2,2,New Orleans,44.44%,60.00%,100.00%,25.00%,60.00%,56.25%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
3,2,Philadelphia,44.44%,20.00%,0,33.33%,66.67%,76.47%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
4,2,Minnesota,44.44%,42.86%,50.00%,50.00%,40.00%,46.67%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
5,6,Baltimore,45.45%,25.00%,33.33%,40.00%,50.00%,53.85%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
6,7,Kansas City,50.00%,33.33%,0.00%,50.00%,50.00%,46.43%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
7,7,Buffalo,50.00%,50.00%,100.00%,25.00%,100.00%,54.17%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
8,7,NY Giants,50.00%,60.00%,0.00%,45.45%,60.00%,58.82%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
9,7,Green Bay,50.00%,100.00%,0,50.00%,50.00%,57.89%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
10,7,Seattle,50.00%,57.14%,50.00%,42.86%,57.14%,63.16%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
11,7,Indianapolis,50.00%,60.00%,0.00%,50.00%,50.00%,46.15%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
12,13,Detroit,57.14%,50.00%,50.00%,50.00%,60.00%,52.94%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
13,13,Cincinnati,57.14%,100.00%,100.00%,100.00%,40.00%,64.00%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
14,15,Pittsburgh,60.00%,50.00%,0,100.00%,33.33%,60.00%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
15,15,Tennessee,60.00%,57.14%,0.00%,50.00%,66.67%,71.43%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
16,15,New England,60.00%,66.67%,100.00%,71.43%,50.00%,50.00%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
17,18,Arizona,61.54%,66.67%,0,71.43%,50.00%,50.00%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
18,19,Miami,62.50%,100.00%,0,57.14%,100.00%,40.00%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
19,19,Tampa Bay,62.50%,100.00%,0,66.67%,60.00%,45.16%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
20,19,LA Rams,62.50%,100.00%,0,50.00%,100.00%,68.18%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
21,22,Las Vegas,66.67%,0.00%,0,0.00%,100.00%,57.14%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
22,22,San Francisco,66.67%,80.00%,50.00%,25.00%,100.00%,66.67%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
23,22,NY Jets,66.67%,50.00%,100.00%,50.00%,80.00%,73.08%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
24,22,Cleveland,66.67%,0.00%,0.00%,40.00%,85.71%,75.00%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
25,26,Chicago,69.23%,66.67%,0.00%,83.33%,57.14%,60.00%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
26,27,Washington,71.43%,60.00%,66.67%,80.00%,50.00%,55.56%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
27,27,Jacksonville,71.43%,100.00%,0,100.00%,60.00%,83.33%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
28,29,Denver,75.00%,100.00%,0,77.78%,66.67%,50.00%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
29,29,LA Chargers,75.00%,50.00%,0.00%,71.43%,100.00%,56.52%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
30,31,Carolina,77.78%,66.67%,100.00%,77.78%,0,73.08%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
31,32,Houston,81.82%,75.00%,100.00%,71.43%,100.00%,68.00%,2022-10-25,/nfl/stat/opponent-giveaway-fumble-recovery-pct
