,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,San Francisco,1.0,1.0,1.0,0,1.0,5.8,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
1,1,Miami,1.0,1.0,1.0,1.0,0,7.7,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
2,1,Tennessee,1.0,1.0,1.0,1.0,0,7.5,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
3,1,Kansas City,1.0,1.0,1.0,0,1.0,5.8,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
4,1,Minnesota,1.0,1.0,1.0,1.0,0,8.2,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
5,6,Jacksonville,2.0,2.0,2.0,0,2.0,8.4,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
6,7,Tampa Bay,3.0,3.0,3.0,0,3.0,6.7,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
7,7,Baltimore,3.0,3.0,3.0,0,3.0,6.0,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
8,9,Chicago,4.0,4.0,4.0,4.0,0,7.2,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
9,9,Buffalo,4.0,4.0,4.0,0,4.0,5.6,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
10,11,Denver,5.0,5.0,5.0,0,5.0,5.9,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
11,11,Philadelphia,5.0,5.0,5.0,0,5.0,5.9,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
12,13,Pittsburgh,6.0,6.0,6.0,0,6.0,8.1,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
13,13,Las Vegas,6.0,6.0,6.0,0,6.0,7.7,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
14,13,NY Jets,6.0,6.0,6.0,6.0,0,9.3,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
15,13,Cleveland,6.0,6.0,6.0,0,6.0,6.5,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
16,17,Atlanta,7.0,7.0,7.0,7.0,0,6.9,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
17,17,LA Chargers,7.0,7.0,7.0,7.0,0,8.2,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
18,17,LA Rams,7.0,7.0,7.0,7.0,0,7.2,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
19,20,Detroit,8.0,8.0,8.0,8.0,0,8.9,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
20,20,Houston,8.0,8.0,8.0,8.0,0,7.5,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
21,20,Arizona,8.0,8.0,8.0,8.0,0,6.3,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
22,20,New England,8.0,8.0,8.0,0,8.0,5.4,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
23,20,NY Giants,8.0,8.0,8.0,0,8.0,8.5,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
24,20,Indianapolis,8.0,8.0,8.0,0,8.0,5.7,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
25,26,Washington,10.0,10.0,10.0,10.0,0,7.3,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
26,26,Seattle,10.0,10.0,10.0,10.0,0,6.6,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
27,28,Green Bay,11.0,11.0,11.0,0,11.0,5.7,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
28,28,Cincinnati,11.0,11.0,11.0,11.0,0,6.4,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
29,30,Dallas,13.0,13.0,13.0,13.0,0,7.1,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
30,31,New Orleans,14.0,14.0,14.0,0,14.0,7.2,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
31,31,Carolina,14.0,14.0,14.0,14.0,0,7.5,2022-09-13,/nfl/stat/opponent-kicking-points-per-game
