,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Denver,1.1,1.3,2.0,0.5,1.8,1.8,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
1,2,Dallas,1.5,2.3,4.0,1.4,1.7,2.2,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
2,3,Buffalo,1.6,2.0,2.0,1.0,2.0,2.0,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
3,4,NY Giants,1.8,2.3,3.0,1.3,2.3,2.5,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
4,4,LA Rams,1.8,1.7,1.0,2.2,1.0,2.0,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
5,6,New England,1.8,1.7,0.0,2.0,1.6,2.1,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
6,6,Cincinnati,1.8,3.0,3.0,1.8,1.8,2.4,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
7,8,Indianapolis,1.9,1.0,1.0,2.8,1.2,2.5,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
8,9,San Francisco,2.0,3.7,2.0,2.0,2.0,2.4,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
9,9,Green Bay,2.0,2.3,2.0,1.7,2.2,2.4,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
10,9,Philadelphia,2.0,1.7,2.0,1.5,2.5,2.8,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
11,12,NY Jets,2.1,1.3,2.0,2.2,2.0,3.3,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
12,12,Tampa Bay,2.1,2.3,1.0,2.6,1.5,2.2,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
13,14,New Orleans,2.1,2.3,0.0,2.3,2.0,1.9,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
14,14,Tennessee,2.1,1.3,2.0,2.0,2.2,2.2,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
15,16,Washington,2.2,1.7,2.0,2.4,2.0,2.8,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
16,17,Jacksonville,2.3,2.3,2.0,1.3,3.2,2.7,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
17,18,Houston,2.4,3.3,4.0,3.0,1.8,3.1,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
18,18,Minnesota,2.4,2.3,2.0,2.3,2.5,2.6,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
19,20,Baltimore,2.6,2.3,2.0,3.0,2.3,2.6,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
20,21,Carolina,2.7,3.0,6.0,2.2,3.3,2.5,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
21,21,Seattle,2.7,2.0,2.0,1.3,3.8,2.4,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
22,23,Pittsburgh,2.8,2.3,5.0,2.0,3.2,2.6,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
23,23,Kansas City,2.8,2.3,2.0,2.8,2.8,2.6,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
24,23,LA Chargers,2.8,2.3,2.0,2.8,2.8,2.9,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
25,26,Chicago,2.8,4.0,4.0,2.0,3.4,2.6,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
26,27,Cleveland,2.9,3.0,2.0,3.2,2.3,2.5,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
27,28,Atlanta,2.9,3.7,2.0,2.6,3.3,2.9,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
28,28,Miami,2.9,2.7,4.0,1.8,3.8,2.3,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
29,30,Las Vegas,3.0,2.7,3.0,2.7,3.2,2.7,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
30,30,Arizona,3.0,4.3,4.0,3.6,2.3,2.4,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
31,32,Detroit,3.3,2.7,1.0,3.6,2.7,2.9,2022-11-09,/nfl/stat/opponent-offensive-touchdowns-per-game
