,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Chicago,35.80%,37.50%,23.81%,41.18%,31.91%,52.96%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
1,2,Denver,48.61%,49.06%,44.00%,53.57%,45.45%,61.54%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
2,3,New Orleans,48.65%,58.33%,65.22%,61.54%,45.90%,60.86%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
3,4,Carolina,48.75%,56.14%,50.00%,50.00%,44.44%,54.66%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
4,5,NY Giants,50.00%,43.86%,37.50%,43.86%,68.42%,59.18%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
5,6,Buffalo,51.47%,42.86%,31.82%,50.00%,51.79%,51.34%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
6,7,Dallas,52.63%,53.45%,58.82%,59.26%,36.36%,57.76%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
7,8,Cleveland,52.70%,54.24%,31.58%,65.00%,38.24%,56.27%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
8,9,Green Bay,53.03%,48.94%,35.29%,28.57%,71.05%,57.59%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
9,10,Detroit,54.29%,57.69%,51.85%,54.67%,53.33%,56.72%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
10,11,Seattle,55.21%,52.63%,70.37%,59.09%,51.92%,60.00%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
11,12,Houston,55.43%,52.54%,68.18%,63.64%,43.24%,57.07%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
12,13,NY Jets,56.10%,55.07%,55.00%,60.61%,53.06%,58.35%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
13,14,Jacksonville,56.58%,54.00%,32.00%,66.67%,55.22%,56.41%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
14,15,Minnesota,57.95%,56.72%,57.89%,61.36%,54.55%,57.29%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
15,16,Las Vegas,58.44%,55.93%,58.33%,50.00%,67.57%,58.86%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
16,17,Tennessee,58.62%,64.71%,80.95%,48.84%,68.18%,62.36%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
17,18,Indianapolis,58.75%,58.33%,47.37%,53.85%,63.41%,63.77%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
18,19,San Francisco,59.38%,69.39%,76.19%,74.29%,41.38%,57.56%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
19,20,Atlanta,59.77%,57.97%,40.91%,52.50%,65.96%,55.87%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
20,21,New England,61.04%,57.63%,50.00%,57.89%,62.07%,56.08%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
21,22,Pittsburgh,61.54%,57.63%,63.16%,59.46%,62.96%,53.95%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
22,23,Philadelphia,63.16%,67.92%,69.23%,75.76%,53.49%,58.27%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
23,24,Miami,63.22%,64.29%,68.75%,64.58%,61.54%,59.05%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
24,25,Tampa Bay,63.38%,62.71%,62.96%,68.29%,56.67%,63.09%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
25,25,Cincinnati,63.38%,63.79%,65.00%,63.64%,63.16%,63.81%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
26,27,Washington,64.94%,69.81%,60.00%,64.44%,65.63%,63.58%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
27,28,LA Rams,65.79%,66.04%,69.23%,65.00%,66.67%,62.62%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
28,29,Arizona,68.35%,69.57%,72.73%,66.67%,70.97%,57.67%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
29,30,Baltimore,69.47%,67.61%,63.64%,73.47%,65.22%,68.24%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
30,31,Kansas City,72.94%,74.63%,85.19%,71.43%,73.44%,58.69%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
31,32,LA Chargers,74.32%,67.86%,68.75%,76.74%,70.97%,51.96%,2022-10-05,/nfl/stat/opponent-passing-first-down-pct
