,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Chicago,48.24%,51.90%,49.12%,49.72%,47.39%,52.13%,2022-11-02,/nfl/stat/opponent-passing-play-pct
1,2,Green Bay,49.45%,45.25%,50.00%,38.82%,54.75%,61.07%,2022-11-02,/nfl/stat/opponent-passing-play-pct
2,3,Houston,50.21%,47.31%,22.41%,48.84%,51.37%,52.50%,2022-11-02,/nfl/stat/opponent-passing-play-pct
3,4,Indianapolis,51.52%,45.76%,54.10%,51.72%,51.33%,60.00%,2022-11-02,/nfl/stat/opponent-passing-play-pct
4,5,Detroit,53.42%,48.04%,59.38%,56.09%,49.45%,52.56%,2022-11-02,/nfl/stat/opponent-passing-play-pct
5,6,Carolina,54.77%,58.16%,44.78%,57.31%,50.50%,53.89%,2022-11-02,/nfl/stat/opponent-passing-play-pct
6,7,Seattle,54.89%,65.20%,56.25%,57.71%,52.33%,57.62%,2022-11-02,/nfl/stat/opponent-passing-play-pct
7,8,Cincinnati,54.98%,42.16%,36.23%,56.02%,54.46%,62.81%,2022-11-02,/nfl/stat/opponent-passing-play-pct
8,9,Cleveland,55.06%,53.37%,80.00%,62.42%,41.67%,58.62%,2022-11-02,/nfl/stat/opponent-passing-play-pct
9,10,Dallas,55.89%,45.13%,39.44%,53.21%,60.30%,59.21%,2022-11-02,/nfl/stat/opponent-passing-play-pct
10,11,LA Rams,55.98%,47.65%,55.77%,50.57%,66.92%,61.96%,2022-11-02,/nfl/stat/opponent-passing-play-pct
11,12,Washington,56.04%,54.12%,46.30%,61.51%,50.62%,59.62%,2022-11-02,/nfl/stat/opponent-passing-play-pct
12,13,NY Jets,57.14%,62.56%,54.67%,57.42%,56.88%,54.15%,2022-11-02,/nfl/stat/opponent-passing-play-pct
13,14,Tampa Bay,57.20%,51.89%,55.41%,53.85%,61.00%,66.29%,2022-11-02,/nfl/stat/opponent-passing-play-pct
14,15,Jacksonville,57.78%,59.51%,54.10%,52.30%,60.59%,53.84%,2022-11-02,/nfl/stat/opponent-passing-play-pct
15,16,New Orleans,58.21%,67.06%,76.79%,65.18%,52.14%,59.96%,2022-11-02,/nfl/stat/opponent-passing-play-pct
16,16,San Francisco,58.21%,51.76%,62.50%,70.22%,51.16%,58.69%,2022-11-02,/nfl/stat/opponent-passing-play-pct
17,16,NY Giants,58.21%,62.16%,59.68%,53.22%,62.90%,56.73%,2022-11-02,/nfl/stat/opponent-passing-play-pct
18,19,New England,58.30%,60.00%,74.14%,49.22%,63.90%,54.85%,2022-11-02,/nfl/stat/opponent-passing-play-pct
19,20,Pittsburgh,58.32%,60.11%,62.26%,57.21%,58.98%,55.97%,2022-11-02,/nfl/stat/opponent-passing-play-pct
20,21,Las Vegas,58.47%,60.41%,49.21%,62.83%,55.16%,58.16%,2022-11-02,/nfl/stat/opponent-passing-play-pct
21,22,LA Chargers,59.86%,51.91%,46.03%,57.43%,63.37%,53.85%,2022-11-02,/nfl/stat/opponent-passing-play-pct
22,23,Minnesota,60.18%,65.26%,68.57%,61.02%,59.09%,58.77%,2022-11-02,/nfl/stat/opponent-passing-play-pct
23,24,Denver,60.63%,60.20%,50.77%,63.29%,58.30%,57.56%,2022-11-02,/nfl/stat/opponent-passing-play-pct
24,25,Arizona,61.00%,60.49%,57.35%,59.84%,62.20%,57.24%,2022-11-02,/nfl/stat/opponent-passing-play-pct
25,26,Miami,61.05%,66.48%,66.67%,67.68%,53.48%,60.68%,2022-11-02,/nfl/stat/opponent-passing-play-pct
26,27,Buffalo,61.48%,66.33%,50.79%,60.11%,62.61%,57.40%,2022-11-02,/nfl/stat/opponent-passing-play-pct
27,28,Atlanta,62.52%,62.76%,50.68%,58.91%,65.93%,53.41%,2022-11-02,/nfl/stat/opponent-passing-play-pct
28,29,Tennessee,64.62%,69.94%,64.71%,63.64%,65.40%,65.00%,2022-11-02,/nfl/stat/opponent-passing-play-pct
29,30,Baltimore,65.04%,61.11%,75.81%,64.23%,65.79%,63.41%,2022-11-02,/nfl/stat/opponent-passing-play-pct
30,31,Philadelphia,65.18%,62.56%,65.71%,66.53%,63.64%,57.40%,2022-11-02,/nfl/stat/opponent-passing-play-pct
31,32,Kansas City,66.67%,62.00%,70.83%,60.89%,71.10%,60.96%,2022-11-02,/nfl/stat/opponent-passing-play-pct
