,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,San Francisco,0.8,0.3,0.0,0.8,0.8,1.4,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
1,1,Denver,0.8,1.7,1.0,0.6,1.0,1.3,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
2,3,NY Jets,0.9,0.3,1.0,1.3,0.4,1.6,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
3,3,Houston,0.9,1.0,1.0,1.0,0.8,1.6,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
4,3,Cincinnati,0.9,1.0,0.0,1.3,0.7,1.6,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
5,6,Indianapolis,1.1,1.0,0.0,1.0,1.2,1.9,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
6,7,Dallas,1.1,1.3,1.0,1.0,1.2,1.3,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
7,7,NY Giants,1.1,1.0,2.0,0.7,1.6,1.6,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
8,9,New Orleans,1.2,1.0,1.0,1.7,0.7,1.2,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
9,10,Philadelphia,1.2,1.0,3.0,1.3,1.0,1.7,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
10,11,Chicago,1.3,1.7,3.0,1.0,1.4,1.8,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
11,11,Carolina,1.3,1.0,1.0,1.3,1.2,1.5,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
12,13,Buffalo,1.3,2.0,2.0,0.8,1.6,0.9,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
13,14,New England,1.4,1.0,3.0,1.0,1.7,1.4,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
14,14,LA Rams,1.4,1.7,1.0,1.5,1.2,1.0,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
15,16,Cleveland,1.5,2.0,2.0,1.8,1.0,1.7,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
16,16,Baltimore,1.5,1.3,3.0,1.6,1.3,1.8,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
17,16,Minnesota,1.5,1.7,2.0,1.5,1.4,1.7,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
18,19,Atlanta,1.5,1.0,2.0,1.2,1.8,1.8,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
19,19,Green Bay,1.5,2.7,2.0,1.4,1.6,1.7,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
20,21,Jacksonville,1.5,2.3,1.0,0.8,2.2,1.4,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
21,21,Miami,1.5,1.7,1.0,1.3,1.8,1.4,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
22,21,Tampa Bay,1.5,1.3,1.0,1.8,1.3,1.5,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
23,24,Washington,1.6,1.0,1.0,1.7,1.5,2.0,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
24,25,Detroit,1.6,1.7,2.0,1.8,1.4,1.8,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
25,25,LA Chargers,1.6,1.7,2.0,2.2,1.2,1.6,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
26,25,Seattle,1.6,2.3,3.0,1.0,2.2,1.4,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
27,28,Las Vegas,1.7,1.0,2.0,1.5,1.9,1.7,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
28,28,Tennessee,1.7,1.3,1.0,1.4,2.0,1.3,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
29,30,Arizona,2.0,2.7,3.0,2.3,1.7,1.8,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
30,30,Kansas City,2.0,1.7,1.0,1.8,2.2,1.8,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
31,32,Pittsburgh,2.1,2.0,1.0,1.8,2.3,1.7,2022-11-29,/nfl/stat/opponent-passing-touchdowns-per-game
