,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,NY Giants,7.9,10.0,13.0,7.0,9.0,6.3,2022-10-25,/nfl/stat/opponent-penalties-per-game
1,2,Denver,7.4,9.3,11.0,8.5,6.0,6.1,2022-10-25,/nfl/stat/opponent-penalties-per-game
2,3,Carolina,7.3,6.7,4.0,7.2,7.5,6.4,2022-10-25,/nfl/stat/opponent-penalties-per-game
3,4,Houston,7.2,5.7,5.0,6.5,7.5,5.2,2022-10-25,/nfl/stat/opponent-penalties-per-game
4,4,Minnesota,7.2,8.7,10.0,5.0,9.3,5.5,2022-10-25,/nfl/stat/opponent-penalties-per-game
5,6,Tennessee,7.0,6.7,4.0,6.0,8.0,6.9,2022-10-25,/nfl/stat/opponent-penalties-per-game
6,7,Tampa Bay,6.7,5.3,3.0,6.0,7.3,4.6,2022-10-25,/nfl/stat/opponent-penalties-per-game
7,8,Las Vegas,6.5,5.0,3.0,7.3,5.7,5.9,2022-10-25,/nfl/stat/opponent-penalties-per-game
8,8,Detroit,6.5,8.0,7.0,7.7,5.3,5.1,2022-10-25,/nfl/stat/opponent-penalties-per-game
9,10,NY Jets,6.4,7.3,4.0,7.0,6.0,4.9,2022-10-25,/nfl/stat/opponent-penalties-per-game
10,10,Kansas City,6.4,9.3,10.0,7.0,6.0,6.4,2022-10-25,/nfl/stat/opponent-penalties-per-game
11,12,Dallas,6.3,4.3,8.0,7.8,4.3,7.2,2022-10-25,/nfl/stat/opponent-penalties-per-game
12,12,Washington,6.3,7.0,9.0,8.8,3.0,5.6,2022-10-25,/nfl/stat/opponent-penalties-per-game
13,12,New Orleans,6.3,6.3,4.0,7.7,5.3,5.2,2022-10-25,/nfl/stat/opponent-penalties-per-game
14,15,Buffalo,6.2,6.7,5.0,7.5,5.5,5.7,2022-10-25,/nfl/stat/opponent-penalties-per-game
15,16,Chicago,6.1,6.0,4.0,7.3,5.3,5.5,2022-10-25,/nfl/stat/opponent-penalties-per-game
16,16,LA Chargers,6.1,7.7,7.0,5.5,7.0,5.8,2022-10-25,/nfl/stat/opponent-penalties-per-game
17,16,Green Bay,6.1,6.7,7.0,7.0,5.5,5.2,2022-10-25,/nfl/stat/opponent-penalties-per-game
18,19,Arizona,6.0,5.7,8.0,5.0,7.3,5.9,2022-10-25,/nfl/stat/opponent-penalties-per-game
19,19,Seattle,6.0,6.3,7.0,6.7,5.5,5.6,2022-10-25,/nfl/stat/opponent-penalties-per-game
20,21,Cleveland,5.9,6.3,3.0,7.3,4.0,5.8,2022-10-25,/nfl/stat/opponent-penalties-per-game
21,22,Atlanta,5.7,5.3,5.0,6.7,5.0,6.9,2022-10-25,/nfl/stat/opponent-penalties-per-game
22,22,Jacksonville,5.7,6.3,8.0,5.7,5.8,6.1,2022-10-25,/nfl/stat/opponent-penalties-per-game
23,24,Pittsburgh,5.6,5.3,5.0,6.7,4.8,7.0,2022-10-25,/nfl/stat/opponent-penalties-per-game
24,25,Philadelphia,5.3,5.3,10.0,6.3,4.3,5.3,2022-10-25,/nfl/stat/opponent-penalties-per-game
25,26,San Francisco,5.3,6.0,8.0,6.3,4.5,5.8,2022-10-25,/nfl/stat/opponent-penalties-per-game
26,27,Cincinnati,5.1,4.3,3.0,5.7,4.8,6.1,2022-10-25,/nfl/stat/opponent-penalties-per-game
27,28,Baltimore,4.9,4.3,6.0,5.5,4.0,5.8,2022-10-25,/nfl/stat/opponent-penalties-per-game
28,28,Indianapolis,4.9,4.3,2.0,5.3,4.5,6.4,2022-10-25,/nfl/stat/opponent-penalties-per-game
29,30,LA Rams,4.7,4.0,3.0,4.5,5.0,5.2,2022-10-25,/nfl/stat/opponent-penalties-per-game
30,31,New England,4.4,6.0,4.0,4.3,4.5,5.7,2022-10-25,/nfl/stat/opponent-penalties-per-game
31,32,Miami,4.1,4.0,5.0,4.3,4.0,6.4,2022-10-25,/nfl/stat/opponent-penalties-per-game
