,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,New Orleans,2.8,3.0,3.0,1.8,3.7,2.1,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
1,2,Dallas,2.5,3.3,4.0,2.0,3.2,2.3,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
2,2,Denver,2.5,1.0,0.0,1.4,3.5,1.2,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
3,4,NY Giants,2.5,2.0,3.0,2.0,3.0,1.4,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
4,5,Washington,2.3,1.3,2.0,2.8,1.7,1.5,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
5,6,Miami,2.1,2.0,2.0,1.8,2.4,1.9,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
6,7,Detroit,2.0,1.3,2.0,1.3,2.8,1.5,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
7,7,Cleveland,2.0,1.3,2.0,2.3,1.6,2.1,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
8,7,Buffalo,2.0,2.3,2.0,1.5,2.3,2.3,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
9,10,Green Bay,1.9,1.3,2.0,0.8,2.7,1.3,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
10,11,Seattle,1.9,1.0,0.0,1.2,2.5,2.1,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
11,12,Indianapolis,1.8,1.3,1.0,2.2,1.5,1.2,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
12,13,Philadelphia,1.8,2.3,2.0,1.8,1.8,2.0,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
13,14,Chicago,1.8,2.3,0.0,2.4,1.3,2.1,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
14,15,San Francisco,1.7,1.7,2.0,1.6,1.8,2.3,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
15,15,NY Jets,1.7,0.0,0.0,1.3,2.2,2.2,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
16,15,Tennessee,1.7,2.0,3.0,2.0,1.5,2.1,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
17,18,Jacksonville,1.6,1.0,1.0,1.2,2.0,1.7,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
18,18,New England,1.6,2.7,5.0,1.2,2.0,1.3,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
19,18,Baltimore,1.6,1.3,1.0,1.6,1.7,1.6,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
20,21,Carolina,1.5,1.7,2.0,2.0,0.8,1.7,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
21,22,Pittsburgh,1.5,1.3,2.0,1.2,1.7,1.4,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
22,22,Houston,1.5,1.7,3.0,1.2,1.7,1.7,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
23,22,Cincinnati,1.5,1.3,1.0,1.8,1.3,1.2,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
24,25,Las Vegas,1.4,1.7,1.0,1.5,1.3,2.1,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
25,25,LA Chargers,1.4,0.7,1.0,1.6,1.2,2.4,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
26,25,Minnesota,1.4,1.0,0.0,1.2,1.6,2.1,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
27,28,Arizona,1.3,0.3,0.0,1.3,1.3,2.0,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
28,29,Tampa Bay,1.3,1.3,2.0,1.0,1.5,2.1,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
29,30,LA Rams,1.1,1.7,3.0,1.0,1.2,1.2,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
30,31,Atlanta,1.1,1.0,1.0,0.8,1.3,1.5,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
31,32,Kansas City,1.0,0.3,0.0,0.8,1.2,1.8,2022-11-29,/nfl/stat/opponent-penalty-first-downs-per-game
