,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Miami,10.8,10.9,8.7,7.8,13.9,9.1,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
1,2,LA Chargers,9.9,9.6,10.4,10.9,9.0,8.4,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
2,3,San Francisco,9.0,10.7,5.0,10.0,8.0,8.0,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
3,4,Denver,8.9,8.0,6.7,8.3,9.5,8.9,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
4,5,Green Bay,8.9,9.0,9.2,9.6,8.3,8.2,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
5,6,New England,8.8,9.1,7.5,9.5,8.4,8.5,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
6,7,Atlanta,8.7,8.7,8.9,8.8,8.6,8.1,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
7,8,Seattle,8.7,7.7,10.0,8.7,8.7,9.6,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
8,9,Buffalo,8.6,8.4,9.1,8.8,8.3,8.2,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
9,10,New Orleans,8.6,9.3,13.3,9.0,7.9,8.6,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
10,11,Las Vegas,8.5,6.3,6.3,8.0,9.0,10.2,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
11,12,Tampa Bay,8.5,11.8,7.7,10.6,6.8,8.3,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
12,13,Cleveland,8.4,10.2,8.6,6.4,12.2,8.9,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
13,14,Cincinnati,8.4,8.0,7.1,7.2,9.5,8.0,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
14,15,Minnesota,8.3,7.9,9.1,7.0,9.2,8.5,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
15,16,Washington,8.3,9.5,10.7,8.1,8.8,8.4,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
16,17,Philadelphia,8.1,7.9,11.6,7.7,8.9,8.9,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
17,18,Indianapolis,8.1,9.5,7.4,9.5,7.3,9.0,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
18,19,Chicago,8.0,8.5,7.5,7.9,8.2,9.2,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
19,20,Houston,8.0,6.0,4.8,9.4,7.1,8.9,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
20,20,Baltimore,8.0,8.0,8.0,6.7,9.4,9.0,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
21,22,Detroit,7.8,9.3,9.6,7.6,8.1,9.4,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
22,23,Carolina,7.7,8.5,9.3,7.7,7.8,8.3,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
23,24,Dallas,7.7,7.2,6.7,8.1,6.9,7.9,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
24,25,NY Jets,7.7,9.1,10.0,8.2,7.0,9.7,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
25,26,Jacksonville,7.6,7.4,0,7.6,7.7,8.5,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
26,27,Kansas City,7.6,7.0,6.0,7.1,8.5,7.9,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
27,28,Arizona,7.6,7.1,5.8,6.7,8.2,8.9,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
28,29,NY Giants,7.4,6.3,5.7,8.2,6.4,7.6,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
29,30,LA Rams,7.1,6.5,6.7,6.8,7.6,8.1,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
30,31,Pittsburgh,7.1,7.1,7.4,7.8,6.3,8.3,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
31,32,Tennessee,6.8,6.8,6.3,6.4,7.1,9.0,2022-11-16,/nfl/stat/opponent-penalty-yards-per-penalty
