,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Denver,0.6,0.7,1.0,0.3,1.0,1.2,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
1,2,LA Rams,1.0,1.0,3.0,1.4,0.0,1.6,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
2,3,Dallas,1.3,2.3,4.0,1.4,1.0,1.6,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
3,3,New Orleans,1.3,2.0,0.0,0.8,1.8,1.2,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
4,3,Green Bay,1.3,1.0,2.0,0.7,1.6,1.8,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
5,6,Buffalo,1.3,0.7,1.0,0.7,1.8,1.5,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
6,7,Cincinnati,1.4,2.0,4.0,1.0,1.6,1.9,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
7,8,NY Giants,1.5,1.7,2.0,1.0,2.0,2.2,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
8,9,Tennessee,1.6,0.7,1.0,1.7,1.5,1.7,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
9,9,Houston,1.6,1.3,1.0,2.0,1.3,2.4,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
10,11,Pittsburgh,1.6,1.0,1.0,1.7,1.6,1.9,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
11,11,San Francisco,1.6,3.0,2.0,1.3,1.8,1.9,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
12,11,NY Jets,1.6,0.7,1.0,1.5,1.8,2.6,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
13,11,Indianapolis,1.6,1.7,2.0,2.5,0.8,2.0,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
14,15,Philadelphia,1.7,1.3,1.0,1.5,2.0,2.4,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
15,16,Washington,1.8,0.7,1.0,2.0,1.5,2.1,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
16,16,New England,1.8,1.7,2.0,2.3,1.4,1.6,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
17,16,Carolina,1.8,1.3,1.0,1.8,1.7,2.1,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
18,19,LA Chargers,1.9,1.7,2.0,1.8,2.0,2.5,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
19,20,Jacksonville,1.9,2.3,3.0,0.7,2.6,2.2,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
20,21,Tampa Bay,2.0,2.0,3.0,3.0,1.0,1.8,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
21,21,Seattle,2.0,1.3,1.0,1.0,3.0,1.8,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
22,21,Minnesota,2.0,2.0,2.0,2.0,2.0,1.9,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
23,24,Chicago,2.1,2.0,4.0,1.3,2.6,1.8,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
24,24,Cleveland,2.1,2.0,1.0,2.2,2.0,2.0,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
25,26,Miami,2.3,2.0,3.0,1.5,3.0,1.8,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
26,27,Atlanta,2.4,2.3,3.0,2.3,2.5,2.6,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
27,27,Baltimore,2.4,2.3,2.0,2.5,2.3,1.6,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
28,29,Las Vegas,2.4,2.3,2.0,2.0,2.8,2.1,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
29,29,Kansas City,2.4,1.7,2.0,2.0,2.8,1.9,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
30,31,Arizona,2.6,3.0,5.0,3.0,2.3,1.9,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
31,32,Detroit,2.7,2.0,3.0,3.3,2.0,2.5,2022-11-02,/nfl/stat/opponent-red-zone-scores-per-game
