,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Tennessee,32.92%,28.25%,32.20%,35.77%,31.01%,35.00%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
1,2,Baltimore,34.31%,28.48%,31.48%,35.00%,33.65%,36.59%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
2,3,Kansas City,35.99%,43.10%,46.15%,39.87%,32.32%,39.04%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
3,4,Denver,39.21%,42.25%,38.71%,37.12%,41.09%,42.44%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
4,5,Buffalo,39.30%,40.87%,38.24%,37.45%,40.67%,42.60%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
5,6,San Francisco,39.64%,33.33%,33.80%,29.49%,45.99%,41.31%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
6,7,Arizona,40.32%,43.85%,49.12%,41.98%,38.84%,42.77%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
7,8,Philadelphia,40.59%,53.50%,41.94%,40.31%,40.85%,42.60%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
8,9,Pittsburgh,40.62%,36.20%,36.92%,40.19%,41.02%,44.03%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
9,10,Miami,40.96%,43.92%,38.71%,33.54%,49.00%,39.32%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
10,11,LA Rams,40.98%,35.00%,42.86%,47.56%,32.83%,38.04%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
11,12,Jacksonville,41.55%,41.11%,43.55%,44.16%,40.05%,46.16%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
12,13,New England,41.63%,35.93%,46.94%,47.35%,36.10%,45.15%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
13,14,Washington,41.64%,34.94%,29.63%,37.50%,45.32%,40.38%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
14,15,Tampa Bay,41.68%,39.66%,28.00%,45.73%,37.11%,33.71%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
15,16,Minnesota,42.29%,47.78%,57.14%,42.90%,41.69%,41.23%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
16,17,NY Jets,42.33%,42.05%,44.07%,41.32%,43.29%,45.85%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
17,18,NY Giants,42.55%,43.78%,58.73%,46.35%,37.10%,43.27%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
18,19,Atlanta,42.72%,56.85%,62.12%,43.73%,41.54%,46.59%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
19,20,Cincinnati,43.37%,46.49%,35.29%,42.52%,43.81%,37.19%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
20,21,Las Vegas,44.15%,50.26%,45.16%,40.40%,46.60%,41.84%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
21,22,LA Chargers,44.37%,53.65%,43.55%,42.77%,46.03%,46.15%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
22,23,Dallas,44.93%,53.23%,31.48%,46.79%,42.99%,40.79%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
23,24,Detroit,45.55%,43.22%,36.11%,42.35%,49.04%,47.44%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
24,25,New Orleans,45.71%,54.85%,48.39%,42.17%,49.40%,40.04%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
25,26,Seattle,45.73%,46.73%,59.46%,42.29%,47.83%,42.38%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
26,27,Carolina,45.84%,47.47%,45.45%,42.53%,49.70%,46.11%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
27,28,Cleveland,46.27%,42.46%,53.23%,37.58%,55.22%,41.38%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
28,29,Indianapolis,47.65%,45.45%,54.10%,49.49%,46.27%,40.00%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
29,30,Green Bay,49.47%,47.00%,50.00%,52.88%,46.69%,38.93%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
30,31,Chicago,52.01%,52.73%,62.26%,49.48%,54.04%,47.87%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
31,32,Houston,52.85%,60.20%,59.70%,52.62%,53.11%,47.50%,2022-11-23,/nfl/stat/opponent-rushing-play-pct
