,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Carolina,51.7,53.3,53.0,52.5,50.0,60.9,2022-10-18,/nfl/stat/opponent-tackles-per-game
1,2,Baltimore,54.2,57.3,49.0,59.0,49.3,66.2,2022-10-18,/nfl/stat/opponent-tackles-per-game
2,3,Miami,54.3,58.0,64.0,52.0,56.7,63.4,2022-10-18,/nfl/stat/opponent-tackles-per-game
3,4,Tennessee,55.8,58.0,62.0,57.0,55.0,65.1,2022-10-18,/nfl/stat/opponent-tackles-per-game
4,5,Chicago,55.8,60.0,66.0,58.7,53.0,59.9,2022-10-18,/nfl/stat/opponent-tackles-per-game
5,6,Seattle,56.8,59.0,69.0,62.0,51.7,54.3,2022-10-18,/nfl/stat/opponent-tackles-per-game
6,7,Dallas,57.3,57.0,57.0,52.3,62.3,64.1,2022-10-18,/nfl/stat/opponent-tackles-per-game
7,8,Houston,57.4,59.7,61.0,56.5,58.0,59.6,2022-10-18,/nfl/stat/opponent-tackles-per-game
8,9,Las Vegas,57.6,60.7,52.0,64.0,53.3,62.3,2022-10-18,/nfl/stat/opponent-tackles-per-game
9,10,Kansas City,57.7,61.0,50.0,52.7,62.7,62.1,2022-10-18,/nfl/stat/opponent-tackles-per-game
10,11,San Francisco,58.0,55.0,60.0,61.0,56.5,62.9,2022-10-18,/nfl/stat/opponent-tackles-per-game
11,12,NY Jets,58.2,56.3,53.0,62.3,54.0,54.0,2022-10-18,/nfl/stat/opponent-tackles-per-game
12,12,Buffalo,58.2,50.7,67.0,46.0,64.3,61.8,2022-10-18,/nfl/stat/opponent-tackles-per-game
13,14,Minnesota,58.7,61.0,47.0,65.3,52.0,60.7,2022-10-18,/nfl/stat/opponent-tackles-per-game
14,15,Tampa Bay,59.2,60.0,65.0,54.7,63.7,62.1,2022-10-18,/nfl/stat/opponent-tackles-per-game
15,16,Jacksonville,59.5,55.7,67.0,64.5,57.0,56.9,2022-10-18,/nfl/stat/opponent-tackles-per-game
16,17,Atlanta,59.7,59.3,71.0,61.0,58.3,58.5,2022-10-18,/nfl/stat/opponent-tackles-per-game
17,18,Denver,60.0,54.3,51.0,66.7,53.3,62.0,2022-10-18,/nfl/stat/opponent-tackles-per-game
18,19,Pittsburgh,60.2,65.7,59.0,62.7,57.7,63.4,2022-10-18,/nfl/stat/opponent-tackles-per-game
19,20,Washington,60.5,57.0,55.0,59.3,61.7,60.9,2022-10-18,/nfl/stat/opponent-tackles-per-game
20,21,LA Rams,61.0,62.3,67.0,64.5,54.0,60.8,2022-10-18,/nfl/stat/opponent-tackles-per-game
21,22,New England,61.5,62.7,61.0,59.5,62.5,60.4,2022-10-18,/nfl/stat/opponent-tackles-per-game
22,22,Cincinnati,61.5,52.3,43.0,73.0,55.8,61.3,2022-10-18,/nfl/stat/opponent-tackles-per-game
23,24,Detroit,62.2,68.3,64.0,57.0,70.0,60.9,2022-10-18,/nfl/stat/opponent-tackles-per-game
24,25,New Orleans,62.5,68.7,71.0,68.7,56.3,59.7,2022-10-18,/nfl/stat/opponent-tackles-per-game
25,26,NY Giants,63.0,61.3,59.0,64.8,59.5,58.6,2022-10-18,/nfl/stat/opponent-tackles-per-game
26,27,LA Chargers,65.5,69.3,77.0,64.7,66.3,61.2,2022-10-18,/nfl/stat/opponent-tackles-per-game
27,28,Green Bay,65.8,66.3,64.0,71.0,60.7,61.5,2022-10-18,/nfl/stat/opponent-tackles-per-game
28,29,Arizona,66.5,68.0,73.0,60.3,72.7,63.1,2022-10-18,/nfl/stat/opponent-tackles-per-game
29,30,Cleveland,67.3,61.0,49.0,64.5,73.0,60.1,2022-10-18,/nfl/stat/opponent-tackles-per-game
30,31,Philadelphia,70.7,75.7,68.0,74.0,67.3,59.7,2022-10-18,/nfl/stat/opponent-tackles-per-game
31,32,Indianapolis,71.0,71.7,70.0,72.3,69.7,62.1,2022-10-18,/nfl/stat/opponent-tackles-per-game
