,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Miami,0.00%,0,0,0.00%,0,41.38%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
1,1,Arizona,0.00%,0.00%,0.00%,0.00%,0.00%,12.90%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
2,1,Philadelphia,0.00%,0.00%,0.00%,0.00%,0.00%,28.00%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
3,4,Houston,14.29%,0.00%,0.00%,50.00%,0.00%,38.89%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
4,5,Las Vegas,16.67%,33.33%,0,50.00%,0.00%,35.48%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
5,6,Kansas City,28.57%,50.00%,0,0,28.57%,46.43%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
6,7,Carolina,30.00%,60.00%,50.00%,14.29%,66.67%,40.00%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
7,8,Pittsburgh,33.33%,40.00%,0.00%,33.33%,33.33%,47.62%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
8,8,Chicago,33.33%,33.33%,50.00%,0.00%,42.86%,36.00%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
9,8,Baltimore,33.33%,50.00%,0,0.00%,50.00%,38.10%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
10,8,Minnesota,33.33%,33.33%,0,50.00%,0.00%,28.57%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
11,8,Indianapolis,33.33%,42.86%,66.67%,60.00%,14.29%,52.38%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
12,13,San Francisco,37.50%,33.33%,0.00%,0.00%,60.00%,43.48%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
13,14,Washington,40.00%,25.00%,0.00%,66.67%,0.00%,36.00%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
14,14,Cincinnati,40.00%,33.33%,0,50.00%,33.33%,38.89%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
15,16,Atlanta,50.00%,40.00%,0.00%,50.00%,50.00%,45.83%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
16,16,Detroit,50.00%,100.00%,100.00%,50.00%,0,52.94%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
17,16,Tennessee,50.00%,50.00%,0,33.33%,66.67%,44.00%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
18,16,Cleveland,50.00%,100.00%,100.00%,0,50.00%,40.00%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
19,16,Buffalo,50.00%,33.33%,50.00%,0,50.00%,24.00%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
20,16,LA Chargers,50.00%,66.67%,50.00%,50.00%,50.00%,70.00%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
21,16,NY Giants,50.00%,50.00%,50.00%,50.00%,50.00%,43.48%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
22,16,Green Bay,50.00%,42.86%,50.00%,40.00%,66.67%,35.00%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
23,24,NY Jets,57.14%,60.00%,0,60.00%,50.00%,50.00%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
24,25,New Orleans,60.00%,55.56%,100.00%,50.00%,66.67%,35.71%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
25,25,Denver,60.00%,33.33%,100.00%,0.00%,100.00%,75.00%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
26,25,Seattle,60.00%,100.00%,100.00%,33.33%,100.00%,35.29%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
27,28,Jacksonville,66.67%,80.00%,80.00%,0,66.67%,57.14%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
28,28,New England,66.67%,50.00%,100.00%,33.33%,100.00%,50.00%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
29,30,LA Rams,75.00%,100.00%,100.00%,50.00%,100.00%,56.25%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
30,31,Tampa Bay,83.33%,83.33%,100.00%,80.00%,100.00%,61.54%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
31,32,Dallas,100.00%,100.00%,0,100.00%,0,32.14%,2022-10-05,/nfl/stat/opponent-takeaway-fumble-recovery-pct
