,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Tennessee,27.12%,25.00%,9.09%,13.64%,35.14%,37.33%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
1,2,New Orleans,29.85%,27.03%,11.11%,23.08%,34.15%,37.08%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
2,3,San Francisco,30.00%,28.57%,20.00%,31.82%,29.17%,41.29%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
3,4,Green Bay,30.19%,33.33%,54.55%,22.22%,34.29%,42.52%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
4,5,Washington,30.43%,31.82%,28.57%,29.27%,32.14%,48.47%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
5,6,NY Giants,31.15%,36.84%,40.00%,30.00%,33.33%,39.82%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
6,7,Denver,31.25%,30.00%,25.00%,17.95%,52.00%,44.89%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
7,8,Indianapolis,31.34%,27.03%,13.33%,36.36%,28.89%,40.48%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
8,9,Cincinnati,32.81%,35.90%,45.45%,24.00%,38.46%,41.24%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
9,10,Dallas,33.78%,32.56%,35.29%,34.78%,32.14%,34.75%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
10,11,Baltimore,34.55%,33.33%,40.00%,46.88%,17.39%,34.83%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
11,12,Cleveland,35.19%,25.00%,30.00%,35.29%,35.00%,39.27%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
12,13,Minnesota,36.21%,30.56%,40.00%,28.57%,47.83%,36.45%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
13,14,Jacksonville,37.70%,34.15%,38.46%,30.43%,42.11%,42.99%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
14,15,Kansas City,38.46%,45.95%,41.67%,35.71%,40.54%,41.56%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
15,16,Buffalo,39.34%,38.89%,33.33%,33.33%,44.12%,33.61%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
16,17,Las Vegas,40.00%,45.45%,58.33%,25.00%,50.00%,39.67%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
17,18,Houston,40.85%,45.45%,42.86%,45.16%,37.50%,43.20%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
18,19,LA Chargers,41.67%,43.24%,40.00%,50.00%,35.29%,49.54%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
19,20,Tampa Bay,41.89%,52.17%,42.86%,52.17%,25.00%,38.25%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
20,21,Carolina,42.11%,45.00%,58.33%,44.83%,33.33%,37.79%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
21,22,LA Rams,43.08%,35.56%,33.33%,48.57%,36.67%,37.55%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
22,23,New England,43.94%,40.54%,33.33%,39.13%,46.51%,38.07%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
23,24,Arizona,44.00%,35.48%,46.15%,48.28%,38.10%,38.64%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
24,25,Philadelphia,45.31%,42.11%,57.14%,31.58%,51.11%,42.17%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
25,26,Pittsburgh,46.58%,42.50%,55.56%,46.88%,46.34%,38.52%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
26,27,Atlanta,47.14%,48.94%,56.25%,33.33%,55.81%,48.39%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
27,28,NY Jets,48.39%,45.95%,36.36%,42.11%,58.33%,44.39%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
28,29,Seattle,49.18%,51.61%,57.14%,54.55%,46.15%,39.29%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
29,30,Miami,49.21%,54.55%,45.45%,55.56%,44.44%,41.13%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
30,31,Detroit,50.00%,46.67%,33.33%,59.09%,27.78%,45.10%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
31,32,Chicago,50.75%,51.22%,80.00%,37.93%,60.53%,38.39%,2022-10-11,/nfl/stat/opponent-third-down-conversion-pct
