,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Philadelphia,1.0,1.0,1.0,0.0,1.5,2.8,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
1,1,Minnesota,1.0,1.0,0.0,0.5,2.0,3.6,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
2,3,Chicago,1.3,1.3,2.0,1.5,1.0,2.2,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
3,4,San Francisco,1.7,1.7,1.0,2.0,1.5,2.4,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
4,4,Tampa Bay,1.7,1.7,2.0,2.0,1.5,2.9,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
5,6,Kansas City,2.0,2.0,0.0,4.0,1.0,3.0,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
6,7,Miami,2.3,2.3,1.0,0.5,6.0,3.8,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
7,7,Cleveland,2.3,2.3,1.0,2.0,3.0,2.4,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
8,7,Denver,2.3,2.3,3.0,3.0,1.0,3.2,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
9,10,Buffalo,2.7,2.7,4.0,2.0,3.0,2.1,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
10,10,Carolina,2.7,2.7,0.0,2.5,3.0,3.5,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
11,10,LA Rams,2.7,2.7,3.0,2.5,3.0,2.6,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
12,10,Seattle,2.7,2.7,4.0,2.5,3.0,2.3,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
13,14,Washington,3.0,3.0,4.0,4.0,1.0,3.1,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
14,14,Jacksonville,3.0,3.0,3.0,1.0,4.0,3.5,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
15,14,Indianapolis,3.0,3.0,2.0,2.0,3.5,2.4,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
16,17,New England,3.3,3.3,5.0,5.0,2.5,2.6,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
17,17,Green Bay,3.3,3.3,3.0,2.0,4.0,2.4,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
18,19,Dallas,3.7,3.7,4.0,3.5,4.0,3.2,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
19,19,Las Vegas,3.7,3.7,3.0,3.0,4.0,3.5,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
20,19,NY Jets,3.7,3.7,5.0,4.0,3.0,3.4,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
21,22,New Orleans,4.0,4.0,3.0,3.0,4.5,2.4,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
22,22,Detroit,4.0,4.0,2.0,5.0,2.0,3.7,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
23,22,Tennessee,4.0,4.0,4.0,3.0,6.0,2.6,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
24,22,Baltimore,4.0,4.0,4.0,6.0,3.0,3.0,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
25,26,Pittsburgh,4.3,4.3,4.0,4.0,4.5,3.1,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
26,26,Houston,4.3,4.3,5.0,4.0,4.5,3.1,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
27,26,LA Chargers,4.3,4.3,6.0,4.5,4.0,3.1,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
28,26,Cincinnati,4.3,4.3,4.0,5.0,4.0,2.9,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
29,30,NY Giants,4.7,4.7,6.0,5.5,3.0,3.5,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
30,31,Arizona,5.0,5.0,5.0,5.5,4.0,2.9,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
31,32,Atlanta,5.7,5.7,6.0,6.0,5.5,2.9,2022-09-27,/nfl/stat/opponent-touchbacks-per-game
