,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,NY Jets,0.0,0.0,0.0,0.0,0.0,0.2,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
1,1,Cleveland,0.0,0.0,0.0,0.0,0.0,0.5,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
2,1,Denver,0.0,0.0,0.0,0.0,0.0,0.4,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
3,1,Buffalo,0.0,0.0,0.0,0.0,0.0,0.3,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
4,5,Washington,0.1,0.0,0.0,0.2,0.0,0.3,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
5,5,Tampa Bay,0.1,0.0,0.0,0.2,0.0,0.2,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
6,5,Arizona,0.1,0.0,0.0,0.0,0.3,0.2,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
7,5,Carolina,0.1,0.0,0.0,0.2,0.0,0.5,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
8,5,Cincinnati,0.1,0.3,0.0,0.0,0.2,0.2,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
9,10,Houston,0.1,0.3,1.0,0.3,0.0,0.3,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
10,10,NY Giants,0.1,0.3,0.0,0.0,0.3,0.1,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
11,10,Philadelphia,0.1,0.0,0.0,0.0,0.3,0.2,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
12,13,Chicago,0.2,0.0,0.0,0.3,0.2,0.2,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
13,13,Miami,0.2,0.3,1.0,0.3,0.2,0.1,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
14,13,New England,0.2,0.0,0.0,0.0,0.4,0.2,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
15,13,Green Bay,0.2,0.3,1.0,0.0,0.3,0.3,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
16,13,Indianapolis,0.2,0.0,0.0,0.5,0.0,0.4,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
17,18,Pittsburgh,0.3,0.3,0.0,0.3,0.2,0.1,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
18,18,San Francisco,0.3,0.0,0.0,0.0,0.4,0.4,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
19,18,LA Chargers,0.3,0.0,0.0,0.5,0.0,0.4,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
20,18,LA Rams,0.3,0.0,0.0,0.4,0.0,0.2,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
21,18,Baltimore,0.3,0.3,1.0,0.0,0.5,0.3,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
22,23,Seattle,0.3,0.0,0.0,0.0,0.6,0.2,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
23,24,Las Vegas,0.4,0.0,0.0,0.7,0.2,0.3,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
24,24,Detroit,0.4,0.3,1.0,0.6,0.0,0.4,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
25,24,Kansas City,0.4,0.0,0.0,0.3,0.5,0.4,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
26,27,Atlanta,0.4,0.3,0.0,0.6,0.3,0.5,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
27,28,Dallas,0.5,1.0,2.0,0.6,0.3,0.4,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
28,28,Tennessee,0.5,0.3,1.0,1.0,0.2,0.2,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
29,28,Minnesota,0.5,0.7,0.0,0.5,0.5,0.4,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
30,31,Jacksonville,0.6,0.0,0.0,0.0,1.0,0.1,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
31,32,New Orleans,0.6,1.0,0.0,0.5,0.8,0.2,2022-11-09,/nfl/stat/opponent-two-point-conversion-attempts-per-game
