,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Atlanta,0.3,0.3,0.0,0.0,0.5,0.1,2022-09-27,/nfl/stat/other-touchdowns-per-game
1,1,Pittsburgh,0.3,0.3,0.0,0.0,0.5,0.1,2022-09-27,/nfl/stat/other-touchdowns-per-game
2,1,Miami,0.3,0.3,0.0,0.5,0.0,0.4,2022-09-27,/nfl/stat/other-touchdowns-per-game
3,1,Cleveland,0.3,0.3,1.0,0.5,0.0,0.1,2022-09-27,/nfl/stat/other-touchdowns-per-game
4,1,Tampa Bay,0.3,0.3,0.0,0.0,0.5,0.1,2022-09-27,/nfl/stat/other-touchdowns-per-game
5,1,Arizona,0.3,0.3,0.0,0.0,1.0,0.1,2022-09-27,/nfl/stat/other-touchdowns-per-game
6,1,Kansas City,0.3,0.3,0.0,1.0,0.0,0.2,2022-09-27,/nfl/stat/other-touchdowns-per-game
7,1,Buffalo,0.3,0.3,0.0,1.0,0.0,0.1,2022-09-27,/nfl/stat/other-touchdowns-per-game
8,1,Carolina,0.3,0.3,1.0,0.5,0.0,0.1,2022-09-27,/nfl/stat/other-touchdowns-per-game
9,1,Baltimore,0.3,0.3,0.0,1.0,0.0,0.1,2022-09-27,/nfl/stat/other-touchdowns-per-game
10,1,Seattle,0.3,0.3,0.0,0.0,1.0,0.1,2022-09-27,/nfl/stat/other-touchdowns-per-game
11,1,Philadelphia,0.3,0.3,0.0,0.0,0.5,0.3,2022-09-27,/nfl/stat/other-touchdowns-per-game
12,13,Dallas,0.0,0.0,0.0,0.0,0.0,0.5,2022-09-27,/nfl/stat/other-touchdowns-per-game
13,13,Washington,0.0,0.0,0.0,0.0,0.0,0.2,2022-09-27,/nfl/stat/other-touchdowns-per-game
14,13,New Orleans,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/other-touchdowns-per-game
15,13,Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,2022-09-27,/nfl/stat/other-touchdowns-per-game
16,13,Detroit,0.0,0.0,0.0,0.0,0.0,0.0,2022-09-27,/nfl/stat/other-touchdowns-per-game
17,13,Chicago,0.0,0.0,0.0,0.0,0.0,0.2,2022-09-27,/nfl/stat/other-touchdowns-per-game
18,13,Jacksonville,0.0,0.0,0.0,0.0,0.0,0.2,2022-09-27,/nfl/stat/other-touchdowns-per-game
19,13,San Francisco,0.0,0.0,0.0,0.0,0.0,0.2,2022-09-27,/nfl/stat/other-touchdowns-per-game
20,13,NY Jets,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/other-touchdowns-per-game
21,13,Tennessee,0.0,0.0,0.0,0.0,0.0,0.2,2022-09-27,/nfl/stat/other-touchdowns-per-game
22,13,Houston,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/other-touchdowns-per-game
23,13,New England,0.0,0.0,0.0,0.0,0.0,0.2,2022-09-27,/nfl/stat/other-touchdowns-per-game
24,13,Denver,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/other-touchdowns-per-game
25,13,LA Chargers,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/other-touchdowns-per-game
26,13,NY Giants,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/other-touchdowns-per-game
27,13,LA Rams,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/other-touchdowns-per-game
28,13,Green Bay,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/other-touchdowns-per-game
29,13,Cincinnati,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/other-touchdowns-per-game
30,13,Minnesota,0.0,0.0,0.0,0.0,0.0,0.2,2022-09-27,/nfl/stat/other-touchdowns-per-game
31,13,Indianapolis,0.0,0.0,0.0,0.0,0.0,0.2,2022-09-27,/nfl/stat/other-touchdowns-per-game
