,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Tampa Bay,42.8,44.0,30.0,49.6,36.0,43.3,2022-11-23,/nfl/stat/pass-attempts-per-game
1,2,LA Chargers,41.8,36.7,30.0,43.4,40.2,39.6,2022-11-23,/nfl/stat/pass-attempts-per-game
2,3,Arizona,40.5,38.7,44.0,40.4,40.5,34.7,2022-11-23,/nfl/stat/pass-attempts-per-game
3,4,Kansas City,40.3,45.7,34.0,44.2,36.4,39.9,2022-11-23,/nfl/stat/pass-attempts-per-game
4,5,Minnesota,38.7,40.3,30.0,36.2,41.2,35.5,2022-11-23,/nfl/stat/pass-attempts-per-game
5,6,Cincinnati,37.6,35.0,39.0,39.5,36.3,33.2,2022-11-23,/nfl/stat/pass-attempts-per-game
6,7,Buffalo,37.5,34.7,27.0,36.0,38.5,37.7,2022-11-23,/nfl/stat/pass-attempts-per-game
7,8,Indianapolis,37.2,29.7,32.0,37.4,37.0,30.6,2022-11-23,/nfl/stat/pass-attempts-per-game
8,9,Pittsburgh,36.7,37.3,42.0,32.2,41.2,39.3,2022-11-23,/nfl/stat/pass-attempts-per-game
9,10,Las Vegas,36.2,37.0,37.0,34.5,37.3,37.9,2022-11-23,/nfl/stat/pass-attempts-per-game
10,11,Miami,35.5,33.0,33.0,33.6,37.4,36.2,2022-11-23,/nfl/stat/pass-attempts-per-game
11,12,LA Rams,35.2,30.7,28.0,37.3,32.0,35.7,2022-11-23,/nfl/stat/pass-attempts-per-game
12,13,Green Bay,35.0,34.0,39.0,32.8,36.8,34.6,2022-11-23,/nfl/stat/pass-attempts-per-game
13,14,Jacksonville,34.9,34.0,40.0,38.0,32.8,35.5,2022-11-23,/nfl/stat/pass-attempts-per-game
14,15,Denver,34.7,34.3,31.0,36.0,33.4,31.8,2022-11-23,/nfl/stat/pass-attempts-per-game
15,16,NY Jets,34.6,29.3,22.0,39.6,29.6,35.5,2022-11-23,/nfl/stat/pass-attempts-per-game
16,17,Washington,34.5,28.0,27.0,36.6,32.8,32.4,2022-11-23,/nfl/stat/pass-attempts-per-game
17,18,New Orleans,33.6,28.7,28.0,31.7,36.0,29.6,2022-11-23,/nfl/stat/pass-attempts-per-game
18,19,Cleveland,33.2,33.0,41.0,32.0,34.4,30.6,2022-11-23,/nfl/stat/pass-attempts-per-game
19,20,Houston,32.9,30.7,33.0,31.4,34.4,32.1,2022-11-23,/nfl/stat/pass-attempts-per-game
20,21,Detroit,32.8,26.0,26.0,34.8,30.8,34.9,2022-11-23,/nfl/stat/pass-attempts-per-game
21,22,Seattle,31.7,33.7,33.0,34.3,30.0,29.1,2022-11-23,/nfl/stat/pass-attempts-per-game
22,23,Dallas,31.3,34.3,30.0,30.4,32.2,38.4,2022-11-23,/nfl/stat/pass-attempts-per-game
23,24,San Francisco,30.8,27.7,29.0,31.3,30.5,29.4,2022-11-23,/nfl/stat/pass-attempts-per-game
24,25,New England,29.3,30.7,27.0,27.6,31.0,31.8,2022-11-23,/nfl/stat/pass-attempts-per-game
25,26,Philadelphia,29.2,26.0,25.0,27.4,31.0,29.8,2022-11-23,/nfl/stat/pass-attempts-per-game
26,27,Baltimore,29.0,31.0,33.0,27.8,30.2,35.9,2022-11-23,/nfl/stat/pass-attempts-per-game
27,28,Carolina,28.8,26.3,33.0,28.0,29.8,35.2,2022-11-23,/nfl/stat/pass-attempts-per-game
28,29,NY Giants,28.4,30.7,44.0,29.2,27.3,34.9,2022-11-23,/nfl/stat/pass-attempts-per-game
29,30,Tennessee,24.1,27.0,29.0,29.0,20.8,31.1,2022-11-23,/nfl/stat/pass-attempts-per-game
30,31,Atlanta,22.8,24.3,20.0,22.8,22.8,33.7,2022-11-23,/nfl/stat/pass-attempts-per-game
31,32,Chicago,20.8,23.0,21.0,21.8,20.0,31.9,2022-11-23,/nfl/stat/pass-attempts-per-game
